report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-04-30,178078000.0,-19222000,-22576000.0,1519396000,753153000.0,0.0,98577000.0,131183000.0,-143000.0,-1036000.0,213129000.0,213129000.0,1248462000.0,555644000.0,766243000.0,,1004991000.0,-0.025522038682711214,-0.01265107977117223,-0.10794146385291839,0.7366603398510765,0.0,2.2468738976754903,2.2468738976754903,-0.014858535891893884,-0.029975317100243908,-0.09018950963970178
2020-07-31,198971000.0,-29874000,-29991000.0,1616952000,792015000.0,0.0,55025000.0,144580000.0,-174000.0,-441000.0,216695000.0,216695000.0,1315981000.0,603292000.0,824937000.0,,1064734000.0,-0.03771898259502661,-0.01847550205571965,-0.15014248307542305,0.7266385553673651,0.0,2.1813334173169876,2.1813334173169876,-0.018547860418862156,-0.03786670706994186,-0.13786197189598284
2020-10-31,232460000.0,-24531000,-24159000.0,1749509000,814785000.0,0.0,88501000.0,170933000.0,-193000.0,-451000.0,219401000.0,219401000.0,1340796000.0,702039000.0,934724000.0,,1059926000.0,-0.03010732892726302,-0.014021648359625473,-0.10552783274541856,0.7353222059709197,0.0,1.9098597086486648,1.9098597086486648,-0.013809017272846268,-0.029650766766693055,-0.11180897078864727
2021-01-31,264929000.0,-19002000,-15803000.0,2732533000,871874000.0,738029000.0,114463000.0,198197000.0,3919000.0,-2832000.0,221799000.0,221799000.0,2292274000.0,863553000.0,1860659000.0,738029000.0,1918608000.0,-0.021794433599350366,-0.006953987380939224,-0.07172487723125819,0.748113645542768,0.8464858454317941,2.6544682260382397,2.6544682260382397,-0.005783278738079284,-0.009816119356259352,-0.08567216263373595
2021-04-30,302843000.0,-85049000,-31347000.0,2881171000,853397000.0,738400000.0,147533000.0,224338000.0,-6230000.0,-50062000.0,224153000.0,224153000.0,2038003000.0,982765000.0,2027774000.0,738400000.0,1684997000.0,-0.0996593613523366,-0.029518900474841653,-0.28083528428921917,0.7407732719593981,0.8652479443916489,2.0737439774513744,2.0737439774513744,-0.01087995124204707,-0.019692837717372253,-0.3794238756563597
2021-07-31,337690000.0,-57318000,-47403000.0,3136045000,911401000.0,738772000.0,108475000.0,247258000.0,-6296000.0,-4238000.0,224153000.0,224153000.0,2252025000.0,1136828000.0,2224644000.0,738772000.0,1787051000.0,-0.06288999024578643,-0.018277161201449597,-0.16973555627942788,0.7322040925108828,0.8105894112470801,1.98097249539948,1.98097249539948,-0.015115535650795828,-0.028726079023229687,-0.2557092700075395
2021-10-31,380051000.0,-50455000,-40264000.0,3299617000,959570000.0,739145000.0,159058000.0,278387000.0,-5384000.0,-4473000.0,228293000.0,228293000.0,2360086000.0,1241547000.0,2340047000.0,739145000.0,1907508000.0,-0.05258084350281897,-0.015291168641693869,-0.13275849820155716,0.7324990593367732,0.770287733047094,1.9009236057918064,1.9009236057918064,-0.012202628365655771,-0.023702622276249988,-0.22100984261453482
2022-01-31,431010000.0,-41980000,-23534000.0,3618381000,1037643000.0,739517000.0,159718000.0,318390000.0,-5168000.0,-13582000.0,228293000.0,228293000.0,2570952000.0,1406830000.0,2580738000.0,739517000.0,1996633000.0,-0.040457074350234136,-0.011601873876742112,-0.09739913227071298,0.7387067585438853,0.712689238977182,1.827478799854993,1.827478799854993,-0.006504013811701974,-0.013242476760674334,-0.18388649673884
2022-04-30,487834000.0,-31523000,-23883000.0,3835835000,1116997000.0,739889000.0,214957000.0,361002000.0,-4791000.0,-3440000.0,231179000.0,231179000.0,2733058000.0,1497103000.0,2718838000.0,739889000.0,2152736000.0,-0.0282212038170201,-0.00821802814771751,-0.06461829228795041,0.740009921407692,0.6623912150166921,1.8255644401220223,1.8255644401220223,-0.006226284498681512,-0.012861855816673722,-0.13635754112614035
2022-07-31,535153000.0,-49285000,-48307000.0,4154236000,1243347000.0,740261000.0,209906000.0,394586000.0,1392000.0,-4778000.0,232554000.0,232554000.0,2975980000.0,1649250000.0,2910889000.0,740261000.0,2318858000.0,-0.03963897447776043,-0.011863793968373487,-0.09209515783336727,0.7373330617599079,0.5953776379401727,1.8044444444444445,1.8044444444444445,-0.011628371618752522,-0.024353097991135345,-0.21192927234104766
