report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2022-09-30,12122000000.0,792000000.0,1935000000.0,198111000000.0,47639000000.0,15519000000.0,,3434000000.0,-263000000.0,,425400000.0,418474087.0,150472000000.0,14044000000.0,1475000000.0,2128000000.0,0.016625034110707614,0.003997758832169844,0.06533575317604355,0.3257625055101912,0.009767251692233142,0.030637448937585104,1.8617771509167842,,,
2022-12-31,11443000000.0,1311000000.0,467000000.0,199017000000.0,50519000000.0,16296000000.0,,2658000000.0,-332000000.0,,525609166.0,532078696.0,148498000000.0,15821000000.0,475000000.0,,0.025950632435321364,0.006587376957747328,0.11456785807917504,0.3225717056948871,0.0023465332107307415,0.0069894484771383675,2.494248739946822,,,
2023-03-31,11057000000.0,1892000000.0,3255000000.0,201415000000.0,53295000000.0,14375000000.0,,2251000000.0,-384000000.0,,417900000.0,414158680.0,148120000000.0,14375000000.0,,2288000000.0,0.035500515995872034,0.009393540699550678,0.17111332187754363,0.2697251149263533,0.016160663307102252,0.04810107876459288,4.527398899258196,,,
2023-06-30,11833000000.0,1793000000.0,2365000000.0,205448000000.0,53183000000.0,14481000000.0,,2515000000.0,-392000000.0,,415600000.0,410691354.0,152265000000.0,13782000000.0,699000000.0,2285000000.0,0.033713780719402814,0.008727269187336942,0.1515253950815516,0.2722862568865991,0.011511428682683697,0.03495211633956018,4.314244465832531,,,
2023-09-30,13853000000.0,2043000000.0,3579000000.0,222748000000.0,57504000000.0,14436000000.0,,4680000000.0,-413000000.0,,412600000.0,407984339.0,165244000000.0,13736000000.0,700000000.0,,0.0355279632721202,0.009171799522330167,0.14747708077672705,0.2510434056761269,0.016067484332070323,0.04974979149291076,4.951526902569074,,,
2023-12-31,12992000000.0,3300000000.0,-598000000.0,230682000000.0,63691000000.0,14495000000.0,,3186000000.0,678000000.0,,410710272.0,410546679.0,166991000000.0,13035000000.0,1460000000.0,,0.05181265798935485,0.014305407444013837,0.25400246305418717,0.22758317501687836,-0.0025923132277334165,-0.007648428107333793,8.03486112955071,,,
2024-09-30,15102000000.0,2324000000.0,3186000000.0,250557000000.0,70120000000.0,16131000000.0,4318000000.0,4318000000.0,504000000.0,81000000.0,,,180437000000.0,14560000000.0,1571000000.0,39910000000.0,0.03314318311466058,0.009275334554612324,0.1538869023970335,0.23004848830576155,0.01271566948837989,0.036938702159974954,,3267000000.0,0.2859223943848497,4.937557392102847
2024-12-31,14180000000.0,2575000000.0,3308000000.0,246548000000.0,68394000000.0,15289000000.0,4565000000.0,4565000000.0,479000000.0,82000000.0,427740864.0,406900000.0,178154000000.0,14489000000.0,800000000.0,39185000000.0,0.037649501418253066,0.010444213702808378,0.1815937940761636,0.2235430008480276,0.013417265603452471,0.03953013156794092,6.019999997007534,3390000000.0,0.32193229901269393,4.510029498525074
2025-03-31,13480000000.0,1331000000.0,1845000000.0,251752000000.0,70755000000.0,14508000000.0,1566000000.0,1566000000.0,321000000.0,75000000.0,404700000.0,400748485.0,180997000000.0,14508000000.0,0.0,38858000000.0,0.01881139142110098,0.005286949060980648,0.09873887240356083,0.20504557981768073,0.007328640884680162,0.021638928960979558,3.2888559426735853,1920000000.0,0.11617210682492582,7.55625
2025-06-30,14898000000.0,2968000000.0,3897000000.0,261563000000.0,74447000000.0,14976000000.0,3551000000.0,3551000000.0,717000000.0,74000000.0,403800000.0,398660788.0,187116000000.0,13477000000.0,1499000000.0,40369000000.0,0.0398672881378699,0.011347170662517251,0.1992213719962411,0.20116324364984486,0.014898896250616486,0.04357939232635899,7.350173353145121,3971000000.0,0.23835414149550274,3.771342231176026
2025-09-30,16342000000.0,2801000000.0,4091000000.0,270210000000.0,77811000000.0,17226000000.0,3639000000.0,3639000000.0,787000000.0,75000000.0,400900000.0,394324438.0,192399000000.0,15727000000.0,1499000000.0,41988000000.0,0.03599748107594042,0.010366011620591392,0.17139884959001347,0.2213825808690288,0.015140076237000852,0.04304639245767438,6.986779745572462,4166000000.0,0.22267776281972831,4.13490158425348
2025-12-31,,,,,,0.0,,,,,396500000.0,396500000.0,,,,,,,,,,,,,,
