report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_liabilities,total_liabilities,long_term_debt,short_term_debt,roe,roa,net_margin,gross_margin,debt_equity,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,283658000.0,-25332000,101065000.0,11568311000,6275235000.0,4414857000.0,125678000.0,,-37436000.0,,-89295000.0,167908000.0,167908000.0,4275046000.0,5293076000.0,969457000.0,3445400000.0,-0.004036820931805741,-0.002189775153866455,-0.08930472611384131,,0.7035365209430404,0.008736366095275274,0.009454081405473404,-0.15086833265836053,11770000.0,375.0940526762957
2020-06-30,231113000.0,19046000,45548000.0,11386309000,6197202000.0,4293298000.0,91741000.0,,-40375000.0,,-125090000.0,169971000.0,169643000.0,4924576000.0,5189107000.0,264531000.0,4028767000.0,0.0030733224445483624,0.0016727106211503657,0.08240990338059737,,0.6927800642935312,0.0040002427476717875,0.004341833087078786,0.11205440928158333,-79542000.0,-53.97523321012798
2020-09-30,242944000.0,12688000,60063000.0,10986639000,6113123000.0,3988528000.0,157170000.0,,-40794000.0,8116000.0,-126153000.0,169970000.0,169671000.0,4608911000.0,4873516000.0,264605000.0,3723923000.0,0.002075534877999347,0.001154857277098119,0.052226027397260275,,0.652453418653608,0.005466913038646305,0.005945859741145284,0.07464846737659588,-66090000.0,-60.34994704191254
2020-12-31,258460000.0,38487000,62879000.0,10936904000,6058147000.0,3923084000.0,124529000.0,,-38073000.0,-22358000.0,-133066000.0,169991000.0,169702000.0,4614078000.0,4878757000.0,264679000.0,3658405000.0,0.006352932670666459,0.0035190031840820766,0.1489089220769171,,0.6475716089424703,0.005749250427726164,0.006299723951885294,0.2264061038525569,-70187000.0,-55.89473834185818
2021-03-31,274703000.0,80656000,93711000.0,10625988000,6043044000.0,3652242000.0,139362000.0,,-35450000.0,,-122841000.0,170006000.0,169768000.0,4526107000.0,4582944000.0,,3652242000.0,0.013346915892057049,0.007590447118893792,0.2936116460322603,,0.6043712407190813,0.008819038756678438,0.00966562512957328,0.47443031422420384,-29130000.0,-125.3773429454171
2021-06-30,287159000.0,95490000,110565000.0,10640166000,6040031000.0,3650307000.0,185925000.0,,-33814000.0,,-120783000.0,170172000.0,169854000.0,4544231000.0,4600135000.0,,3650307000.0,0.015809521507422725,0.008974484044703813,0.332533544134086,,0.6043523617676797,0.010391285248745179,0.011409818728717203,0.5611381425851492,-10218000.0,-357.2428068115091
2021-09-30,307375000.0,117406000,134068000.0,10853903000,6143464000.0,3749273000.0,183191000.0,,-35993000.0,14243000.0,-118927000.0,170731920.0,170731920.0,4710439000.0,4710439000.0,,3749273000.0,0.019110716690127916,0.010816938386127092,0.38196339975599836,,0.6102864768150347,0.012352054371593334,0.013552164582966271,0.6876628576542687,15141000.0,247.62386896506175
2021-12-31,296924000.0,69474000,113835000.0,10792563000,6109932000.0,3718944000.0,150910000.0,,-36429000.0,-26344000.0,-125333000.0,171866080.0,170590080.0,4682631000.0,4682631000.0,,3718944000.0,0.01137066664571717,0.00643721051246122,0.23397906535005591,,0.6086719132062354,0.010547540931658217,0.011581690520869324,0.4042333426118755,-11498000.0,-323.4426856844669
2022-03-31,303433000.0,195228000,121296000.0,10840164000,6205692000.0,3716717000.0,142892000.0,,-39232000.0,,-124303000.0,171671000.0,171312000.0,4634472000.0,4634472000.0,,3716717000.0,0.031459505241317166,0.018009690628296767,0.6433973892094795,,0.5989206360869989,0.011189498609061634,0.012224450735703397,1.137221778867718,-3007000.0,-1236.0216162287995
2022-06-30,302083000.0,104796000,120021000.0,10901815000,6206135000.0,3737380000.0,184865000.0,,-36699000.0,,-79350000.0,172424000.0,172064000.0,4695680000.0,4695680000.0,,3737380000.0,0.016885871802659786,0.009612711277892719,0.3469112793503772,,0.602207331938477,0.011009267722851653,0.012070278970766374,0.607780819375493,40671000.0,91.89299500872858
