report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,28286000000.0,2865000000.0,3210000000.0,3139431000000.0,261262000000.0,768656000000.0,,-120089000000.0,-345000000.0,,3100700000.0,3095800000.0,2878169000000.0,299344000000.0,469312000000.0,24001000000.0,0.01096600347543845,0.0009125857520041052,0.10128685568832638,2.9420887844386097,0.0010224782771145473,0.003116752984218161,0.9239849066339859,,,
2020-06-30,33075000000.0,4687000000.0,5660000000.0,3213115000000.0,264466000000.0,765876000000.0,,82919000000.0,-973000000.0,,3081000000.0,3076300000.0,2948649000000.0,317003000000.0,448873000000.0,20544000000.0,0.01772250497228377,0.001458709072037571,0.14170823885109599,2.8959336927998307,0.001761530477433892,0.005493321634952278,1.5212593313859137,,,
2020-09-30,29255000000.0,9443000000.0,11769000000.0,3246076000000.0,271113000000.0,720100000000.0,,-14688000000.0,-2326000000.0,,3082800000.0,3077800000.0,2974963000000.0,279175000000.0,440925000000.0,20816000000.0,0.03483049503343624,0.0029090508047254593,0.3227824303537857,2.6560880518455403,0.0036256082728808566,0.011873330959137946,3.0631244323342415,,,
2020-12-31,29335000000.0,12136000000.0,15176000000.0,3384757000000.0,279354000000.0,712283000000.0,,-28052000000.0,-3040000000.0,,3085100000.0,3079700000.0,3105403000000.0,281685000000.0,430598000000.0,24874000000.0,0.04344308654968248,0.0035854863436282133,0.41370376683143,2.549750495786708,0.004483630582638576,0.015303987245332717,3.933746069819455,,,
2021-03-31,32266000000.0,14300000000.0,17697000000.0,3689336000000.0,280714000000.0,829773000000.0,,-43872000000.0,-3397000000.0,,3078900000.0,3073500000.0,3408622000000.0,279427000000.0,550346000000.0,25397000000.0,0.05094152767585514,0.003876036229825638,0.44319097502014504,2.9559373597326815,0.004796798123022679,0.015936251392407116,4.644515898535191,,,
2021-06-30,30479000000.0,11948000000.0,15097000000.0,3684256000000.0,286386000000.0,781168000000.0,,13530000000.0,-3149000000.0,,3078900000.0,3073500000.0,3397870000000.0,299926000000.0,481242000000.0,26592000000.0,0.04171991647636407,0.003242988543684261,0.39200761179828736,2.7276752355212897,0.004097706565450392,0.014141673395444166,3.8806067101887036,,,
2021-09-30,29647000000.0,11687000000.0,14111000000.0,3757576000000.0,290041000000.0,783321000000.0,,23331000000.0,-2424000000.0,,2981800000.0,2977300000.0,3467535000000.0,298465000000.0,484856000000.0,25857000000.0,0.040294303219200044,0.0031102497993387226,0.394205147232435,2.70072506990391,0.003755346531913127,0.013146543291079803,3.9194446307599438,,,
2021-12-31,29257000000.0,10399000000.0,12657000000.0,3743567000000.0,294127000000.0,713632000000.0,,85095000000.0,-2258000000.0,,2981800000.0,2977300000.0,3449440000000.0,301005000000.0,412627000000.0,26438000000.0,0.03535547569587287,0.0027778319447735273,0.3554363058413371,2.426271644561703,0.0033809999927876273,0.012559550448073399,3.487490777382789,,,
2022-03-31,30717000000.0,8282000000.0,10063000000.0,3954687000000.0,285899000000.0,776766000000.0,,-41917000000.0,-1781000000.0,,2981000000.0,2977000000.0,3668788000000.0,293239000000.0,483527000000.0,26165000000.0,0.02896827201214415,0.0020942238918023096,0.26962268450695054,2.7169245083053806,0.0025445755884093988,0.00946958825217731,2.778262328077826,,,
2022-06-30,30715000000.0,8649000000.0,10865000000.0,3841314000000.0,286143000000.0,759661000000.0,,66018000000.0,-2216000000.0,,2966300000.0,2962200000.0,3555171000000.0,288212000000.0,471449000000.0,27215000000.0,0.03022614566842453,0.0022515732897649085,0.28158880026045907,2.654829927693496,0.002828459219944009,0.010389136014014097,2.915753632471429,,,
