report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-04-30,1549072000.0,75670000,92548000.0,10810811000,4613722000.0,2660815000.0,175280000.0,301676000.0,-26443000.0,128809000.0,128205000.0,10168252000.0,3536274000.0,6197089000.0,2660815000.0,741222000.0,0.016401074880541135,0.00699947487750919,0.04884860096883812,0.19474627389817903,0.5767176695951771,2.875414065765266,2.875414065765266,0.008560689850187927,0.012722184243478313,0.5874589508497077
2020-07-31,1651489000.0,114761000,149645000.0,10537431000,4726128000.0,2661301000.0,332731000.0,343122000.0,-37104000.0,127399000.0,126722000.0,9811152000.0,3150002000.0,5811303000.0,2661301000.0,559348000.0,0.024282245423737994,0.010890794919558666,0.06948941228188622,0.20776523488803134,0.563103877000369,3.1146494510162217,3.1146494510162217,0.014201279230203263,0.020256709066171736,0.9007998492923807
2020-10-31,2545667000.0,199317000,260571000.0,11065733000,4927476000.0,2661718000.0,866522000.0,506877000.0,-67674000.0,128891000.0,127308000.0,10318907000.0,3277565000.0,6138257000.0,2661718000.0,1370944000.0,0.040450120913830934,0.018012091923779474,0.07829657217538664,0.19911363112300234,0.5401787852442103,3.1483454942922564,3.1483454942922564,0.02354755893712599,0.034334476098515865,1.5463996710398709
2021-01-31,1563376000.0,96499000,119110000.0,10863993000,4834492000.0,2652162000.0,55323000.0,329849000.0,-30906000.0,127562000.0,126060000.0,10014665000.0,3377339000.0,6029501000.0,2652162000.0,949696000.0,0.019960525325101376,0.008882461540614027,0.06172475463356224,0.21098507332848912,0.5485916617506038,2.9652531179132446,2.9652531179132446,0.01096374049578272,0.01590964401453573,0.7564870415954594
2021-04-30,1930124000.0,127866000,184370000.0,10975019000,4960789000.0,2403163000.0,-28056000.0,403540000.0,-41960000.0,125999000.0,124295000.0,10165200000.0,3611067000.0,6014230000.0,2403163000.0,714968000.0,0.025775335334762273,0.011650640422581501,0.06624755715176849,0.20907465012610588,0.4844316095685586,2.815012848003097,2.815012848003097,0.01679905975561409,0.025036828051024775,1.014817577917285
2021-07-31,2255481000.0,234932000,276733000.0,11264059000,5083903000.0,2403576000.0,421161000.0,510648000.0,-68463000.0,125610000.0,123826000.0,10409614000.0,3569972000.0,6180156000.0,2403576000.0,946097000.0,0.04621095249063564,0.020856779958272592,0.10416048727521979,0.22640314859668514,0.4727816404050195,2.915881132961267,2.915881132961267,0.02456778679870196,0.036959435879553054,1.870328795478067
2021-10-31,3041380000.0,374330000,440664000.0,11537850000,5340455000.0,2403989000.0,854699000.0,698863000.0,-125359000.0,124057000.0,122219000.0,10628294000.0,3578126000.0,6197395000.0,2403989000.0,1638494000.0,0.07009327856896089,0.03244365284693422,0.12307899703424104,0.22978483451591053,0.4501468507833134,2.970352078154878,2.970352078154878,0.038192904223923865,0.0569006632367669,3.017403290422951
2022-01-31,1791081000.0,151904000,175067000.0,11283879000,5301450000.0,1994544000.0,-280698000.0,401937000.0,-48912000.0,124057000.0,122218000.0,10289138000.0,3987885000.0,5982429000.0,1994544000.0,671365000.0,0.02865329296701846,0.013462037301179852,0.08481135135708547,0.22441028630195956,0.3762261268143621,2.580098974769834,2.580098974769834,0.015514788841674038,0.023994948460758055,1.2244693971319636
2022-04-30,2277541000.0,220593000,281658000.0,11544611000,5379666000.0,1994786000.0,75726000.0,525295000.0,-75222000.0,118925000.0,117839000.0,10549804000.0,4170159000.0,6164945000.0,1994786000.0,535038000.0,0.04100496201808811,0.01910787639358312,0.09685577559306287,0.2306412925167977,0.37080108690762587,2.5298325555452443,2.5298325555452443,0.02439735734707735,0.03819375324430887,1.8548917384906454
2022-07-31,2494802000.0,273467000,361673000.0,11743253000,5539047000.0,1995029000.0,-41659000.0,594538000.0,-92484000.0,116326000.0,115334000.0,10687577000.0,4209177000.0,6204206000.0,1995029000.0,316471000.0,0.049370767209594,0.02328715901803359,0.10961471090691767,0.23831069559828796,0.3601754958930661,2.5391132280728512,2.5391132280728512,0.030798365665799757,0.048004957741334175,2.3508673899214276
2022-10-31,3712134000.0,640536000,690228000.0,12288714000,6021840000.0,1995271000.0,-852911000.0,964609000.0,-200608000.0,113793000.0,112914000.0,11148573000.0,3831261000.0,6266874000.0,1995271000.0,1346754000.0,0.10636881750428441,0.052123924439937325,0.17255196067814363,0.25985295789430013,0.3313390923704383,2.9098965066592957,2.9098965066592957,0.0561676347907519,0.08609435493658502,5.6289578445071315
2023-01-31,1780169000.0,191530000,225314000.0,11984883000,6216994000.0,1995439000.0,-357764000.0,436811000.0,-62266000.0,112336000.0,111397000.0,10782207000.0,3772450000.0,5767889000.0,1995439000.0,791609000.0,0.03080749313896716,0.015980965354438586,0.10759090850363083,0.24537614125400453,0.320965244618219,2.858144441940914,2.858144441940914,0.018799849777423775,0.027435718501447742,1.7049743626264064
2023-04-30,2506979000.0,320216000,425714000.0,11989476000,6435726000.0,1595727000.0,503335000.0,653251000.0,-110376000.0,112184000.0,111214000.0,10803665000.0,3958023000.0,5553750000.0,1595727000.0,761945000.0,0.04975600266387972,0.026708089661299627,0.127729829408224,0.260572984456591,0.24794825012749144,2.729560944946505,2.729560944946505,0.035507306574532535,0.053005850871567076,2.8543820865720604
2023-07-31,2687642000.0,414789000,515111000.0,12353674000,6710483000.0,1595956000.0,529462000.0,744115000.0,-138228000.0,111123000.0,110003000.0,11158893000.0,3812846000.0,5643191000.0,1595956000.0,1033369000.0,0.06181209310864807,0.03357616527682372,0.15433193855431637,0.276865371206433,0.23783027242599378,2.926657147967686,2.926657147967686,0.04169698828057143,0.062013457270919586,3.7327016009287006
