report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,1052000000.0,-3000000,-11000000.0,13446000000,7154000000.0,5295000000.0,157000000.0,271000000.0,-31000000.0,37000000.0,-164000000.0,708100000.0,708100000.0,3431000000.0,997000000.0,6292000000.0,5295000000.0,2796000000.0,-0.0004193458205199888,-0.00022311468094600624,-0.0028517110266159697,0.2576045627376426,0.7401453732177803,3.441323971915747,3.441323971915747,-0.0008180871634686895,-0.0008836051088440839,-0.0042366897330885465,-175000000.0,-30.257142857142856
2020-06-30,103000000.0,-352000000,-353000000.0,12190000000,6803000000.0,4543000000.0,-172000000.0,-90000000.0,-39000000.0,46000000.0,-168000000.0,705100000.0,705100000.0,2179000000.0,844000000.0,5387000000.0,4543000000.0,1578000000.0,-0.051741878582978094,-0.028876127973748975,-3.4174757281553396,-0.8737864077669902,0.6677936204615611,2.5817535545023698,2.5817535545023698,-0.02895816242821985,-0.031112286268288384,-0.49921996879875197,-521000000.0,-8.719769673704414
2020-09-30,198000000.0,-313000000,-318000000.0,13071000000,6487000000.0,5638000000.0,-149000000.0,-57000000.0,-66000000.0,73000000.0,-166000000.0,705200000.0,705200000.0,3102000000.0,946000000.0,6584000000.0,5638000000.0,2430000000.0,-0.04825034684754124,-0.023946140310611277,-1.5808080808080809,-0.2878787878787879,0.869122861106829,3.2790697674418605,3.2790697674418605,-0.024328666513656186,-0.02622680412371134,-0.4438457175269427,-484000000.0,-11.648760330578513
2020-12-31,267000000.0,-64000000,-271000000.0,12890000000,6434000000.0,5541000000.0,-143000000.0,-11000000.0,-50000000.0,64000000.0,-167000000.0,705200000.0,705200000.0,2954000000.0,915000000.0,6456000000.0,5541000000.0,2335000000.0,-0.009947155735156978,-0.004965089216446858,-0.2397003745318352,-0.04119850187265917,0.8612060926328878,3.228415300546448,3.228415300546448,-0.021024049650892166,-0.022630480167014615,-0.09075439591605218,-438000000.0,-12.650684931506849
2021-03-31,399000000.0,-152000000,-166000000.0,12721000000,6274000000.0,5540000000.0,-49000000.0,101000000.0,-41000000.0,46000000.0,-165000000.0,705600000.0,705600000.0,2630000000.0,907000000.0,6447000000.0,5540000000.0,2008000000.0,-0.024226968441185846,-0.011948746167754107,-0.38095238095238093,0.2531328320802005,0.8830092445011157,2.8996692392502754,2.8996692392502754,-0.013049288577941985,-0.014051125782969359,-0.21541950113378686,-331000000.0,-16.73716012084592
2021-06-30,649000000.0,-60000000,-68000000.0,12809000000,6362000000.0,5542000000.0,9000000.0,205000000.0,-43000000.0,22000000.0,-169000000.0,707500000.0,707500000.0,2099000000.0,905000000.0,6447000000.0,5542000000.0,1450000000.0,-0.009430996541967935,-0.004684206417362792,-0.09244992295839753,0.31587057010785824,0.8711097139264382,2.3193370165745857,2.3193370165745857,-0.005308767273011164,-0.00571236559139785,-0.08480565371024736,-237000000.0,-23.383966244725737
2021-09-30,844000000.0,-119000000,-100000000.0,12712000000,6245000000.0,5545000000.0,118000000.0,269000000.0,-42000000.0,13000000.0,-263000000.0,713900000.0,713900000.0,1935000000.0,922000000.0,6467000000.0,5545000000.0,1038000000.0,-0.019055244195356286,-0.009361233480176211,-0.14099526066350712,0.3187203791469194,0.8879103282626101,2.098698481561822,2.098698481561822,-0.007866582756450597,-0.008481764206955046,-0.16669001260680769,-363000000.0,-15.275482093663912
2021-12-31,998000000.0,320000000,76000000.0,12352000000,6572000000.0,4891000000.0,214000000.0,335000000.0,-63000000.0,10000000.0,-165000000.0,714200000.0,714200000.0,1741000000.0,889000000.0,5780000000.0,4891000000.0,807000000.0,0.048691418137553254,0.025906735751295335,0.32064128256513025,0.33567134268537074,0.7442178940961656,1.9583802024746906,1.9583802024746906,0.006152849740932643,0.006630027043531362,0.44805376645197426,-89000000.0,-54.95505617977528
2022-03-31,1074000000.0,116000000,122000000.0,11829000000,6728000000.0,4210000000.0,261000000.0,401000000.0,-35000000.0,16000000.0,-172000000.0,716100000.0,714000000.0,1365000000.0,891000000.0,5101000000.0,4210000000.0,266000000.0,0.017241379310344827,0.009806407980387184,0.10800744878957169,0.37337057728119183,0.6257431629013079,1.531986531986532,1.531986531986532,0.010313635979372729,0.011153775827390747,0.16198854908532329,-50000000.0,-84.2
2022-06-30,1381000000.0,256000000,320000000.0,12044000000,6945000000.0,4212000000.0,447000000.0,585000000.0,-31000000.0,-39000000.0,-162000000.0,716100000.0,714300000.0,1836000000.0,887000000.0,5099000000.0,4212000000.0,699000000.0,0.036861051115910724,0.021255396878113585,0.18537291817523532,0.4236060825488776,0.6064794816414687,2.0698985343855694,2.0698985343855694,0.02656924609764198,0.028681545218248634,0.3574919703951962,158000000.0,26.658227848101266
