report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,11738000000.0,396000000,1802000000.0,146552000000,36722000000.0,79692000000.0,3220000000.0,-980000000.0,-29000000.0,-2497000000.0,212810613.0,207831305.0,5759000000.0,13215000000.0,109830000000.0,74787000000.0,4905000000.0,2908000000.0,0.01078372637655901,0.0027021125607292976,0.0337365820412336,2.170143238385709,0.435792659856224,0.435792659856224,0.012295976854631803,0.015479237892349717,1.860809451265478,-695000000.0,-114.66474820143885
2020-06-30,11696000000.0,766000000,1969000000.0,145136000000,36401000000.0,78369000000.0,3529000000.0,-957000000.0,-166000000.0,-2428000000.0,210906946.0,205777438.0,4765000000.0,9142000000.0,108735000000.0,77663000000.0,706000000.0,2097000000.0,0.02104337792917777,0.0052778084003968695,0.06549247606019151,2.152935358918711,0.5212207394443229,0.5212207394443229,0.013566585822952266,0.017156051232900583,3.631933487861514,-459000000.0,-170.73856209150327
2020-09-30,12039000000.0,814000000,2172000000.0,144193000000,33712000000.0,79662000000.0,3664000000.0,-946000000.0,-177000000.0,-2370000000.0,208722129.0,202826502.0,4060000000.0,10256000000.0,110481000000.0,77947000000.0,1715000000.0,1283000000.0,0.024145704793545324,0.005645211626084484,0.06761358916853559,2.363016136687233,0.3958658346333853,0.3958658346333853,0.015063144535449016,0.01915783160160178,3.899921890888723,-198000000.0,-402.3333333333333
2020-12-31,12624000000.0,1246000000,2462000000.0,144206000000,30281000000.0,82752000000.0,4149000000.0,-965000000.0,-254000000.0,-2409000000.0,204653300.0,196830687.0,3909000000.0,9875000000.0,113925000000.0,81744000000.0,1008000000.0,1001000000.0,0.04114791453386612,0.008640417180977213,0.09870088719898606,2.7328027475975034,0.39584810126582276,0.39584810126582276,0.017072798635285633,0.021781249723532067,6.088345509209966,53000000.0,1561.3584905660377
2021-03-31,12522000000.0,807000000,2068000000.0,143439000000,27181000000.0,84887000000.0,3751000000.0,-983000000.0,-216000000.0,-2441000000.0,205872536.0,191404527.0,3663000000.0,9916000000.0,116258000000.0,83882000000.0,1005000000.0,772000000.0,0.029689856885324308,0.005626084955974317,0.06444657402970771,3.123027114528531,0.3694029850746269,0.3694029850746269,0.014417278424975076,0.01845308205732234,3.9199011955630643,-373000000.0,-227.57908847184987
2021-06-30,12802000000.0,1020000000,2575000000.0,144026000000,24086000000.0,87964000000.0,3999000000.0,-1004000000.0,-281000000.0,-2354000000.0,198911394.0,185812336.0,4682000000.0,10038000000.0,119940000000.0,86962000000.0,1002000000.0,1711000000.0,0.04234825209665366,0.007082054629025315,0.07967505077331667,3.6520800465000414,0.4664275752141861,0.4664275752141861,0.017878716342882534,0.022980812137438644,5.127911375453937,221000000.0,398.02714932126696
2021-09-30,13146000000.0,1217000000,2927000000.0,142495000000,21526000000.0,88372000000.0,4263000000.0,-1016000000.0,-347000000.0,-2270000000.0,187166071.0,181925180.0,3498000000.0,12237000000.0,120969000000.0,85376000000.0,2996000000.0,466000000.0,0.05653628170584409,0.008540650549142076,0.0925756884223338,4.105360958840472,0.2858543760725668,0.2858543760725668,0.02054107161654795,0.026633787694043568,6.502246873579987,657000000.0,134.5083713850837
2021-12-31,13212000000.0,1610000000,2956000000.0,142491000000,18156000000.0,91561000000.0,4306000000.0,-1034000000.0,-224000000.0,-2280000000.0,180221791.0,175535433.0,3566000000.0,12458000000.0,124335000000.0,88564000000.0,2997000000.0,601000000.0,0.0886759198061247,0.01129895923251293,0.1218589161368453,5.04301608283763,0.28624177235511317,0.28624177235511317,0.020745169870377778,0.02694204179844509,8.933436911632956,676000000.0,135.44526627218934
2022-03-31,13200000000.0,1203000000,2771000000.0,143948000000,15944000000.0,95222000000.0,3647000000.0,-1060000000.0,-345000000.0,-2294000000.0,180417622.0,175623846.0,5516000000.0,13929000000.0,128004000000.0,90679000000.0,4543000000.0,2431000000.0,0.07545158053186152,0.008357184538861256,0.09113636363636364,5.972277972905168,0.39600832794888363,0.39600832794888363,0.019250006946953068,0.024926686217008796,6.6678630760358875,477000000.0,199.62683438155136
2022-06-30,13598000000.0,1471000000,3227000000.0,143258000000,13513000000.0,96001000000.0,3734000000.0,-1109000000.0,-489000000.0,-2240000000.0,167090925.0,164049619.0,3738000000.0,11395000000.0,129745000000.0,94468000000.0,1533000000.0,483000000.0,0.10885813660919115,0.010268187465970486,0.10817767318723341,7.104343965070672,0.3280386134269416,0.3280386134269416,0.022525792625891747,0.029466552221633763,8.803590021420971,987000000.0,97.26545086119555
