report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-04-30,12469000000.0,764000000,910000000.0,33773000000,-743000000.0,5492000000.0,-510000000.0,2493000000.0,-62000000.0,-29000000.0,1440000000.0,1435000000.0,19660000000.0,25276000000.0,34516000000.0,3941000000.0,1551000000.0,4054000000.0,-1.0282637954239569,0.02262162082136618,0.06127195444702863,0.1999358408853958,-7.391655450874832,0.7778129450862479,0.7778129450862479,0.026944600716548722,0.191619288271215,0.5305555555555556,881000000.0,6.233825198637912
2020-07-31,14294000000.0,734000000,849000000.0,34244000000,-1986000000.0,6257000000.0,1667000000.0,2393000000.0,-17000000.0,-29000000.0,1423000000.0,1417000000.0,20269000000.0,25026000000.0,36230000000.0,5981000000.0,276000000.0,4679000000.0,-0.36958710976837866,0.021434411867772455,0.051350216874212956,0.16741290051769975,-3.1505538771399797,0.8099176856069688,0.8099176856069688,0.02479266440836351,0.19878248653711075,0.5158116654954322,820000000.0,7.630487804878049
2020-10-31,15258000000.0,668000000,1025000000.0,34681000000,-2228000000.0,6217000000.0,1874000000.0,2679000000.0,-108000000.0,-29000000.0,1357000000.0,1346000000.0,20648000000.0,26220000000.0,36909000000.0,5543000000.0,674000000.0,4864000000.0,-0.2998204667863555,0.01926126697615409,0.04378031196749246,0.1755800235941801,-2.790394973070018,0.787490465293669,0.787490465293669,0.02955508780023644,0.2569566307345199,0.4922623434045689,996000000.0,6.241967871485944
2021-01-31,15646000000.0,1068000000,1448000000.0,34737000000,-3235000000.0,6177000000.0,1022000000.0,3324000000.0,-228000000.0,-29000000.0,1293000000.0,1285000000.0,20438000000.0,27880000000.0,37972000000.0,4939000000.0,1238000000.0,4160000000.0,-0.33013910355486864,0.030745314794023662,0.06826025821296178,0.212450466572926,-1.9094281298299844,0.7330703012912482,0.7330703012912482,0.04168465900912571,0.4921821889870836,0.8259860788863109,1419000000.0,4.353065539112051
2021-04-30,15877000000.0,1228000000,1411000000.0,34549000000,-3360000000.0,6139000000.0,1446000000.0,3440000000.0,-108000000.0,-32000000.0,1247000000.0,1234000000.0,20091000000.0,28029000000.0,37909000000.0,4917000000.0,1222000000.0,3424000000.0,-0.36547619047619045,0.03554372051289473,0.0773445865087863,0.21666561693015055,-1.8270833333333334,0.7167933212030397,0.7167933212030397,0.040840545312454776,0.507736595897805,0.9847634322373697,1379000000.0,4.451776649746193
2021-07-31,15289000000.0,1108000000,1461000000.0,35523000000,-3942000000.0,7112000000.0,1093000000.0,3388000000.0,-218000000.0,-42000000.0,1270000000.0,1260000000.0,20603000000.0,27667000000.0,39465000000.0,6898000000.0,214000000.0,3439000000.0,-0.2810755961440893,0.031191059313684093,0.07247040355811368,0.22159722676434038,-1.8041603247082698,0.7446777749665666,0.7446777749665666,0.04112828308419897,0.4608832807570978,0.8724409448818897,1419000000.0,5.011980267794221
2021-10-31,16648000000.0,3137000000,1358000000.0,38610000000,-1650000000.0,7492000000.0,2848000000.0,3255000000.0,-473000000.0,-51000000.0,1094000000.0,1081000000.0,22170000000.0,29096000000.0,40260000000.0,6386000000.0,1106000000.0,4299000000.0,-1.9012121212121211,0.08124838124838125,0.18843104276790004,0.1955189812590101,-4.540606060606061,0.7619604069287874,0.7619604069287874,0.035172235172235174,0.23245463882232112,2.8674588665447898,1307000000.0,5.73221117061974
2022-01-31,17028000000.0,1086000000,1447000000.0,38912000000,-2328000000.0,7057000000.0,1657000000.0,3385000000.0,-241000000.0,-52000000.0,1094000000.0,1081000000.0,22432000000.0,30199000000.0,41240000000.0,6368000000.0,689000000.0,3394000000.0,-0.46649484536082475,0.027909128289473683,0.06377730796335447,0.1987902278599953,-3.031357388316151,0.7428060531805689,0.7428060531805689,0.037186472039473686,0.3059843518714316,0.9926873857404022,1395000000.0,5.058781362007169
2022-04-30,16490000000.0,1000000000,1392000000.0,39901000000,-1898000000.0,8998000000.0,508000000.0,3333000000.0,-239000000.0,-52000000.0,1062000000.0,1050000000.0,23515000000.0,28906000000.0,41799000000.0,8304000000.0,694000000.0,4477000000.0,-0.5268703898840885,0.025062028520588458,0.06064281382656155,0.20212249848392966,-4.7407797681770285,0.8134989275582925,0.8134989275582925,0.03488634370065913,0.19605633802816902,0.9416195856873822,1340000000.0,6.714925373134329
2022-07-31,14648000000.0,1122000000,1323000000.0,39247000000,-2318000000.0,10999000000.0,394000000.0,2884000000.0,-64000000.0,-50000000.0,1035000000.0,1024000000.0,22996000000.0,26809000000.0,41565000000.0,10294000000.0,705000000.0,5386000000.0,-0.4840379637618637,0.02858817234438301,0.07659748771163298,0.19688694702348444,-4.745038826574634,0.8577716438509456,0.8577716438509456,0.0337095828980559,0.15240179702799217,1.0840579710144929,1273000000.0,8.640219952867243
2022-10-31,14774000000.0,-23000000,1046000000.0,38494000000,-3025000000.0,11014000000.0,1904000000.0,2691000000.0,-670000000.0,-74000000.0,1009000000.0,997000000.0,19736000000.0,26189000000.0,41519000000.0,10796000000.0,218000000.0,3145000000.0,0.007603305785123967,-0.0005974957136177067,-0.0015567889535670772,0.18214430756734803,-3.64099173553719,0.7535988392073008,0.7535988392073008,0.027173065932353094,0.13093002878958568,-0.022794846382556987,972000000.0,11.331275720164609
2023-01-31,13798000000.0,469000000,968000000.0,36148000000,-3730000000.0,10759000000.0,-714000000.0,2787000000.0,-93000000.0,-85000000.0,996000000.0,989000000.0,17305000000.0,25053000000.0,39878000000.0,10337000000.0,422000000.0,1769000000.0,-0.1257372654155496,0.012974438419829589,0.03399043339614437,0.20198579504275982,-2.8844504021447723,0.6907356404422624,0.6907356404422624,0.026778798273763418,0.13771517996870108,0.4708835341365462,883000000.0,12.184597961494903
2023-04-30,12907000000.0,1054000000,1021000000.0,36366000000,-2484000000.0,10600000000.0,1334000000.0,2914000000.0,467000000.0,-86000000.0,998000000.0,991000000.0,17023000000.0,24034000000.0,38850000000.0,10360000000.0,240000000.0,1940000000.0,-0.4243156199677939,0.028983116097453666,0.0816611141241187,0.2257689625784458,-4.26731078904992,0.7082882583007406,0.7082882583007406,0.028075675081119727,0.12580088713652046,1.0561122244488979,935000000.0,11.336898395721924
2023-07-31,13196000000.0,766000000,1075000000.0,36632000000,-2245000000.0,9679000000.0,976000000.0,2822000000.0,-170000000.0,-91000000.0,1002000000.0,993000000.0,17463000000.0,25190000000.0,38877000000.0,9236000000.0,443000000.0,1718000000.0,-0.3412026726057906,0.020910679187595545,0.058047893301000304,0.21385268263110033,-4.311358574610245,0.6932512901945216,0.6932512901945216,0.029345927058309674,0.144605864944848,0.7644710578842315,984000000.0,9.836382113821138
2023-10-31,13817000000.0,974000000,1160000000.0,37004000000,-1069000000.0,9484000000.0,1975000000.0,2985000000.0,122000000.0,-88000000.0,1004000000.0,995000000.0,17977000000.0,24488000000.0,38073000000.0,9254000000.0,230000000.0,3232000000.0,-0.9111318989710009,0.026321478759053076,0.07049287110081784,0.21603821379460086,-8.871842843779232,0.7341146684090166,0.7341146684090166,0.03134796238244514,0.1378490790255496,0.9701195219123506,1072000000.0,8.847014925373134
2024-01-31,13185000000.0,622000000,1025000000.0,35846000000,-1640000000.0,9660000000.0,121000000.0,2888000000.0,-171000000.0,-81000000.0,1002000000.0,995000000.0,16858000000.0,23857000000.0,37486000000.0,9301000000.0,359000000.0,2417000000.0,-0.37926829268292683,0.01735200580260001,0.04717481987106561,0.21903678422449754,-5.890243902439025,0.7066269857903341,0.7066269857903341,0.028594543324220276,0.12780548628428928,0.6207584830339321,944000000.0,10.233050847457626
2024-04-30,12800000000.0,607000000,1045000000.0,37433000000,-916000000.0,9592000000.0,581000000.0,3023000000.0,-190000000.0,-80000000.0,990000000.0,984000000.0,18593000000.0,24839000000.0,38349000000.0,9327000000.0,265000000.0,2517000000.0,-0.6626637554585153,0.01621563860764566,0.047421875,0.236171875,-10.471615720524017,0.7485406014734892,0.7485406014734892,0.02791654422568322,0.12044721069617335,0.6131313131313131,965000000.0,9.939896373056994
