report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,7249000000.0,-1340000000.0,-1903000000.0,396878000000.0,56830000000.0,32448000000.0,,5409000000.0,563000000.0,,457600000.0,457600000.0,340048000000.0,,32448000000.0,4545000000.0,,-0.02357909554812599,-0.0033763524307217833,-0.18485308318388743,0.5709660390638747,-0.004794924384823548,-0.02131544165415892,-2.9283216783216783,,,
2020-06-30,6556000000.0,-918000000.0,-1460000000.0,421296000000.0,56045000000.0,29054000000.0,,3806000000.0,543000000.0,,456700000.0,456700000.0,365251000000.0,,29054000000.0,4583000000.0,,-0.016379694888036398,-0.002178990543465877,-0.14002440512507627,0.5184048532429298,-0.0034654969427670807,-0.017156488325362224,-2.0100722574994525,,,
2020-09-30,7381000000.0,2406000000.0,3502000000.0,421883000000.0,58424000000.0,29150000000.0,,2857000000.0,-1096000000.0,,458500000.0,457800000.0,363459000000.0,,29150000000.0,4267000000.0,,0.04118170614815829,0.005703002965277103,0.3259720905026419,0.4989387922771464,0.008300879627764097,0.03998903784228196,5.247546346782988,,,
2020-12-31,7337000000.0,2566000000.0,3064000000.0,421602000000.0,60204000000.0,40539000000.0,,4627000000.0,-496000000.0,,462800000.0,459100000.0,361398000000.0,39871000000.0,668000000.0,4708000000.0,,0.0426217527074613,0.006086308888477759,0.3497342237971923,0.673360574048236,0.007267517706272741,0.03041402380314265,5.544511668107174,,,
2021-03-31,7113000000.0,3325000000.0,4196000000.0,425175000000.0,61188000000.0,26379000000.0,,1636000000.0,-869000000.0,,460100000.0,458600000.0,363987000000.0,70000000.0,26309000000.0,4670000000.0,,0.05434072040269334,0.0078203092844123,0.4674539575425278,0.4311139439105707,0.009868877521020756,0.04791759452761885,7.226689850032602,,,
2021-06-30,7374000000.0,3536000000.0,4568000000.0,423420000000.0,64624000000.0,25782000000.0,,4058000000.0,-1031000000.0,,452100000.0,450200000.0,358796000000.0,59000000.0,25723000000.0,5312000000.0,,0.05471651398861104,0.008351046242501535,0.47952264713859505,0.39895394899727654,0.010788342544046101,0.05052761984824016,7.821278478212784,,,
2021-09-30,7830000000.0,3104000000.0,3986000000.0,425377000000.0,63544000000.0,37501000000.0,,1954000000.0,-882000000.0,,440500000.0,438800000.0,361833000000.0,36676000000.0,825000000.0,5444000000.0,,0.04884804230139746,0.007297056493416428,0.39642401021711365,0.590158000755382,0.00937051133465138,0.03944777079519026,7.046538024971623,,,
2021-12-31,8118000000.0,2425000000.0,3059000000.0,432381000000.0,61029000000.0,43086000000.0,,4662000000.0,-633000000.0,,344500000.0,342400000.0,371352000000.0,42266000000.0,820000000.0,4164000000.0,,0.03973520785200479,0.005608479558537494,0.2987188962798719,0.7059922332006096,0.007074778956522141,0.029380972962589444,7.039187227866473,,,
2022-03-31,8173000000.0,2403000000.0,2945000000.0,434195000000.0,56345000000.0,45358000000.0,,-79000000.0,-542000000.0,,412200000.0,410400000.0,377850000000.0,44764000000.0,594000000.0,5107000000.0,,0.042647972313426215,0.005534379714183719,0.2940168848647987,0.80500488064602,0.006782666774145257,0.02895686459593129,5.829694323144105,,,
2022-06-30,8232000000.0,2031000000.0,2564000000.0,440288000000.0,53410000000.0,58938000000.0,,2955000000.0,-533000000.0,,392600000.0,391200000.0,386878000000.0,58498000000.0,440000000.0,4825000000.0,,0.038026586781501594,0.004612889744894251,0.2467201166180758,1.1035012170005616,0.00582346100734065,0.022821946096058674,5.173204279164544,,,
