report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2021-06-30,565000000.0,-502000000,64000000.0,18088582000,194975000.0,5189783000.0,2281000000.0,527000000.0,-38000000.0,232223019.0,232223019.0,17900887000.0,12240276000.0,17893607000.0,5189783000.0,,5077752000.0,-2.574689062700346,-0.027752313586548685,-0.8884955752212389,0.9327433628318584,26.617684318502373,1.4624577909844516,1.4624577909844516,0.003538143564818956,0.011885399492419157,-2.1617150709766633
2021-09-30,365000000.0,-1317000000,-1343000000.0,19317368000,7384582000.0,0.0,-1009000000.0,321000000.0,50000000.0,638168188.0,638168188.0,18849696000.0,11798418000.0,11932786000.0,,,6166705000.0,-0.17834455626601478,-0.06817698974311615,-3.6082191780821917,0.8794520547945206,0.0,1.5976460572934439,1.5976460572934439,-0.069522928796511,-0.18186540551652078,-2.0637192902508015
2021-12-31,363000000.0,-423000000,-420000000.0,19769000000,7293000000.0,0.0,-275000000.0,-40000000.0,-3000000.0,2334174290.0,2334174290.0,19283000000.0,10513000000.0,12476000000.0,,,6253000000.0,-0.05800082270670506,-0.02139713693155951,-1.165289256198347,-0.11019283746556474,0.0,1.8342052696661277,1.8342052696661277,-0.021245384187364054,-0.057589469354175235,-0.18122040064111922
2022-03-31,299000000.0,-392000000,-391000000.0,18872000000,7131000000.0,0.0,437000000.0,268000000.0,-1000000.0,859932743.0,859932743.0,18355000000.0,11581000000.0,11741000000.0,,,6231000000.0,-0.05497125227878278,-0.020771513353115726,-1.3110367892976589,0.8963210702341137,0.0,1.5849235817286935,1.5849235817286935,-0.020718524798643494,-0.054831019492357316,-0.45584960357766025
2022-06-30,318000000.0,-291000000,-292000000.0,24548000000,7017000000.0,0.0,-1263000000.0,288000000.0,-1000000.0,859932743.0,859932743.0,24045000000.0,17399000000.0,17531000000.0,,,6008000000.0,-0.04147071398033347,-0.011854326218021835,-0.9150943396226415,0.9056603773584906,0.0,1.3819759756307834,1.3819759756307834,-0.011895062734234968,-0.041613225024939436,-0.33839855775790595
2022-09-30,361000000.0,-175000000,-174000000.0,24601000000,6954000000.0,0.0,-207000000.0,328000000.0,-1000000.0,882356575.0,882356575.0,24113000000.0,16480000000.0,17647000000.0,,,6326000000.0,-0.025165372447512224,-0.007113531970245112,-0.48476454293628807,0.9085872576177285,0.0,1.4631674757281554,1.4631674757281554,-0.007072883216129425,-0.025021570319240724,-0.1983325165339194
2022-12-31,380000000.0,-170000000,-154000000.0,23337000000,6956000000.0,2831000000.0,181000000.0,295000000.0,2000000.0,878630024.0,878630024.0,21920000000.0,15256000000.0,16381000000.0,997000000.0,1834000000.0,6339000000.0,-0.02443933294997125,-0.007284569567639371,-0.4473684210526316,0.7763157894736842,0.4069867740080506,1.436811746198217,1.436811746198217,-0.006598963020096842,-0.01573515888423419,-0.19348303080523913
2023-03-31,441000000.0,-507000000,-509000000.0,27785000000,7046000000.0,0.0,-194000000.0,405000000.0,2000000.0,896924695.0,896924695.0,26898000000.0,19400000000.0,20739000000.0,,,6303000000.0,-0.07195571955719557,-0.018247255713514487,-1.1496598639455782,0.9183673469387755,0.0,1.3864948453608248,1.3864948453608248,-0.018319236998380423,-0.07223956854953165,-0.565264846454027
2023-06-30,486000000.0,25000000,20000000.0,28660000000,7187000000.0,0.0,1392000000.0,447000000.0,3000000.0,921269749.0,904984863.0,27785000000.0,19947000000.0,21473000000.0,,,6789000000.0,0.003478502852372339,0.0008722958827634334,0.051440329218107,0.9197530864197531,0.0,1.3929412944302402,1.3929412944302402,0.0006978367062107466,0.002782802281897871,0.02713646033329159
2023-09-30,467000000.0,-85000000,-73000000.0,26318000000,6574000000.0,0.0,-977000000.0,428000000.0,-10000000.0,895108790.0,895108790.0,25367000000.0,18252000000.0,19744000000.0,,,6093000000.0,-0.01292972315181016,-0.0032297287027889658,-0.18201284796573874,0.9164882226980728,0.0,1.3898202936664474,1.3898202936664474,-0.0027737670035717,-0.011104350471554609,-0.09496052429559987
2023-12-31,471000000.0,30000000,26000000.0,17624000000,6696000000.0,5139000000.0,960000000.0,439000000.0,1000000.0,866412288.0,866412288.0,16658000000.0,9245000000.0,10928000000.0,1592000000.0,3547000000.0,9283000000.0,0.004480286738351254,0.001702224239673173,0.06369426751592357,0.9320594479830149,0.7674731182795699,1.8018388318009735,1.8018388318009735,0.0014752610077167498,0.0021968736797634138,0.03462554769306319
2024-03-31,618000000.0,157000000,158000000.0,46088000000,6885000000.0,6190000000.0,-623000000.0,583000000.0,-5000000.0,895779155.0,875319407.0,43075000000.0,37138000000.0,39203000000.0,1975000000.0,4215000000.0,9238000000.0,0.02280319535221496,0.003406526644679743,0.2540453074433657,0.9433656957928802,0.8990559186637618,1.1598632128816846,1.1598632128816846,0.0034282242666203782,0.012084130019120459,0.1752664137401143
2024-06-30,682000000.0,188000000,189000000.0,41346000000,7122000000.0,7102000000.0,54000000.0,642000000.0,-3000000.0,904490572.0,881076624.0,40136000000.0,11486000000.0,34224000000.0,2011000000.0,5091000000.0,9108000000.0,0.02639707947205841,0.004546993663232236,0.2756598240469208,0.9413489736070382,0.997191800056164,3.494340936792617,3.494340936792617,0.00457117979973879,0.01328740157480315,0.20785180721596289
2024-09-30,637000000.0,150000000,151000000.0,43245000000,7208000000.0,0.0,1812000000.0,598000000.0,-3000000.0,905544750.0,884108545.0,42005000000.0,33757000000.0,36037000000.0,,,8315000000.0,0.020810210876803552,0.00346860908775581,0.23547880690737832,0.9387755102040817,0.0,1.2443345083982582,1.2443345083982582,0.0034917331483408486,0.02094894561598224,0.16564614835434693
2024-12-31,1014000000.0,916000000,556000000.0,26187000000,7972000000.0,9993000000.0,-1400000000.0,964000000.0,358000000.0,918871539.0,883948048.0,24605000000.0,15574000000.0,18215000000.0,2530000000.0,7463000000.0,9056000000.0,0.11490215755143,0.034979188146790394,0.903353057199211,0.9506903353057199,1.2535122930255895,1.579876717606267,1.579876717606267,0.02123190896246229,0.030949067631505706,0.9968749287815302
