report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps
2020-03-31,1462600000.0,343100000,707200000.0,8636900000,7405000000.0,0.0,787700000.0,-40300000.0,236800000.0,234100000.0,4309600000.0,644800000.0,1231900000.0,,,1562400000.0,0.04633355840648211,0.03972490129560375,0.234582250786271,0.0,6.683622828784119,6.683622828784119,0.08188123053410368,0.09550303848750843,1.448902027027027
2020-06-30,1415400000.0,603000000,553700000.0,9477300000,7840800000.0,0.0,853000000.0,-240300000.0,229500000.0,227400000.0,5006800000.0,1004700000.0,1636500000.0,,,2058100000.0,0.07690541781450873,0.0636257161849894,0.42602797795676134,0.0,4.983378122822733,4.983378122822733,0.05842381268926804,0.07061779410264259,2.627450980392157
2020-09-30,1595800000.0,643200000,728900000.0,10134600000,8468700000.0,0.0,276200000.0,-221900000.0,229400000.0,227000000.0,5524500000.0,1012200000.0,1665900000.0,,,2228200000.0,0.07595026391299728,0.06346575099165236,0.4030580273217195,0.0,5.457913455838767,5.457913455838767,0.07192193081128016,0.08606988085538513,2.8038360941586746
2020-12-31,1732900000.0,783400000,755900000.0,10659000000,9268700000.0,0.0,2000000.0,-216400000.0,229100000.0,226700000.0,5710300000.0,560400000.0,1390300000.0,,,2151700000.0,0.08452102236559604,0.07349657566375832,0.4520745571008137,0.0,10.189685938615275,10.189685938615275,0.0709165963035932,0.08155404749317596,3.419467481449149
2021-03-31,1826800000.0,749400000,893200000.0,10764400000,9021100000.0,53700000.0,994700000.0,-230500000.0,230000000.0,227700000.0,3716000000.0,973400000.0,1743300000.0,,53700000.0,2830100000.0,0.0830719091906752,0.0696183716695775,0.4102255309831399,0.00595271086674574,3.8175467433737413,3.8175467433737413,0.08297722121065736,0.09842641160135761,3.2582608695652175
2021-06-30,1929300000.0,815700000,958100000.0,11279200000,8773400000.0,0.0,807300000.0,-259300000.0,229100000.0,227000000.0,4433100000.0,1666900000.0,2505800000.0,,,3514900000.0,0.09297421752114346,0.07231895879140364,0.42279583268543,0.0,2.6594876717259583,2.6594876717259583,0.08494396765728066,0.10920509722570497,3.56045395024007
2021-09-30,1954100000.0,777200000,996200000.0,11450700000,9348700000.0,0.0,1288700000.0,-227300000.0,229100000.0,226900000.0,6386800000.0,1210100000.0,2102000000.0,,,3418500000.0,0.08313455346732701,0.06787357978114875,0.39772785425515583,0.0,5.277910916453186,5.277910916453186,0.08699904809312968,0.10656027041192893,3.392405063291139
2021-12-31,1961700000.0,740600000,862500000.0,12509000000,10253700000.0,0.0,447000000.0,-179000000.0,219400000.0,218000000.0,4544200000.0,988500000.0,2255300000.0,,,1523100000.0,0.0722275861396374,0.059205372132064914,0.37752969363307337,0.0,4.5970662620131515,4.5970662620131515,0.06895035574386442,0.08411597764709325,3.375569735642662
2022-03-31,1863000000.0,567900000,859000000.0,12348000000,10117000000.0,0.0,1103400000.0,-164500000.0,226900000.0,224900000.0,2917000000.0,922700000.0,2231000000.0,,,1997500000.0,0.05613324107937136,0.04599125364431487,0.30483091787439615,0.0,3.161374227809689,3.161374227809689,0.06956592160673793,0.08490659286349708,2.502864698104892
2022-06-30,1513000000.0,339600000,645500000.0,11768700000,9737600000.0,0.0,623600000.0,-100900000.0,226900000.0,224900000.0,4196400000.0,1060400000.0,2031100000.0,,,2116000000.0,0.034875123233651,0.02885620331897321,0.22445472571050892,0.0,3.957374575631837,3.957374575631837,0.054848878805645485,0.06628943476832073,1.49669457910974
2022-09-30,1588200000.0,384400000,571800000.0,11993200000,9695300000.0,0.0,767600000.0,-134000000.0,227900000.0,226700000.0,4392000000.0,1403900000.0,2297900000.0,,,2366300000.0,0.03964807690324178,0.032051495847647,0.24203500818536708,0.0,3.12842795070874,3.12842795070874,0.04767701697628656,0.05897703010737161,1.6867046950416849
