report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,cash,capex,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,1810610000.0,-4418000.0,125023000.0,26089929000.0,5537544000.0,2631068000.0,,152570000.0,2942000.0,,428145750.0,428145750.0,20552385000.0,2631068000.0,965012000.0,,-0.0007978266177207802,-0.00016933737151986883,-0.0024400616366859786,0.4751326580881344,0.004792002308630277,0.015305292992248866,-0.010318915929914053,,,
2020-06-30,1936026000.0,71260000.0,220060000.0,27323292000.0,5845391000.0,2924647000.0,,427281000.0,-33793000.0,,428717250.0,418414500.0,21477901000.0,2924647000.0,2430826000.0,,0.012190801265475655,0.002608031272366448,0.0368073569259917,0.5003338527739205,0.008053934350223977,0.025092251595717145,0.16621677807459345,,,
2020-09-30,2039819000.0,151678000.0,331218000.0,28212370000.0,6039672000.0,3072813000.0,,557094000.0,-54048000.0,,422363250.0,417971250.0,22172698000.0,3072813000.0,2571447000.0,,0.02511361544136834,0.005376294157491909,0.07435855828384773,0.5087715028233322,0.01174016929453286,0.03634771415261589,0.3591174184780518,,,
2020-12-31,2312471000.0,312150000.0,563526000.0,28606913000.0,6325797000.0,2725334000.0,,479741000.0,-86917000.0,,419640750.0,417784500.0,22281116000.0,2725334000.0,2372366000.0,,0.0493455607253916,0.010911698161909325,0.13498547657462515,0.4308285580457293,0.019698944797014624,0.06226028548255461,0.7438505435899636,,,
2021-03-31,2156869000.0,229525000.0,419009000.0,29791274000.0,6430284000.0,3310414000.0,,310990000.0,-64352000.0,,420367500.0,416688750.0,23360990000.0,3310414000.0,2014911000.0,,0.03569437990608191,0.00770443721205075,0.10641582775773586,0.5148161418686951,0.014064823142508105,0.04301632182827144,0.5460103361939256,,,
2021-06-30,2296086000.0,237238000.0,444734000.0,30297917000.0,6587954000.0,2919046000.0,,384819000.0,-62262000.0,,422118000.0,416598750.0,23709963000.0,2919046000.0,1790199000.0,,0.03601087682154429,0.007830175255942512,0.10332278494795055,0.4430884004350972,0.014678698868968451,0.04677963605764174,0.562018203440744,,,
2021-09-30,2424283000.0,261297000.0,482846000.0,31544288000.0,6663711000.0,3266118000.0,,828585000.0,-64963000.0,,420169500.0,416319750.0,24880577000.0,3266118000.0,2069029000.0,,0.03921193461120988,0.00828349652399826,0.1077832084785481,0.49013500135284976,0.015306923396083628,0.04862581218669526,0.6218847393730388,,,
2021-12-31,2578228000.0,294430000.0,555648000.0,32086414000.0,6667730000.0,3267068000.0,,659593000.0,-60313000.0,,408555000.0,410316750.0,25418684000.0,3267068000.0,1568843000.0,,0.04415745688562674,0.009176157859211066,0.11419858910848847,0.4899820478633658,0.0173172358868149,0.055929471339024706,0.7206618447944585,,,
2022-03-31,2915409000.0,590638000.0,862258000.0,32250954000.0,6887799000.0,2841987000.0,,477682000.0,-139403000.0,,417802500.0,414981000.0,25363155000.0,2841987000.0,2114841000.0,,0.08575134088552816,0.01831381484095013,0.20259181473337018,0.41261177917648295,0.026735891285572515,0.08862044858951677,1.413677515093854,,,
2022-06-30,2512887000.0,179322000.0,377251000.0,32692447000.0,6536873000.0,2840284000.0,,527971000.0,-43095000.0,,419287500.0,415222500.0,26155574000.0,2840284000.0,1316603000.0,,0.027432382425052467,0.005485120156346816,0.07136094858224823,0.43450193999485687,0.011539393181550466,0.04023085035261754,0.4276826759681603,,,
