report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,tax_expense,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps
2020-03-31,1587700000.0,360600000,461100000.0,161709200000,10879700000.0,14502800000.0,-2685300000.0,-100500000.0,209816822.0,208881131.0,150829500000.0,10098100000.0,4404700000.0,5833200000.0,0.033144296258168886,0.0022299287857462653,0.22712099263084964,1.3330146970964274,0.002851414761806997,0.018166059292819857,1.7186419876286183
2020-06-30,1506100000.0,313300000,403200000.0,151432900000,11382200000.0,13374500000.0,3183700000.0,-89900000.0,208568357.0,208068635.0,140050700000.0,12623300000.0,751200000.0,4462200000.0,0.027525434450282018,0.002068903124750302,0.2080207157559259,1.1750364604382282,0.0026625654002531813,0.016286500220142427,1.502145409334552
2020-09-30,1485100000.0,294500000,389900000.0,152082000000,11579100000.0,13374500000.0,-77900000.0,-95400000.0,208688494.0,208106190.0,140502900000.0,10901000000.0,2473500000.0,4737500000.0,0.025433755645948304,0.0019364553333070318,0.19830314456938927,1.1550552288174383,0.0025637485040964744,0.015625,1.4111942367076549
2020-12-31,1521900000.0,240900000,373400000.0,170003900000,11688300000.0,8901000000.0,1476300000.0,-132500000.0,208958271.0,208221692.0,158315600000.0,8601000000.0,300000000.0,4389500000.0,0.020610353943687276,0.0014170263152786496,0.1582889808791642,0.7615307615307615,0.0021964201997718875,0.01813563355723604,1.1528617596572668
2021-03-31,1583400000.0,375100000,495900000.0,163924100000,11457900000.0,9959100000.0,68300000.0,-120800000.0,208946448.0,208112824.0,152466200000.0,9863300000.0,95800000.0,4584400000.0,0.032737238062821285,0.0022882541371280975,0.23689528861942655,0.8691906893933443,0.00302518055612323,0.023154503431853202,1.795196824786416
2021-06-30,1580300000.0,368100000,486500000.0,172291100000,11823000000.0,10149000000.0,-1236000000.0,-118400000.0,208946448.0,208112824.0,160468099999.0,9619700000.0,529300000.0,4799300000.0,0.03113422989089064,0.002136500376397852,0.2329304562424856,0.8584115706673433,0.0028237094080889842,0.022141816857819043,1.7616954177656086
2021-09-30,1633800000.0,395700000,518100000.0,169085700000,11898800000.0,10157400000.0,481800000.0,-122400000.0,208593000.0,207708000.0,157186900000.0,9583600000.0,573800000.0,4194700000.0,0.03325545433152923,0.0023402333846091064,0.24219610723466764,0.8536491074730225,0.0030641266529339854,0.023489993743255864,1.8969955847032258
2021-12-31,1667000000.0,406400000,509600000.0,183889800000,12016800000.0,7767100000.0,2041900000.0,-103200000.0,208593000.0,207708000.0,171873000000.0,7235000000.0,532100000.0,3056800000.0,0.03381931961919979,0.0022100192615359853,0.24379124175164968,0.6463534385194062,0.002771224940154375,0.025758318632827702,1.948291649288327
2022-03-31,1718700000.0,389300000,510800000.0,172565000000,11409800000.0,7335400000.0,746900000.0,-121500000.0,208593000.0,207708000.0,161155200000.0,7005500000.0,329900000.0,3783200000.0,0.03411979175796245,0.0022559615217454293,0.2265084075173096,0.6429034689477466,0.0029600440413757134,0.02724964257516591,1.8663138264467167
2022-06-30,1768700000.0,396200000,540600000.0,157786300000,11069700000.0,9103400000.0,-1610800000.0,-144400000.0,208809133.0,208024962.0,146716600000.0,7914800000.0,1188600000.0,5119800000.0,0.03579139452740363,0.0025109911316761975,0.22400633233448294,0.8223709766298997,0.0034261529676530853,0.026798062766753745,1.897426584305582
2022-09-30,1754800000.0,394800000,524500000.0,159839600000,11030400000.0,15855500000.0,-895700000.0,-129700000.0,208809133.0,208024962.0,148809200000.0,10929300000.0,4926200000.0,4492800000.0,0.03579199303742385,0.0024699761510914692,0.22498290403464782,1.4374365390194372,0.0032814146181547,0.019508366839123853,1.8907218967285306
2022-12-31,1519000000.0,155700000,190400000.0,155036700000,11259500000.0,12949900000.0,4152000000.0,-34700000.0,208867000.0,208309000.0,143777200000.0,12382700000.0,567200000.0,4654200000.0,0.01382832274967805,0.0010042783418377714,0.10250164581961817,1.1501310004884764,0.0012280963152595482,0.007864713706246335,0.7454504541167346
2023-03-31,1744600000.0,334600000,444000000.0,151108000000,11587800000.0,21055400000.0,-164900000.0,-109400000.0,208730000.0,208187000.0,139520200000.0,16205200000.0,4850200000.0,4825900000.0,0.02887519632717168,0.0022143102946237127,0.1917918147426344,1.8170317057595058,0.002938295788442703,0.013601607685521027,1.6030278350021558
2023-06-30,1757100000.0,331800000,440700000.0,156752500000,11635700000.0,27505600000.0,-99400000.0,-108900000.0,207816000.0,207639000.0,145116800000.0,17173000000.0,10332600000.0,4897700000.0,0.02851568878537604,0.0021167126521108117,0.18883387399692675,2.363897316018804,0.0028114384140603818,0.011259207026848878,1.5966046887631367
2023-09-30,1726500000.0,327800000,434300000.0,146330600000,11847200000.0,19705700000.0,86700000.0,-106500000.0,207928000.0,207611000.0,134483400000.0,13620500000.0,6085200000.0,4955700000.0,0.02766898507664258,0.002240132959203338,0.18986388647552851,1.6633212911067594,0.0029679369865222996,0.013764186493159107,1.5765072525104844
2023-12-31,1545300000.0,113100000,145800000.0,150783100000,11897900000.0,14190700000.0,2803200000.0,-32700000.0,205780984.0,205555376.0,138885200000.0,13406000000.0,784700000.0,4791500000.0,0.009505879188764403,0.0007500840611447835,0.07318967190836731,1.1927062758974272,0.0009669518666216572,0.0055886479151813434,0.5496134667137174
2024-03-31,1646800000.0,214700000,290600000.0,156111000000,12101800000.0,13850100000.0,-1452600000.0,-75900000.0,205134845.0,204628796.0,144009200000.0,13338700000.0,511400000.0,5308700000.0,0.017741162471698425,0.0013753034699668825,0.13037405878066552,1.1444661124791353,0.0018614959868298838,0.011197638708533865,1.046628621285672
2024-06-30,2715500000.0,896100000,1173600000.0,156797100000,12655800000.0,14269900000.0,2990300000.0,-277500000.0,203738670.0,203306236.0,144141300000.0,13640700000.0,629200000.0,6567000000.0,0.0708054804911582,0.005715029168269056,0.32999447615540417,1.1275383618578043,0.007484832308760812,0.043586610561656705,4.398281386641034
2024-09-30,1968500000.0,464900000,601100000.0,155753800000,12749000000.0,13972100000.0,611100000.0,-136200000.0,200549063.0,199937543.0,143004800000.0,13801300000.0,170800000.0,6871700000.0,0.03646560514550161,0.002984838893176282,0.2361696723393447,1.0959369362302926,0.003859295888768043,0.022495331404770013,2.31813598650421
2024-12-31,1959600000.0,455400000,594200000.0,155508400000,12788400000.0,13834000000.0,-2634800000.0,-138800000.0,198057842.0,197182009.0,142720000000.0,13372000000.0,462000000.0,4677200000.0,0.035610396922210755,0.0029284591700512643,0.2323943661971831,1.08176159644678,0.003821015456399783,0.02231955045375323,2.2993282942060937
