report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,1410772000.0,76388000,80457000.0,5206488000,1672020000.0,0.0,182071000.0,459629000.0,2524000.0,-58374000.0,1416150000.0,1389600000.0,1075501000.0,665795000.0,3534468000.0,881293000.0,0.045686056386885325,0.014671694239955993,0.05414624049811025,0.32579963310868093,0.0,1.6153635878911676,1.6153635878911676,0.01545321913735324,0.04811963971722826,0.053940613635561206,22083000.0,0.0
2020-06-30,1364738000.0,8175000,447000.0,5370129000,1704496000.0,0.0,122862000.0,429140000.0,12491000.0,-60024000.0,1416650000.0,1395550000.0,1150343000.0,723178000.0,3665633000.0,906663000.0,0.004796139151983929,0.0015223097992618055,0.005990160748803067,0.314448634096801,0.0,1.590677537203842,1.590677537203842,8.323822388624184e-05,0.00026224760867728643,0.005770656125366181,-59577000.0,-0.0
2020-09-30,1601414000.0,80244000,115087000.0,5631640000,1805586000.0,0.0,243790000.0,580641000.0,-26257000.0,-60180000.0,1422700000.0,1398650000.0,1211280000.0,801717000.0,3826054000.0,1005220000.0,0.04444208140736581,0.014248780106682955,0.050108216863347016,0.3625801947528871,0.0,1.5108573224716453,1.5108573224716453,0.02043578779893601,0.06373941756305156,0.05640261474660856,54907000.0,0.0
2020-12-31,1607710000.0,190959000,124750000.0,5982896000,2020135000.0,0.0,115124000.0,601683000.0,73227000.0,-59956000.0,1427700000.0,1399600000.0,1420237000.0,822199000.0,3962761000.0,951603000.0,0.09452784096112389,0.031917486113748256,0.1187770182433399,0.3742484652082776,0.0,1.7273640566334914,1.7273640566334914,0.020851106220131522,0.061753298665683236,0.1337528892624501,64794000.0,0.0
2021-03-31,1741575000.0,127101000,167110000.0,6149059000,2097531000.0,0.0,305973000.0,683466000.0,-32173000.0,-63122000.0,1429100000.0,1406250000.0,1456851000.0,834004000.0,4051528000.0,1058361000.0,0.060595528743079365,0.020669991945109,0.07298049179621895,0.39244132466302056,0.0,1.746815362995861,1.746815362995861,0.027176515951465093,0.07966985946810798,0.08893779301658386,103988000.0,0.0
2021-06-30,1892538000.0,187974000,249791000.0,6320454000,2174158000.0,0.0,256885000.0,750124000.0,-58402000.0,-62082000.0,1429100000.0,1406250000.0,1447810000.0,835486000.0,4146296000.0,990729000.0,0.08645829787899499,0.02974058509088113,0.09932376522954889,0.396358752109601,0.0,1.732895584127083,1.732895584127083,0.0395210533926835,0.11489091409180013,0.13153313274088588,187709000.0,0.0
2021-09-30,1952315000.0,204434000,244338000.0,6627567000,2310908000.0,0.0,280803000.0,754003000.0,-35120000.0,-63191000.0,1423750000.0,1407500000.0,1518606000.0,850964000.0,4316659000.0,1022643000.0,0.08846479392515842,0.030846010308156823,0.10471363483864028,0.3862097048888115,0.0,1.7845713802229002,1.7845713802229002,0.03686692265804329,0.10573246533397263,0.14358841088674276,181147000.0,0.0
2021-12-31,1960633000.0,133475000,162995000.0,6652958000,2297374000.0,0.0,438420000.0,716470000.0,-34084000.0,-66262000.0,1423750000.0,1407500000.0,1120619000.0,873682000.0,4355584000.0,815374000.0,0.05809894253177759,0.02006250452806105,0.06807750354094826,0.3654279000710485,0.0,1.2826394500516207,1.2826394500516207,0.02449962858626193,0.0709483958641475,0.09374890254609307,96733000.0,0.0
2022-03-31,2020539000.0,158294000,194531000.0,6467257000,2133960000.0,0.0,282902000.0,749641000.0,-31714000.0,-71665000.0,1423750000.0,1407500000.0,1096493000.0,833738000.0,4333297000.0,856242000.0,0.07417852255899829,0.024476219206999196,0.07834246208561181,0.37101040860879203,0.0,1.3151529617217879,1.3151529617217879,0.030079367496915616,0.09115962810924291,0.11118103599648815,122866000.0,0.0
2022-06-30,2213339000.0,259942000,342279000.0,6545336000,2154199000.0,0.0,286786000.0,875566000.0,-88228000.0,-69733000.0,1404600000.0,1395250000.0,805615000.0,831623000.0,4391137000.0,520933000.0,0.12066758920601114,0.0397140803772335,0.1174433740154581,0.39558603539719855,0.0,0.9687262136809588,0.9687262136809588,0.0522935720946946,0.1588892205409064,0.18506478712800797,272546000.0,0.0
2022-09-30,2220175000.0,257138000,342616000.0,6817437000,2327381000.0,0.0,351918000.0,884631000.0,-82827000.0,-71416000.0,1397800000.0,1388650000.0,660154000.0,817857000.0,4490056000.0,366623000.0,0.11048384428677556,0.03771769361418375,0.11581879806771989,0.3984510230049433,0.0,0.8071753374978755,0.8071753374978755,0.050255836614258406,0.14721096373992912,0.1839590785520103,271200000.0,0.0
2022-12-31,2180599000.0,223727000,302116000.0,6927504000,2368023000.0,0.0,401573000.0,864186000.0,-79661000.0,-74012000.0,1386250000.0,1378800000.0,660701000.0,921880000.0,4559481000.0,384000000.0,0.09447838977915332,0.032295470345451986,0.10259887306194307,0.39630670288301517,0.0,0.716688723044214,0.716688723044214,0.04361108993946449,0.12758153109154768,0.16139008115419295,228104000.0,0.0
2023-03-31,2368580000.0,291644000,375967000.0,7053372000,2481685000.0,0.0,455036000.0,970296000.0,-84911000.0,-76585000.0,1389400000.0,1381200000.0,608584000.0,894092000.0,4571687000.0,409727000.0,0.11751854083012148,0.04134816652233853,0.12313031436556925,0.4096530410625776,0.0,0.6806726824532598,0.6806726824532598,0.05330315769535479,0.15149666456460026,0.20990643443212897,299382000.0,0.0
2023-06-30,2514801000.0,341790000,448050000.0,7552435000,2766886000.0,0.0,582510000.0,1040562000.0,-106466000.0,-78771000.0,1387350000.0,1380200000.0,705277000.0,982250000.0,4785549000.0,504866000.0,0.12352876121387003,0.045255602994266085,0.13591135044084998,0.41377508598095836,0.0,0.7180218885212523,0.7180218885212523,0.059325237489630825,0.1619329455568462,0.24636176883987457,369279000.0,0.0
2023-09-30,2471948000.0,313217000,402191000.0,7911493000,2886314000.0,0.0,480472000.0,995211000.0,-100125000.0,-78546000.0,1384050000.0,1377500000.0,817644000.0,1087707000.0,5025179000.0,602307000.0,0.10851799215192803,0.03959012540363747,0.12670857153953077,0.4026019155742758,0.0,0.7517134669538764,0.7517134669538764,0.050836296006329024,0.13934416006020134,0.2263046855243669,323645000.0,0.0
2023-12-31,2516320000.0,282086000,369975000.0,8044362000,3062207000.0,0.0,265459000.0,1008770000.0,-100267000.0,-85492000.0,1381200000.0,1372100000.0,885875000.0,1030625000.0,4982155000.0,560609000.0,0.09211852758484322,0.03506629860764595,0.11210259426464042,0.40089098365867615,0.0,0.8595512431776835,0.8595512431776835,0.04599183875613753,0.12081972250732886,0.20423255140457572,284483000.0,0.0
2024-03-31,2701848000.0,359287000,446771000.0,8411249000,3361329000.0,0.0,569234000.0,1127623000.0,-101369000.0,-83243000.0,1381200000.0,1372200000.0,953295000.0,997353000.0,5049920000.0,727394000.0,0.1068883765915208,0.042715059321154325,0.13297824303957884,0.41735249355256104,0.0,0.9558250689575306,0.9558250689575306,0.05311589277644735,0.13291498689952694,0.2601267014190559,363528000.0,0.0
