report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,10781000000.0,-775000000.0,859000000.0,129285000000.0,49977000000.0,46706000000.0,,3937000000.0,,7119000000.0,-462000000.0,-2282000000.0,2258000000.0,2258000000.0,31853000000.0,19232000000.0,79308000000.0,42844000000.0,3862000000.0,18322000000.0,,-0.015507133281309402,-0.005994508256951696,-0.07188572488637418,0.6603283554401261,0.9345498929507573,1.65625,1.65625,0.006644235603511622,0.008884705687659672,-0.3432240921169176,-1423000000.0,,-32.822206605762474
2020-06-30,10129000000.0,-85000000.0,891000000.0,128076000000.0,49160000000.0,46672000000.0,,4493000000.0,,7430000000.0,-1707000000.0,-2389000000.0,2263000000.0,2263000000.0,34343000000.0,23421000000.0,78916000000.0,41853000000.0,4819000000.0,21658000000.0,,-0.0017290480065093572,-0.000663668446859677,-0.00839174647053016,0.7335373679534011,0.9493897477624085,1.4663336322104095,1.4663336322104095,0.006956806895905556,0.009297520661157025,-0.037560760053026956,-1498000000.0,,-31.156208277703605
2020-09-30,10540000000.0,1872000000.0,1342000000.0,125536000000.0,50230000000.0,44949000000.0,,2267000000.0,,8038000000.0,-379000000.0,-2491000000.0,2290000000.0,2257000000.0,34277000000.0,20464000000.0,75306000000.0,41364000000.0,3585000000.0,21155000000.0,,0.037268564602826994,0.014912057099158807,0.1776091081593928,0.7626185958254269,0.894863627314354,1.6749902267396404,1.6749902267396404,0.010690160591384145,0.014099748894188845,0.8174672489082969,-1149000000.0,,-39.1201044386423
2020-12-31,11068000000.0,-10027000000.0,256000000.0,118481000000.0,37882000000.0,50676000000.0,,3355000000.0,,8158000000.0,424000000.0,-2526000000.0,2221000000.0,2254000000.0,30192000000.0,19080000000.0,80599000000.0,48336000000.0,2340000000.0,15831000000.0,,-0.26469035425795895,-0.08462960305871828,-0.9059450668594146,0.7370798698951934,1.3377329602449712,1.5823899371069183,1.5823899371069183,0.0021606839915260675,0.0028907608572912667,-4.514633048176497,-2270000000.0,,-22.324229074889868
2021-03-31,11073000000.0,2021000000.0,1834000000.0,112435000000.0,37673000000.0,46282000000.0,,3824000000.0,,8232000000.0,-501000000.0,-2513000000.0,2265000000.0,2236000000.0,27111000000.0,17330000000.0,74762000000.0,44505000000.0,1777000000.0,12930000000.0,,0.05364584715844239,0.017974829901720994,0.18251602998284114,0.7434299647791927,1.2285190985586494,1.564396999422966,1.564396999422966,0.016311646729221328,0.021845036031207195,0.8922737306843267,-679000000.0,,-68.1620029455081
2021-06-30,11703000000.0,1055000000.0,2344000000.0,110797000000.0,36874000000.0,45158000000.0,,3060000000.0,,9251000000.0,-492000000.0,-2547000000.0,2265000000.0,2236000000.0,29161000000.0,18991000000.0,73923000000.0,42503000000.0,2655000000.0,12970000000.0,,0.02861094538156967,0.009521918463496305,0.09014782534392891,0.7904810732290866,1.2246569398492162,1.5355168237586225,1.5355168237586225,0.02115580746771122,0.02857421494051102,0.46578366445916114,-203000000.0,,-222.45320197044336
2021-09-30,11624000000.0,1546000000.0,2019000000.0,110893000000.0,37284000000.0,44742000000.0,,5266000000.0,,9333000000.0,-605000000.0,-2546000000.0,2243000000.0,2219000000.0,31443000000.0,21460000000.0,73609000000.0,39677000000.0,5065000000.0,15663000000.0,,0.041465507992704646,0.013941366903231042,0.1330006882312457,0.8029077770130764,1.200032185387834,1.4651910531220875,1.4651910531220875,0.018206739830286853,0.0246141467339624,0.6892554614355774,-527000000.0,,-84.89943074003796
2021-12-31,11985000000.0,2372000000.0,2340000000.0,109314000000.0,36006000000.0,44553000000.0,,4057000000.0,,9629000000.0,514000000.0,-2417000000.0,2243000000.0,2219000000.0,33262000000.0,21868000000.0,73308000000.0,39605000000.0,4948000000.0,16966000000.0,,0.06587790923734933,0.02169895896225552,0.19791405924071756,0.8034209428452231,1.2373771038160306,1.5210353027254435,1.5210353027254435,0.021406224271365057,0.029047033850966374,1.0575122603655818,-77000000.0,,-578.6103896103896
2022-03-31,11648000000.0,1278000000.0,2669000000.0,103034000000.0,31645000000.0,44972000000.0,,3812000000.0,,9177000000.0,-404000000.0,-2417000000.0,2219000000.0,2202000000.0,30121000000.0,22821000000.0,71389000000.0,37450000000.0,7522000000.0,14968000000.0,,0.04038552693948491,0.012403672574101753,0.10971840659340659,0.7878605769230769,1.4211407805340497,1.319880811533237,1.319880811533237,0.02590407050099967,0.0348356108957542,0.5759351059035601,252000000.0,,178.46031746031747
2022-06-30,11887000000.0,1421000000.0,2642000000.0,100357000000.0,32661000000.0,42060000000.0,,2261000000.0,,9167000000.0,-529000000.0,-2417000000.0,2219000000.0,2202000000.0,30186000000.0,20915000000.0,67696000000.0,37107000000.0,4953000000.0,13228000000.0,,0.043507547227580295,0.014159450760784,0.11954235719693783,0.7711785984689157,1.287774409846606,1.4432703801099689,1.4432703801099689,0.02632601612244288,0.03535819916757003,0.6403785488958991,225000000.0,,186.93333333333334
