report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,operating_cash_flow,gross_profit,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,cash,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,debt_to_ebitda
2020-03-31,321481000.0,5221000,40205000.0,9691105000,4297523000.0,4885138000.0,135456000.0,217650000.0,-39317000.0,-164000.0,-157501000.0,295160000.0,294457000.0,174472000.0,508444000.0,5393582000.0,4885138000.0,980000.0,0.001214885877283263,0.0005387414541479016,0.016240462111291182,0.6770229033753161,1.1367334159700833,0.3431489013539348,0.3431489013539348,0.004148649715383333,0.004378360477425879,0.017688711207480688,-117296000.0,-41.64795048424499
2020-06-30,307256000.0,57771000,30576000.0,9564471000,4249411000.0,4766804000.0,181559000.0,204730000.0,-38597000.0,-1526000.0,-157083000.0,295087000.0,294710000.0,178832000.0,548256000.0,5315060000.0,4766804000.0,833000.0,0.013595060586043572,0.0060401667797413995,0.18802236571458328,0.6663173379852632,1.12175640341685,0.3261833887818829,0.3261833887818829,0.0031968312727384506,0.003391223479031944,0.19577616092881084,-126507000.0,-37.68015999114674
2020-09-30,310044000.0,-25258000,30115000.0,9551388000,4093438000.0,4917646000.0,139577000.0,203452000.0,-62268000.0,-187000.0,-155836000.0,295003000.0,294713000.0,181196000.0,540304000.0,5457950000.0,4917646000.0,927000.0,-0.006170363396245405,-0.002644432411289333,-0.08146585645908323,0.6562036356130098,1.2013485974381437,0.3353593532529835,0.3353593532529835,0.0031529448913602924,0.003341995258284131,-0.0856194682765938,-125721000.0,-39.115549510423875
2020-12-31,302384000.0,26532000,31061000.0,9637533000,4114885000.0,4976548000.0,147724000.0,377851000.0,-62524000.0,-668000.0,-148209000.0,294458000.0,294300000.0,182163000.0,546100000.0,5522648000.0,4976548000.0,1409000.0,0.0064478108136679394,0.0027529866823802315,0.08774273771099,1.2495733901264616,1.2094014778055766,0.3335707745834096,0.3335707745834096,0.0032229202224262165,0.003416513106349681,0.09010453103668435,-117148000.0,-42.48086181582272
2021-03-31,301441000.0,3104000,29818000.0,9566556000,4006087000.0,5041175000.0,123605000.0,241065000.0,-78156000.0,-619000.0,-146689000.0,297026000.0,296537000.0,189806000.0,519294000.0,5560469000.0,5041175000.0,1172000.0,0.0007748209162706651,0.0003244636836913932,0.01029720575502337,0.7997087323887593,1.258378812042774,0.3655077855704091,0.3655077855704091,0.0031169001676256323,0.0032958037470341857,0.01045026361328638,-116871000.0,-43.13452439013955
2021-06-30,311348000.0,11720000,33324000.0,9919271000,3909449000.0,5452107000.0,206552000.0,250740000.0,-35404000.0,-135000.0,-148771000.0,295945000.0,296629000.0,175117000.0,557715000.0,6009822000.0,5452107000.0,3370000.0,0.0029978649165138104,0.001181538441685886,0.03764276629366497,0.8053367935557639,1.3945972949129148,0.3139901204019974,0.3139901204019974,0.0033595210777082308,0.0035596646540382816,0.03960195306560341,-115447000.0,-47.226060443320314
2021-09-30,329770000.0,17731000,34738000.0,10400564000,4316263000.0,5522439000.0,153012000.0,262201000.0,-36289000.0,-529000.0,-155905000.0,301164000.0,297828000.0,54974000.0,561862000.0,6084301000.0,5522439000.0,1063000.0,0.0041079517165659276,0.0017048113929206148,0.05376777754192316,0.7951026472996331,1.2794491438543016,0.09784253072818593,0.09784253072818593,0.0033400111763169766,0.0035307502961264606,0.05887489872627538,-121167000.0,-45.577087820941344
2021-12-31,348208000.0,117461000,37784000.0,10775220000,4773746000.0,5412787000.0,180791000.0,80681000.0,-36418000.0,-156000.0,-168468000.0,310521000.0,300318000.0,55278000.0,588687000.0,6001474000.0,5412787000.0,967000.0,0.02460562417858009,0.010901030326991003,0.33732998667463127,0.23170346459587374,1.1338657314402567,0.09390049381080269,0.09390049381080269,0.003506564135117427,0.003709210974921497,0.37827071276982877,-130684000.0,-41.41889596278045
2022-03-31,357266000.0,13705000,47125000.0,10684964000,4655027000.0,5479010000.0,161020000.0,287206000.0,-35916000.0,-343000.0,-166697000.0,315833000.0,310201000.0,53504000.0,550927000.0,6029937000.0,5479010000.0,895000.0,0.0029441290029037425,0.0012826435353455567,0.038360773205398775,0.8038996154126057,1.1770092848011409,0.09711631486567186,0.09711631486567186,0.0044104032545172825,0.004650170509541262,0.04339318563924606,-119572000.0,-45.8218479242632
2022-06-30,369167000.0,5084000,51810000.0,10996986000,4882799000.0,5517234000.0,237067000.0,296810000.0,-36832000.0,-312000.0,-170600000.0,315833000.0,310201000.0,66237000.0,596953000.0,6114187000.0,5517234000.0,921000.0,0.0010412060787265665,0.0004623084907082722,0.013771545127273023,0.8039992740412876,1.129932647237783,0.11095848416877041,0.11095848416877041,0.004711290893704875,0.004981714961865986,0.016097114614368985,-118790000.0,-46.445273171142354
2022-09-30,391297000.0,23605000,63820000.0,11097962000,4871279000.0,5626362000.0,204551000.0,311853000.0,-39905000.0,-377000.0,-170211000.0,322700000.0,321671000.0,70023000.0,600321000.0,6226683000.0,5626362000.0,1532000.0,0.004845749956017711,0.002126967095400038,0.060325021658740034,0.7969726320416461,1.1550071346765398,0.1166425962110271,0.1166425962110271,0.005750605381420481,0.0060794610903535376,0.07314843507902076,-106391000.0,-52.88381536032183
2022-12-31,399656000.0,44530000,72298000.0,11038470000,4938145000.0,5487303000.0,217433000.0,100393000.0,-43247000.0,683000.0,-172064000.0,322700000.0,321671000.0,30194000.0,613022000.0,6100325000.0,5487303000.0,1193000.0,0.009017556187596759,0.004034073562731067,0.11142082190683988,0.25119853073643333,1.1112073460783352,0.049254349762325005,0.049254349762325005,0.006549639578673494,0.006934761940206311,0.137991942981097,-99766000.0,-55.001734057695
2023-03-31,399549000.0,30964000,70339000.0,10967700000,4822761000.0,5576963000.0,168015000.0,263800000.0,-43742000.0,-234000.0,-172949000.0,329421000.0,328789000.0,100335000.0,567976000.0,6144939000.0,5576963000.0,1172000.0,0.006420388652889911,0.0028231990298786436,0.07749737829402652,0.6602444255898525,1.1563838639318846,0.1766535909968027,0.1766535909968027,0.0064132862860946235,0.006763544878691011,0.09399522191967118,-102610000.0,-54.351067147451516
2023-06-30,404548000.0,347545000,71753000.0,11085705000,5055716000.0,5427212000.0,241973000.0,265070000.0,-45113000.0,-1351000.0,-172606000.0,332479412.0,328956621.0,214010000.0,602777000.0,6029989000.0,5427212000.0,1544000.0,0.0687429831897203,0.03135073502316722,0.8590945944609787,0.6552250907185303,1.0734803932815846,0.35504008945265,0.35504008945265,0.006472569854601038,0.006844747955914607,1.0453128448145836,-100853000.0,-53.81309430557346
2023-09-30,410131000.0,32858000,76144000.0,11420062000,5058403000.0,5752822000.0,203605000.0,267157000.0,-44664000.0,-428000.0,-171243000.0,329201000.0,328760000.0,241752000.0,608837000.0,6361659000.0,5752822000.0,1624000.0,0.006495726022620183,0.002877217304074181,0.08011586541861015,0.651394310598321,1.1372802839156944,0.39707179425691935,0.39707179425691935,0.006667564501838957,0.007043050163140625,0.09981136144786923,-95099000.0,-60.49298099874867
2023-12-31,413273000.0,32986000,68717000.0,11373242000,4952441000.0,5798709000.0,219071000.0,272915000.0,-47347000.0,-93000.0,-175040000.0,325314588.0,328554379.0,34866000.0,622092000.0,6420801000.0,5798709000.0,2922000.0,0.006660553856169109,0.0029003163741701797,0.07981648934239595,0.6603746191984475,1.170878966554069,0.056046372562257675,0.056046372562257675,0.006041988731093561,0.006391595317710198,0.10139723583499428,-106323000.0,-54.53861347027454
2024-03-31,413634000.0,43149000,69170000.0,11190488000,4856589000.0,5762328000.0,167599000.0,267982000.0,-48062000.0,-337000.0,-174174000.0,328954000.0,328823000.0,31966000.0,571571000.0,6333899000.0,5762328000.0,2116000.0,0.008884630756277708,0.0038558640159392513,0.10431685983260564,0.6478722735558489,1.1864969426072496,0.05592656030484402,0.05592656030484402,0.0061811424130922615,0.00651384693938186,0.13117031560643738,-105004000.0,-54.877223724810484
2024-06-30,415320000.0,28883000,69664000.0,11117805000,4744501000.0,5776136000.0,238462000.0,272560000.0,-47811000.0,-386000.0,-175167000.0,329572000.0,329056000.0,34386000.0,597168000.0,6373304000.0,5776136000.0,2770000.0,0.0060876791890232505,0.0025979048921976953,0.06954396609843012,0.6562650486371954,1.2174380403755842,0.05758178603006189,0.05758178603006189,0.006265985057302228,0.006621652282081399,0.08763790613280255,-105503000.0,-54.7485474346701
2024-09-30,420160000.0,22597000,71329000.0,11079764000,4613047000.0,5865263000.0,230251000.0,272906000.0,-50214000.0,156000.0,-174305000.0,330557000.0,329421000.0,35552000.0,601454000.0,6466717000.0,5865263000.0,2285000.0,0.004898497674096969,0.0020394838734832258,0.05378189261233816,0.6495287509520182,1.2714509520496973,0.0591100898821855,0.0591100898821855,0.0064377725012915435,0.006807300032161675,0.06836037355130885,-102976000.0,-56.957572638284645
2024-12-31,422728000.0,-5044000,72718000.0,10897586000,4460895000.0,5826965000.0,240536000.0,279627000.0,-49625000.0,-312000.0,-171827000.0,331381000.0,329860000.0,35427000.0,609726000.0,6436691000.0,5826965000.0,1326000.0,-0.0011307148005052798,-0.000462854801054105,-0.011932022482541965,0.6614820877727522,1.306232269533356,0.05810314797138387,0.05810314797138387,0.006672853969677321,0.007068331023167111,-0.015221150277173405,-99109000.0,-58.79350008576416
