report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,total_liabilities,long_term_debt,short_term_debt,cash,shares_diluted,shares_basic,tax_expense,capex,depreciation,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2024-06-30,117510000000.0,30348000000.0,39367000000.0,1108860000000.0,607971000000.0,123628000000.0,9067000000.0,13602000000.0,500889000000.0,121374000000.0,2254000000.0,276942000000.0,2155183922.0,2155183922.0,7639000000.0,-4535000000.0,3198000000.0,0.04991685458681417,0.02736864888263622,0.258258871585397,0.20334522534791954,0.03550222751294122,0.05380953227109386,14.081396808044673,42565000000.0,0.07715939069015403,2.904452014565958
2024-09-30,113509000000.0,26251000000.0,33722000000.0,1147251000000.0,631806000000.0,124507000000.0,-2898000000.0,1803000000.0,515445000000.0,122483000000.0,2024000000.0,325212000000.0,2155057922.0,2155057922.0,6028000000.0,-4701000000.0,3206000000.0,0.04154914641519707,0.02288165362244182,0.231268005180206,0.19706523838013568,0.029393742084338998,0.04458735999513429,12.181111111685471,36928000000.0,-0.025531015161793336,3.371615034662045
2024-12-31,101468000000.0,19694000000.0,25465000000.0,1153881000000.0,651655000000.0,124762000000.0,-726000000.0,4621000000.0,502226000000.0,122324000000.0,2438000000.0,334201000000.0,,,4274000000.0,-5347000000.0,3283000000.0,0.03022151291711105,0.017067617891273017,0.19409074782197344,0.19145406695260528,0.022069000182861145,0.032798096898960225,,28748000000.0,-0.007154965112153585,4.339849728676778
2025-03-31,83290000000.0,4603000000.0,6405000000.0,1164532000000.0,656742000000.0,125927000000.0,6622000000.0,10903000000.0,507790000000.0,124006000000.0,1921000000.0,347681000000.0,2157333421.0,2157333421.0,476000000.0,-4281000000.0,3265000000.0,0.0070088406101635045,0.00395266081138174,0.05526473766358506,0.19174500793310006,0.00550006354484033,0.008183536079747632,2.1336525708976164,9670000000.0,0.07950534277824468,13.022440537745606
2025-06-30,98879000000.0,12370000000.0,16003000000.0,1163968000000.0,670276000000.0,127020000000.0,5227000000.0,10085000000.0,493692000000.0,124034000000.0,2986000000.0,344091000000.0,2157333421.0,2157333421.0,2293000000.0,-4858000000.0,3329000000.0,0.018455084174280444,0.010627439929620059,0.12510239788023747,0.18950402520752646,0.013748659756969263,0.020071591980895427,5.733930545731809,19332000000.0,0.05286258962974949,6.570453134698945
