report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,cogs,gross_profit,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,gross_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,19828000000.0,5661000000.0,7200000000.0,147710000000.0,76354000000.0,39919000000.0,,6158000000.0,,12016000000.0,-953000000.0,,4312000000.0,4266000000.0,41501000000.0,23895000000.0,71356000000.0,36455000000.0,3464000000.0,12676000000.0,,0.07414149880818294,0.03832509647281836,0.28550534597538835,0.6060117006253782,0.522814783770333,1.7368068633605356,1.7368068633605356,0.04874416085573082,0.0619232323927309,1.312847866419295,,,
2020-06-30,19728000000.0,5105000000.0,5706000000.0,152539000000.0,82010000000.0,38347000000.0,,11157000000.0,,10507000000.0,-830000000.0,,4284000000.0,4246000000.0,44390000000.0,22481000000.0,70529000000.0,36093000000.0,2254000000.0,13527000000.0,,0.062248506279721984,0.03346685110037433,0.2587692619626926,0.5325932684509327,0.4675893183758078,1.9745562919798942,1.9745562919798942,0.037406827106510464,0.047408958348911984,1.1916433239962652,,,
2020-09-30,18333000000.0,4276000000.0,5034000000.0,145261000000.0,74554000000.0,36563000000.0,,8179000000.0,,9741000000.0,-765000000.0,,4211000000.0,4188000000.0,36785000000.0,22112000000.0,70707000000.0,36059000000.0,504000000.0,6343000000.0,,0.05735440083697722,0.02943666916791155,0.233240604374625,0.5313369333987891,0.4904230490651072,1.6635763386396527,1.6635763386396527,0.034654862626582496,0.04530359890925781,1.015435763476609,,,
2020-12-31,19978000000.0,5857000000.0,5936000000.0,153091000000.0,81038000000.0,36401000000.0,,10370000000.0,,11348000000.0,-1631000000.0,,4121000000.0,4096000000.0,47249000000.0,24754000000.0,72053000000.0,33897000000.0,2504000000.0,8157000000.0,,0.07227473530936104,0.03825829082049239,0.29317248973871257,0.568024827310041,0.4491843332757472,1.908742021491476,1.908742021491476,0.03877432376821629,0.05054538952136854,1.4212569764620238,,,
2021-03-31,19673000000.0,3361000000.0,5903000000.0,150622000000.0,79807000000.0,35884000000.0,,5348000000.0,,10854000000.0,-545000000.0,,4096000000.0,4056000000.0,45773000000.0,24151000000.0,70815000000.0,33237000000.0,2647000000.0,7609000000.0,,0.042114100266893884,0.022314137377009997,0.17084328775479082,0.5517206323387384,0.44963474381946444,1.8952838391785019,1.8952838391785019,0.03919082205786671,0.05102384800892031,0.820556640625,,,
2021-06-30,19631000000.0,5061000000.0,5892000000.0,154597000000.0,85207000000.0,35409000000.0,,8801000000.0,,11206000000.0,-684000000.0,,4085000000.0,4048000000.0,49372000000.0,24836000000.0,69390000000.0,31714000000.0,3695000000.0,7760000000.0,,0.05939652845423498,0.03273672839705816,0.25780653048749425,0.5708318475879985,0.4155644489302522,1.9879207601868256,1.9879207601868256,0.03811199441127577,0.04884924056509916,1.238922888616891,,,
2021-09-30,19192000000.0,6823000000.0,5269000000.0,167962000000.0,90087000000.0,40304000000.0,,9904000000.0,,10746000000.0,-35000000.0,,4086000000.0,4061000000.0,61304000000.0,29572000000.0,77875000000.0,35610000000.0,4694000000.0,11874000000.0,,0.07573789780989489,0.04062228361176933,0.35551271363067943,0.5599208003334722,0.44738974546826954,2.0730420668199647,2.0730420668199647,0.03137019087650778,0.04040923069843778,1.6698482623592756,,,
2021-12-31,20528000000.0,4623000000.0,5018000000.0,168406000000.0,95391000000.0,38101000000.0,,5403000000.0,,11009000000.0,-571000000.0,,4093000000.0,4071000000.0,58558000000.0,27462000000.0,73015000000.0,33510000000.0,4591000000.0,29253000000.0,,0.04846369154322735,0.027451515979240646,0.2252045985970382,0.5362918939984411,0.39941923242234595,2.1323283082077054,2.1323283082077054,0.029797038110281105,0.03759026758157792,1.1294893720987051,,,
2022-03-31,18353000000.0,8113000000.0,3130000000.0,176356000000.0,103136000000.0,37247000000.0,,5891000000.0,,9244000000.0,-1548000000.0,,4095000000.0,4069000000.0,62568000000.0,29322000000.0,73220000000.0,32788000000.0,4459000000.0,38696000000.0,,0.07866312441824387,0.046003538297534535,0.4420530703427233,0.5036778728273307,0.36114450822215327,2.1338244321669735,2.1338244321669735,0.01774819115879244,0.02229614696936239,1.9811965811965813,,,
2022-06-30,15321000000.0,-454000000.0,-613000000.0,170418000000.0,101218000000.0,35430000000.0,,809000000.0,,5587000000.0,455000000.0,,4100000000.0,4100000000.0,50588000000.0,27218000000.0,69200000000.0,32548000000.0,2882000000.0,27044000000.0,,-0.0044853682151396,-0.0026640378363787863,-0.02963253051367404,0.3646628810129887,0.35003655476298684,1.8586229700933206,1.8586229700933206,-0.0035970378715863348,-0.004485978572683098,-0.11073170731707317,,,
2022-09-30,15338000000.0,1019000000.0,489000000.0,174841000000.0,99885000000.0,39523000000.0,,1030000000.0,,6535000000.0,1207000000.0,,4125000000.0,4118000000.0,49263000000.0,27813000000.0,74956000000.0,37240000000.0,2283000000.0,22559000000.0,,0.01020173199179056,0.005828152435641526,0.06643630199504498,0.426065979919155,0.3956850377934625,1.7712220903893863,1.7712220903893863,0.0027968268312352365,0.0035076896591300357,0.24703030303030302,,,
2022-12-31,14042000000.0,-664000000.0,-670000000.0,182103000000.0,103286000000.0,42051000000.0,,7703000000.0,,5500000000.0,135000000.0,,4172000000.0,4145000000.0,50407000000.0,32155000000.0,78817000000.0,37684000000.0,4367000000.0,28338000000.0,,-0.006428751234436419,-0.0036462880897074734,-0.04728671129468737,0.3916820965674405,0.4071316538543462,1.5676255636759446,1.5676255636759446,-0.0036792364760602518,-0.00460997543639954,-0.15915627996164908,,,
2023-03-31,11715000000.0,-2758000000.0,-1404000000.0,185303000000.0,100403000000.0,50273000000.0,,-1785000000.0,,4008000000.0,-1610000000.0,,4154000000.0,4154000000.0,48314000000.0,27393000000.0,84900000000.0,48836000000.0,1437000000.0,27534000000.0,,-0.02746929872613368,-0.01488373097035666,-0.23542466922748612,0.3421254801536492,0.500712130115634,1.7637352608330596,1.7637352608330596,-0.007576779652784898,-0.00931800684913324,-0.6639383726528647,,,
2023-06-30,12949000000.0,1481000000.0,-816000000.0,185629000000.0,104471000000.0,49046000000.0,,2808000000.0,,4638000000.0,2289000000.0,,4196000000.0,4182000000.0,43356000000.0,27180000000.0,81158000000.0,46335000000.0,2711000000.0,24257000000.0,,0.014176182864144116,0.007978279255935226,0.114371766159549,0.358174376399722,0.4694699964583473,1.5951434878587196,1.5951434878587196,-0.004395864870251954,-0.0053153722389051375,0.35295519542421355,,,
2023-09-30,14158000000.0,297000000.0,808000000.0,188837000000.0,105686000000.0,48879000000.0,,5824000000.0,,6018000000.0,362000000.0,,4229000000.0,4202000000.0,43811000000.0,28614000000.0,83151000000.0,46591000000.0,2288000000.0,25030000000.0,,0.002810211380882993,0.0015727849944661269,0.02097753920045204,0.42506003672835146,0.4624926669568344,1.5311036555532256,1.5311036555532256,0.0042788224765273756,0.005227574159738621,0.07022936864506976,,,
2023-12-31,15406000000.0,2669000000.0,1443000000.0,191572000000.0,109965000000.0,49266000000.0,,4624000000.0,,7047000000.0,-128000000.0,,4222000000.0,4222000000.0,43269000000.0,28053000000.0,81607000000.0,46978000000.0,2288000000.0,25034000000.0,,0.024271359068794615,0.013932098636543962,0.1732441905751006,0.45741918732961184,0.44801527758832355,1.5424018821516416,1.5424018821516416,0.007532416010690497,0.009062305706803324,0.6321648507816201,,,
2024-03-31,12724000000.0,-381000000.0,-721000000.0,192733000000.0,110756000000.0,52450000000.0,,-1223000000.0,,5217000000.0,282000000.0,,4242000000.0,4242000000.0,42608000000.0,27213000000.0,81977000000.0,47869000000.0,4581000000.0,21311000000.0,,-0.0034399942215320163,-0.0019768280470910536,-0.029943414020748193,0.410012574662056,0.4735635089746831,1.565722265093889,1.565722265093889,-0.0037409265668048542,-0.004417729740328174,-0.08981612446958982,,,
2024-06-30,12833000000.0,-1610000000.0,-1021000000.0,206205000000.0,120434000000.0,53029000000.0,,2292000000.0,,4547000000.0,350000000.0,,4267000000.0,4267000000.0,50829000000.0,32027000000.0,85771000000.0,48334000000.0,4695000000.0,29273000000.0,,-0.01336831791686733,-0.007807764118231857,-0.12545780409880777,0.354320891451726,0.44031585764817244,1.5870671620819934,1.5870671620819934,-0.004951383332120947,-0.005885981448493339,-0.37731427232247483,,,
2024-09-30,13284000000.0,-16639000000.0,-3435000000.0,193542000000.0,104864000000.0,50236000000.0,,4054000000.0,,1997000000.0,-7903000000.0,,4292000000.0,4292000000.0,46137000000.0,35159000000.0,88678000000.0,46471000000.0,3765000000.0,24086000000.0,,-0.1586721849252365,-0.08597100370978909,-1.252559470039145,0.15033122553447756,0.4790585901739396,1.3122386871071419,1.3122386871071419,-0.017748085686827664,-0.022147001934235976,-3.8767474370922645,,,
2024-12-31,14260000000.0,-126000000.0,469000000.0,196485000000.0,105032000000.0,50011000000.0,-2669000000.0,3165000000.0,8676000000.0,5584000000.0,752000000.0,2647000000.0,4319000000.0,4319000000.0,47324000000.0,35666000000.0,91453000000.0,46282000000.0,3729000000.0,22062000000.0,-5834000000.0,-0.0011996343971361109,-0.0006412703259790824,-0.008835904628330995,0.3915848527349229,0.47615012567598447,1.3268659227275277,1.3268659227275277,0.002386950657811029,0.003024967267145244,-0.029173419773095625,3116000000.0,-0.18716690042075737,16.0497432605905
