report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,interest_expense,tax_expense,depreciation,shares_diluted,shares_basic,current_assets,current_liabilities,total_liabilities,long_term_debt,short_term_debt,cash,capex,roe,roa,net_margin,debt_equity,current_ratio,quick_ratio,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,2288000000.0,-699000000.0,180000000.0,17862000000.0,3831000000.0,8578000000.0,,-380000000.0,-64000000.0,23000000.0,-117000000.0,41093000.0,41093000.0,9260000000.0,4136000000.0,14031000000.0,8578000000.0,,7189000000.0,,-0.18245888801879404,-0.03913335572724219,-0.305506993006993,2.2391020621247715,2.238878143133462,2.238878143133462,0.010077258985555929,0.01450560077363204,-17.01019638381233,63000000.0,,136.15873015873015
2020-06-30,630000000.0,122000000.0,-450000000.0,20912000000.0,3999000000.0,11555000000.0,,122000000.0,-96000000.0,-87000000.0,-112000000.0,40995000.0,40922000.0,11453000000.0,3909000000.0,16913000000.0,11555000000.0,,10404000000.0,,0.030507626906726683,0.005833970925784238,0.19365079365079366,2.889472368092023,2.929905346635968,2.929905346635968,-0.021518745218056617,-0.02893146457502893,2.9759726795950727,-562000000.0,,-20.560498220640568
2020-09-30,2640000000.0,801000000.0,929000000.0,22145000000.0,4913000000.0,11750000000.0,,920000000.0,-98000000.0,-34000000.0,-115000000.0,41081000.0,40935000.0,12583000000.0,3968000000.0,17232000000.0,11750000000.0,,11197000000.0,,0.16303684103399146,0.03617069315872658,0.3034090909090909,2.391614085080399,3.171118951612903,3.171118951612903,0.04195077895687514,0.05575226549840965,19.498064798812102,814000000.0,,14.434889434889435
2020-12-31,1238000000.0,-165000000.0,-79000000.0,21874000000.0,4893000000.0,12014000000.0,,-577000000.0,-98000000.0,-410000000.0,-114000000.0,41471000.0,40946000.0,12206000000.0,3425000000.0,16981000000.0,11029000000.0,985000000.0,11063000000.0,,-0.03372164316370325,-0.007543201974947426,-0.1332794830371567,2.4553443695074595,3.5637956204379564,3.5637956204379564,-0.0036115936728536163,-0.00467262080794937,-3.9786838995924865,-193000000.0,,-62.248704663212436
2021-03-31,1141000000.0,-55000000.0,-303000000.0,23655000000.0,4764000000.0,13835000000.0,,-207000000.0,-98000000.0,223000000.0,-113000000.0,40973000.0,40973000.0,14108000000.0,6468000000.0,18891000000.0,9930000000.0,3905000000.0,12651000000.0,,-0.011544920235096557,-0.0023250898330162756,-0.04820333041191937,2.9040722082283796,2.181199752628324,2.181199752628324,-0.012809131261889664,-0.016291198451529654,-1.3423473995069923,-416000000.0,,-33.25721153846154
2021-06-30,2160000000.0,-167000000.0,-55000000.0,23881000000.0,4799000000.0,12171000000.0,,1152000000.0,-81000000.0,-126000000.0,-108000000.0,40973000.0,40973000.0,13789000000.0,6724000000.0,19082000000.0,9991000000.0,2180000000.0,11732000000.0,,-0.03479891644092519,-0.006993006993006993,-0.07731481481481481,2.5361533652844344,2.0507138607971447,2.0507138607971447,-0.0023030861354214646,-0.003241013553329405,-4.075854831230322,-163000000.0,,-74.66871165644172
2021-09-30,4676000000.0,769000000.0,2015000000.0,23341000000.0,5545000000.0,11034000000.0,,1596000000.0,-80000000.0,-199000000.0,-102000000.0,41342000.0,41068000.0,14352000000.0,5779000000.0,17796000000.0,9876000000.0,1158000000.0,12165000000.0,,0.13868349864743013,0.03294631763849021,0.1644568006843456,1.9899008115419297,2.4834746495933553,2.4834746495933553,0.08632877768733131,0.1215392967006454,18.60093851289246,1913000000.0,,5.767903815995818
2021-12-31,2981000000.0,618000000.0,839000000.0,23641000000.0,6178000000.0,10926000000.0,,279000000.0,-75000000.0,-198000000.0,-98000000.0,41342000.0,41068000.0,13145000000.0,6246000000.0,17463000000.0,8937000000.0,1989000000.0,11152000000.0,,0.10003237293622531,0.026141026183325578,0.2073129822207313,1.7685335059889933,2.1045469100224143,2.1045469100224143,0.035489192504547185,0.04905285313376988,14.948478544821247,741000000.0,,14.744939271255062
2022-03-31,2695000000.0,-700000000.0,210000000.0,22384000000.0,4373000000.0,9768000000.0,,1695000000.0,-68000000.0,149000000.0,-111000000.0,41371000.0,41072000.0,12875000000.0,7478000000.0,18011000000.0,8435000000.0,1333000000.0,10549000000.0,,-0.1600731763091699,-0.031272337383845605,-0.2597402597402597,2.233706837411388,1.721717036640813,1.721717036640813,0.00938170121515368,0.014850434905593663,-16.920064779676586,99000000.0,,98.66666666666667
2022-06-30,4294000000.0,857000000.0,1006000000.0,24493000000.0,4002000000.0,9473000000.0,,2684000000.0,-76000000.0,-287000000.0,-107000000.0,41371000.0,41072000.0,14924000000.0,10282000000.0,20491000000.0,8190000000.0,1283000000.0,11841000000.0,,0.21414292853573214,0.034989588862123874,0.19958081043316256,2.367066466766617,1.451468585878234,1.451468585878234,0.041072959621116234,0.07465677179962894,20.714993594546904,899000000.0,,10.53726362625139
