report_date,revenue,net_income,operating_income,total_assets,total_equity,total_debt,fcf,operating_cash_flow,tax_expense,depreciation,shares_diluted,shares_basic,total_liabilities,long_term_debt,short_term_debt,cash,roe,roa,net_margin,debt_equity,roi,roic,eps,ebitda,fcf_margin,debt_to_ebitda
2020-03-31,22767000000.0,4010000000.0,4531000000.0,2619954000000.0,264918000000.0,534024000000.0,,19043000000.0,-521000000.0,,8862700000.0,8815600000.0,2355036000000.0,256712000000.0,277312000000.0,250390000000.0,0.015136759299103873,0.001530561223594002,0.1761321210524004,2.0158086653228544,0.0017294196768340207,0.005671250228427095,0.4524580545431979,,,
2020-06-30,22326000000.0,3533000000.0,3799000000.0,2741688000000.0,265637000000.0,539572000000.0,,-3006000000.0,-266000000.0,,8768100000.0,8739900000.0,2476051000000.0,261638000000.0,277934000000.0,289346000000.0,0.013300105030549209,0.0012886221918759538,0.15824599122099794,2.0312381181838375,0.0013856427135399798,0.004718029728927521,0.40293792269704953,,,
2020-09-30,20336000000.0,4881000000.0,4546000000.0,2738452000000.0,268850000000.0,549034000000.0,,-32638000000.0,335000000.0,,8777500000.0,8732900000.0,2469602000000.0,255723000000.0,293311000000.0,301006000000.0,0.018155105077180583,0.0017823938487875632,0.2400177025963808,2.0421573368049097,0.0016600619620135756,0.005558245423556396,0.5560808886357164,,,
2020-12-31,20099000000.0,5470000000.0,6119000000.0,2819627000000.0,272924000000.0,523898000000.0,,54594000000.0,-649000000.0,,8779300000.0,8724400000.0,2546703000000.0,262934000000.0,260964000000.0,380463000000.0,0.020042209552842548,0.0019399729113106095,0.27215284342504603,1.9195746801307323,0.0021701452000566033,0.007679255843839653,0.6230565079220439,,,
2021-03-31,22821000000.0,8050000000.0,9166000000.0,2969992000000.0,274000000000.0,575166000000.0,,-52328000000.0,-1116000000.0,,8755600000.0,8700100000.0,2695992000000.0,251211000000.0,323955000000.0,326101000000.0,0.02937956204379562,0.002710445011299694,0.3527452784715832,2.09914598540146,0.003086203599201614,0.01079412034867152,0.9194115765909817,,,
2021-06-30,21466000000.0,9224000000.0,8042000000.0,3029894000000.0,277119000000.0,620110000000.0,,-9311000000.0,1182000000.0,,8755600000.0,8700100000.0,2752775000000.0,274604000000.0,345506000000.0,260030000000.0,0.033285339511184724,0.003044330923788093,0.4297027858008013,2.23770293628369,0.0026542182663815963,0.008963152104981003,1.053497190369592,,,
2021-09-30,22766000000.0,7691000000.0,8950000000.0,3085446000000.0,272464000000.0,618544000000.0,,9795000000.0,-1259000000.0,,8304700000.0,8226500000.0,2812982000000.0,278621000000.0,339923000000.0,279854000000.0,0.028227582359504375,0.0024926704275492102,0.33782834050777477,2.270186153033061,0.0029007151640313912,0.010044803189196955,0.9261020867701422,,,
2021-12-31,22060000000.0,7013000000.0,7818000000.0,3169495000000.0,270066000000.0,496199000000.0,,44651000000.0,-805000000.0,,8304700000.0,8226500000.0,2899429000000.0,280117000000.0,216082000000.0,348221000000.0,0.02596772640761888,0.002212655328372501,0.31790571169537624,1.8373249501973592,0.002466639007160447,0.010202736651158542,0.8444615699543632,,,
2022-03-31,23228000000.0,7067000000.0,7879000000.0,3238223000000.0,266617000000.0,635306000000.0,,-45430000000.0,-812000000.0,,8202100000.0,8136800000.0,2971606000000.0,278710000000.0,356596000000.0,273934000000.0,0.02650618677728727,0.002182369775027847,0.3042448768727398,2.382841304192906,0.0024331245871578333,0.008735778996654925,0.8616086124285244,,,
2022-06-30,22688000000.0,6247000000.0,6892000000.0,3111606000000.0,269118000000.0,605192000000.0,,-5049000000.0,-645000000.0,,8202100000.0,8136800000.0,2842488000000.0,275697000000.0,329495000000.0,198002000000.0,0.02321286573176079,0.0020076449267677206,0.2753437940761636,2.2487979250737595,0.0022149333816685016,0.007882787569626334,0.7616342156277051,,,
