ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
PNR,0.6305967142233657,0,0.9752087593078613,0.8103838715031818,0.9209540361190077,0.7950305857424229,0.5,0.646431545661399,1,True,0.6305967142233657,Outperform,0.08059671422336567,0.055028904726926786,0.5755678094964389,1.0,selected_above_threshold,True,0.08059671422336567,1.0
ECL,0.6183706654081083,1,0.9059524536132812,0.789150325210491,0.7960429253522782,0.8663620127263012,0.5,0.8623573331399056,2,True,0.6183706654081083,Outperform,0.06837066540810821,0.042802855911669324,0.5755678094964389,2.0,selected_above_threshold,True,0.06837066540810821,2.0
PLD,0.615796915982009,1,0.8739001154899597,0.8732665375282519,0.7216239503798987,0.7911767225528586,0.5,0.5969527314004374,3,True,0.615796915982009,Outperform,0.06579691598200899,0.0402291064855701,0.5755678094964389,3.0,selected_above_threshold,True,0.06579691598200899,3.0
AFL,0.5877016276852114,1,0.7321720123291016,0.909128839204094,0.5261363916179395,0.6970055429364532,0.5,0.6607951807999725,4,True,0.5877016276852114,Outperform,0.03770162768521135,0.01213381818877246,0.5755678094964389,4.0,selected_above_threshold,True,0.03770162768521135,4.0
UNH,0.5868737029118953,0,0.9040938019752502,0.9018088873863152,0.5312220133481472,0.6027957373925765,0.5,0.6828294465118497,5,True,0.5868737029118953,Outperform,0.03687370291189529,0.011305893415456403,0.5755678094964389,5.0,selected_above_threshold,True,0.03687370291189529,5.0
SBAC,0.5835231232550082,1,0.9546652436256409,0.8386169838552422,0.5793544641836649,0.6224067052598814,0.5,0.5969527314004374,6,True,0.5835231232550082,Outperform,0.03352312325500817,0.007955313758569282,0.5755678094964389,6.0,selected_above_threshold,True,0.03352312325500817,6.0
MDT,0.5827774126861801,1,0.9185305833816528,0.7946506695091974,0.631530689577374,0.6888349884667382,0.5,0.6828294465118497,7,True,0.5827774126861801,Outperform,0.03277741268618006,0.007209603189741176,0.5755678094964389,7.0,selected_above_threshold,True,0.03277741268618006,7.0
BK,0.578784057295347,1,0.6672371625900269,0.852065336412386,0.6098560349956575,0.8090056943953803,0.5,0.6607951807999725,8,True,0.578784057295347,Outperform,0.028784057295346943,0.0032162477989080562,0.5755678094964389,8.0,selected_above_threshold,True,0.028784057295346943,8.0
SCHW,0.5786981293916437,1,0.7304372787475586,0.6950880253214147,0.7348245970292333,0.6961116092587198,0.5,0.6607951807999725,9,True,0.5786981293916437,Outperform,0.028698129391643623,0.003130319895204736,0.5755678094964389,9.0,selected_above_threshold,True,0.028698129391643623,9.0
TRMB,0.5755678094964389,0,0.6697771549224854,0.8693213212208456,0.6436387030112588,0.7151113381490326,0.5,0.6857522023443424,10,True,0.5755678094964389,Outperform,0.025567809496438887,0.0,0.5755678094964389,10.0,selected_above_threshold,True,0.025567809496438887,10.0
HIG,0.5749887268027363,1,0.8881663084030151,0.6990936366249552,0.5396824256023515,0.6543904815013025,0.5,0.6607951807999725,11,False,0.5749887268027363,Outperform,0.024988726802736227,-0.0005790826937026594,0.5755678094964389,,qualified_but_not_selected,True,0.024988726802736227,
XYL,0.5730985273605844,0,0.9804016947746277,0.36624496446921306,0.8683193715295873,0.7748204416307448,0.5,0.646431545661399,12,False,0.5730985273605844,Outperform,0.023098527360584376,-0.0024692821358545114,0.5755678094964389,,qualified_but_not_selected,True,0.023098527360584376,
LRCX,0.5722396933572033,1,0.5815912485122681,0.8405662576671875,0.6231129876621023,0.758356941525564,0.5,0.6857522023443424,13,False,0.5722396933572033,Outperform,0.022239693357203216,-0.0033281161392356706,0.5755678094964389,,qualified_but_not_selected,True,0.022239693357203216,
AXON,0.569867504192858,0,0.9050309658050537,0.956609415008599,0.41989858608825803,0.8074062674882314,0.5,0.9148864587783284,14,False,0.569867504192858,Outperform,0.019867504192857988,-0.005700305303580899,0.5755678094964389,,qualified_but_not_selected,True,0.019867504192857988,
EXR,0.5681938876617916,0,0.9158154726028442,0.9451309023522778,0.5063231173503877,0.6726840086825356,0.5,0.5969527314004374,15,False,0.5681938876617916,Outperform,0.01819388766179153,-0.007373921834647357,0.5755678094964389,,qualified_but_not_selected,True,0.01819388766179153,
HOLX,0.5671424579379369,1,0.9012041091918945,0.6641510078454824,0.6161705435320604,0.7515881282701439,0.5,0.6828294465118497,16,False,0.5671424579379369,Outperform,0.017142457937936895,-0.008425351558501992,0.5755678094964389,,qualified_but_not_selected,True,0.017142457937936895,
AIZ,0.5647798007427466,1,0.7647877931594849,0.7688650627106071,0.5412474918712599,0.7114810765367539,0.5,0.6607951807999725,17,False,0.5647798007427466,Outperform,0.01477980074274654,-0.010788008753692346,0.5755678094964389,,qualified_but_not_selected,True,0.01477980074274654,
SYF,0.5635250530630657,1,0.6825026869773865,0.7710316824816531,0.6361983376751419,0.7898609302371747,0.5,0.6607951807999725,18,False,0.5635250530630657,Outperform,0.013525053063065617,-0.01204275643337327,0.5755678094964389,,qualified_but_not_selected,True,0.013525053063065617,
BRK-B,0.5618990219820829,0,0.7405283451080322,0.6920156750750993,0.5485078148094104,0.6804673420654501,0.5,0.6607951807999725,19,False,0.5618990219820829,Outperform,0.011899021982082814,-0.013668787514356073,0.5755678094964389,,qualified_but_not_selected,True,0.011899021982082814,
IDXX,0.5576636118926267,1,0.6562763452529907,0.7707324596595906,0.7020240961911102,0.7145726408173376,0.5,0.6828294465118497,20,False,0.5576636118926267,Outperform,0.007663611892626654,-0.017904197603812233,0.5755678094964389,,qualified_but_not_selected,True,0.007663611892626654,
L,0.5573637525585535,1,0.6929171085357666,0.6826251925761199,0.5516063067238817,0.6547004234761957,0.5,0.6607951807999725,21,False,0.5573637525585535,Outperform,0.007363752558553482,-0.018204056937885404,0.5755678094964389,,qualified_but_not_selected,True,0.007363752558553482,
TRV,0.5569253586222556,1,0.7633286714553833,0.6868430321405139,0.5510412394222466,0.669294574057344,0.5,0.6607951807999725,22,False,0.5569253586222556,Outperform,0.0069253586222555175,-0.01864245087418337,0.5755678094964389,,qualified_but_not_selected,True,0.0069253586222555175,
MCHP,0.5527371179318462,1,0.7877165675163269,0.08209175575783181,0.8202752490068969,0.6688560049156187,0.5,0.6857522023443424,23,False,0.5527371179318462,Outperform,0.002737117931846167,-0.02283069156459272,0.5755678094964389,,qualified_but_not_selected,True,0.002737117931846167,
ZBH,0.5507359456157778,0,0.8850152492523193,0.39296314195248133,0.561921657050924,0.7065175934447729,0.5,0.6828294465118497,24,False,0.5507359456157778,Outperform,0.0007359456157777222,-0.024831863880661165,0.5755678094964389,,qualified_but_not_selected,True,0.0007359456157777222,
STE,0.5498111118917482,1,0.8546454310417175,0.5408979492283181,0.537143675375201,0.6319126800492735,0.5,0.6828294465118497,25,False,0.5498111118917482,Outperform,-0.00018888810825179458,-0.02575669760469068,0.5755678094964389,,below_threshold,False,-0.00018888810825179458,
NTAP,0.5490555506549244,0,0.9114137291908264,0.6019650076574767,0.5848397181989003,0.6160364756320797,0.5,0.6857522023443424,26,False,0.5490555506549244,Outperform,-0.0009444493450756486,-0.026512258841514535,0.5755678094964389,,below_threshold,False,-0.0009444493450756486,
MS,0.5485543309360751,1,0.7447948455810547,0.8513679467661677,0.5130817899312262,0.6987172490420133,0.5,0.6607951807999725,27,False,0.5485543309360751,Outperform,-0.0014456690639249592,-0.027013478560363846,0.5755678094964389,,below_threshold,False,-0.0014456690639249592,
