run_id,entry_date,candidate_train_years,ticker,eligible,reason,in_fold_base_universe,has_snapshot_in_analysis_quarter,passes_sp500_entry_filter,passes_history_filter
2025YQ1,2025-02-15,10,A,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AAL,False,not_member_sp500_on_entry,False,True,False,False
2025YQ1,2025-02-15,10,AAPL,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ABBV,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ABNB,False,insufficient_train_history,True,True,True,False
2025YQ1,2025-02-15,10,ABT,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ACGL,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ACN,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ADBE,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ADI,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ADM,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ADP,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ADSK,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AEE,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AEP,False,insufficient_train_history,True,True,True,False
2025YQ1,2025-02-15,10,AES,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AFL,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AIG,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AIZ,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AJG,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AKAM,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ALB,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ALGN,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ALL,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ALLE,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMAT,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMCR,False,insufficient_train_history,True,True,True,False
2025YQ1,2025-02-15,10,AMD,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AME,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMGN,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMP,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMT,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AMTM,False,not_member_sp500_on_entry,False,True,False,False
2025YQ1,2025-02-15,10,AMZN,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ANET,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ANSS,False,no_snapshot_in_analysis_quarter,True,False,False,False
2025YQ1,2025-02-15,10,AON,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AOS,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,APA,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,APD,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,APH,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,APO,False,insufficient_train_history,True,True,True,False
2025YQ1,2025-02-15,10,APP,False,not_member_sp500_on_entry,False,True,False,False
2025YQ1,2025-02-15,10,APTV,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ARE,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,ARES,False,not_member_sp500_on_entry,False,True,False,False
2025YQ1,2025-02-15,10,ATO,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AVB,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AVGO,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AVY,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AWK,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AXON,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AXP,True,eligible,True,True,True,True
2025YQ1,2025-02-15,10,AZO,True,eligible,True,True,True,True
