fold,agent,requested_n,available_n,used_n,missing_n,not_calculated_or_no_data_n,low_data_coverage_n,skipped_due_to_data_n,used_not_requested_n,requested,exclude,available,missing,not_calculated_or_no_data,low_data_coverage,skipped_due_to_data,used,used_not_requested
2025YQ1,fundamental,34,34,8,0,4,0,4,0,roe|roa|roi|roic|net_margin|gross_margin|fcf_margin|ebitda_margin|operating_margin|current_ratio|quick_ratio|debt_equity|debt_to_ebitda|interest_coverage|revenue_yoy_growth|net_income_yoy_growth|eps_yoy_growth|fcf_yoy_growth|operating_income_yoy_growth|total_debt_yoy_growth|roa_change_yoy|gross_margin_change_yoy|current_ratio_change_yoy|accruals_ratio|capex_to_revenue|consecutive_losses|earnings_quality|piotroski_fscore|eps|roe_trend_2y|roe_trend_3y|net_margin_trend_2y|net_margin_trend_3y|gross_margin_trend_3y,,roe|roa|roi|roic|net_margin|gross_margin|fcf_margin|ebitda_margin|operating_margin|current_ratio|quick_ratio|debt_equity|debt_to_ebitda|interest_coverage|revenue_yoy_growth|net_income_yoy_growth|eps_yoy_growth|fcf_yoy_growth|operating_income_yoy_growth|total_debt_yoy_growth|roa_change_yoy|gross_margin_change_yoy|current_ratio_change_yoy|accruals_ratio|capex_to_revenue|consecutive_losses|earnings_quality|piotroski_fscore|eps|roe_trend_2y|roe_trend_3y|net_margin_trend_2y|net_margin_trend_3y|gross_margin_trend_3y,,quick_ratio|roe_trend_3y|net_margin_trend_3y|gross_margin_trend_3y,,quick_ratio|roe_trend_3y|net_margin_trend_3y|gross_margin_trend_3y,net_income_yoy_growth|roe|net_margin_trend_2y|current_ratio|accruals_ratio|current_ratio_change_yoy|ebitda_margin|revenue_yoy_growth,
2025YQ1,valuation,13,13,6,0,4,0,4,0,pe_ratio|pb_ratio|ps_ratio|ev_to_ebitda|fcf_yield|earnings_yield|pe_vs_5y_median|pb_vs_5y_median|ev_ebitda_vs_5y_median|eps_surprise_pct|eps_revision|eps_est|eps_reported,,pe_ratio|pb_ratio|ps_ratio|ev_to_ebitda|fcf_yield|earnings_yield|pe_vs_5y_median|pb_vs_5y_median|ev_ebitda_vs_5y_median|eps_surprise_pct|eps_revision|eps_est|eps_reported,,eps_surprise_pct|eps_revision|eps_est|eps_reported,,eps_surprise_pct|eps_revision|eps_est|eps_reported,ev_to_ebitda|pb_ratio|ps_ratio|earnings_yield|pe_ratio|pb_vs_5y_median,
2025YQ1,momentum,22,22,8,0,4,0,4,0,rsi_14|rsi_28|macd|macd_signal|macd_hist|sma_20|sma_50|sma_200|bb_pct|price_vs_52w_high|price_vs_52w_low|momentum_1m|momentum_3m|momentum_6m|momentum_12m|volatility_20d|volatility_60d|atr_14|vol_ratio_20_50|beat_rate_4q|eps_surprise_avg_4q|eps_revision,,rsi_14|rsi_28|macd|macd_signal|macd_hist|sma_20|sma_50|sma_200|bb_pct|price_vs_52w_high|price_vs_52w_low|momentum_1m|momentum_3m|momentum_6m|momentum_12m|volatility_20d|volatility_60d|atr_14|vol_ratio_20_50|beat_rate_4q|eps_surprise_avg_4q|eps_revision,,momentum_12m|beat_rate_4q|eps_surprise_avg_4q|eps_revision,,momentum_12m|beat_rate_4q|eps_surprise_avg_4q|eps_revision,vol_ratio_20_50|macd_signal|volatility_60d|momentum_3m|atr_14|volatility_20d|momentum_6m|momentum_1m,
2025YQ1,bear,12,12,4,0,2,0,2,0,total_debt_yoy_growth|debt_equity|debt_to_ebitda|fcf_margin|current_ratio|consecutive_losses|revenue_decline|interest_coverage|insider_net_ratio_90d|insider_sell_ratio|eps_surprise_pct|eps_revision,,total_debt_yoy_growth|debt_equity|debt_to_ebitda|fcf_margin|current_ratio|consecutive_losses|revenue_decline|interest_coverage|insider_net_ratio_90d|insider_sell_ratio|eps_surprise_pct|eps_revision,,eps_surprise_pct|eps_revision,,eps_surprise_pct|eps_revision,current_ratio|insider_net_ratio_90d|debt_to_ebitda|interest_coverage,
2025YQ1,sentiment,13,13,0,0,3,6,9,0,analyst_buy_ratio|analyst_bearish_score|analyst_consensus|analyst_dispersion|analyst_strong_buy_pct|analyst_consensus_change|mspr_3m|mspr_trend|insider_net_ratio_90d|insider_sell_ratio|beat_rate_4q|eps_surprise_avg_4q|eps_surprise_pct,,analyst_buy_ratio|analyst_bearish_score|analyst_consensus|analyst_dispersion|analyst_strong_buy_pct|analyst_consensus_change|mspr_3m|mspr_trend|insider_net_ratio_90d|insider_sell_ratio|beat_rate_4q|eps_surprise_avg_4q|eps_surprise_pct,,beat_rate_4q|eps_surprise_avg_4q|eps_surprise_pct,analyst_buy_ratio|analyst_bearish_score|analyst_consensus|analyst_dispersion|analyst_strong_buy_pct|analyst_consensus_change,analyst_buy_ratio|analyst_bearish_score|analyst_consensus|analyst_dispersion|analyst_strong_buy_pct|analyst_consensus_change|beat_rate_4q|eps_surprise_avg_4q|eps_surprise_pct,,
2025YQ1,sector_rotation,40,40,4,0,6,4,10,0,roe|roa|net_margin|gross_margin|fcf_margin|ebitda_margin|operating_margin|revenue_yoy_growth|net_income_yoy_growth|eps_yoy_growth|debt_to_ebitda|debt_equity|interest_coverage|current_ratio|quick_ratio|pe_ratio|pb_ratio|ev_to_ebitda|fcf_yield|earnings_yield|pe_vs_5y_median|pb_vs_5y_median|momentum_1m|momentum_3m|momentum_6m|momentum_12m|volatility_20d|volatility_60d|rsi_14|analyst_buy_ratio|analyst_consensus|analyst_dispersion|analyst_bearish_score|insider_net_ratio_90d|insider_sell_ratio|beat_rate_4q|eps_surprise_pct|eps_surprise_avg_4q|eps_revision|mspr_3m,,roe|roa|net_margin|gross_margin|fcf_margin|ebitda_margin|operating_margin|revenue_yoy_growth|net_income_yoy_growth|eps_yoy_growth|debt_to_ebitda|debt_equity|interest_coverage|current_ratio|quick_ratio|pe_ratio|pb_ratio|ev_to_ebitda|fcf_yield|earnings_yield|pe_vs_5y_median|pb_vs_5y_median|momentum_1m|momentum_3m|momentum_6m|momentum_12m|volatility_20d|volatility_60d|rsi_14|analyst_buy_ratio|analyst_consensus|analyst_dispersion|analyst_bearish_score|insider_net_ratio_90d|insider_sell_ratio|beat_rate_4q|eps_surprise_pct|eps_surprise_avg_4q|eps_revision|mspr_3m,,quick_ratio|momentum_12m|beat_rate_4q|eps_surprise_pct|eps_surprise_avg_4q|eps_revision,analyst_buy_ratio|analyst_consensus|analyst_dispersion|analyst_bearish_score,quick_ratio|momentum_12m|analyst_buy_ratio|analyst_consensus|analyst_dispersion|analyst_bearish_score|beat_rate_4q|eps_surprise_pct|eps_surprise_avg_4q|eps_revision,net_income_yoy_growth|eps_yoy_growth|revenue_yoy_growth|momentum_3m,
2025YQ1,meta_learner,6,0,54,6,0,0,0,48,fundamental_score|valuation_score|momentum_score|bear_score|sentiment_score|sector_score,,,fundamental_score|valuation_score|momentum_score|bear_score|sentiment_score|sector_score,,,,"fundamental_score|valuation_score|momentum_score|bear_score|sentiment_score|sector_score|sector_Airlines|sector_Auto Components|sector_Banking|sector_Building|sector_Commercial Services & Supplies|sector_Communication Services|sector_Communications|sector_Construction|sector_Consumer Discretionary|sector_Consumer Staples|sector_Consumer products|sector_Distributors|sector_Electrical Equipment|sector_Energy|sector_Financials|sector_Health Care|sector_Healthcare|sector_Hotels, Restaurants & Leisure|sector_Industrial Conglomerates|sector_Industrials|sector_Leisure Products|sector_Life Sciences Tools & Services|sector_Machinery|sector_Materials|sector_Metals & Mining|sector_Packaging|sector_Professional Services|sector_Real Estate|sector_Road & Rail|sector_Technology|sector_Telecommunication|sector_Textiles, Apparel & Luxury Goods|sector_Tobacco|sector_Trading Companies & Distributors|sector_Utilities|fundamental_score_sector_rank|valuation_score_sector_rank|momentum_score_sector_rank|sentiment_score_sector_rank|sector_x_momentum|agent_score_mean|agent_score_std|agent_score_max|agent_score_min|agent_score_range|bullish_agent_score_count|consensus_score_strength|confidence_weighted_score_mean","sector_Airlines|sector_Auto Components|sector_Banking|sector_Building|sector_Commercial Services & Supplies|sector_Communication Services|sector_Communications|sector_Construction|sector_Consumer Discretionary|sector_Consumer Staples|sector_Consumer products|sector_Distributors|sector_Electrical Equipment|sector_Energy|sector_Financials|sector_Health Care|sector_Healthcare|sector_Hotels, Restaurants & Leisure|sector_Industrial Conglomerates|sector_Industrials|sector_Leisure Products|sector_Life Sciences Tools & Services|sector_Machinery|sector_Materials|sector_Metals & Mining|sector_Packaging|sector_Professional Services|sector_Real Estate|sector_Road & Rail|sector_Technology|sector_Telecommunication|sector_Textiles, Apparel & Luxury Goods|sector_Tobacco|sector_Trading Companies & Distributors|sector_Utilities|fundamental_score_sector_rank|valuation_score_sector_rank|momentum_score_sector_rank|sentiment_score_sector_rank|sector_x_momentum|agent_score_mean|agent_score_std|agent_score_max|agent_score_min|agent_score_range|bullish_agent_score_count|consensus_score_strength|confidence_weighted_score_mean"
