,importance
eps_revision,0.0948427348375694
ps_ratio,0.0915909468617979
pb_vs_5y_median,0.08689105098957407
pb_sector_pct,0.08598060186804846
eps_surprise_pct,0.08382958183766684
pe_sector_pct,0.07237827869988424
pe_vs_5y_median,0.0663465875711142
pb_ratio,0.06530758431276841
ev_to_ebitda,0.06491799840835684
ev_ebitda_vs_5y_median,0.06118074554768853
eps_reported,0.05652931480226925
ev_sector_pct,0.04546036767807794
eps_est,0.043840721124676664
earnings_yield,0.03300627144860832
pe_ratio,0.025994449134978993
fcf_yield,0.014667324726793792
fcf_sector_pct,0.0072354401501262084
