Date,Close,High,Low,Open,Volume
2019-01-02,306.9783935546875,309.3377439207477,301.3475209585577,306.34689407443364,664600
2019-01-03,303.4174499511719,311.77603209618354,302.7421071131943,305.80311170877565,779700
2019-01-04,310.3024597167969,312.80214563999755,303.78572827450824,305.04872691430677,543700
2019-01-07,310.9252624511719,313.1354972761366,308.2150849551724,309.6096407482755,730300
2019-01-08,317.3804931640625,318.5382464180834,313.48627845156784,313.48627845156784,680800
2019-01-09,313.39849853515625,320.21340629460315,305.4345903735611,318.9854986036731,1024800
2019-01-10,325.1163635253906,325.5899947379368,311.3988312423162,312.51271442457727,1033200
2019-01-11,325.7742004394531,326.5372566526744,321.49404073186975,324.484890255131,433600
2019-01-14,330.29119873046875,330.79114139634174,324.5112373207203,324.7831303285336,638200
2019-01-15,335.90447998046875,336.43948652502604,331.6681639004667,332.81713783140856,721200
2019-01-16,334.2643127441406,336.95695772273604,332.87853660071016,334.35202619366106,620800
2019-01-17,334.89581298828125,336.439484051462,332.59786514329244,334.1415362064732,490200
2019-01-18,328.6159973144531,336.3430798945849,327.8090709011763,336.3430798945849,638100
2019-01-22,325.40582275390625,329.59826876505934,322.9938500603971,328.6159423506885,858600
2019-01-23,320.36260986328125,326.0022341855191,318.5119550622682,325.274241977163,667100
2019-01-24,325.64263916015625,325.888220774441,313.4249070083105,313.4249070083105,492600
2019-01-25,324.02874755859375,327.2739573720221,320.0555724254263,326.0811135115164,760600
2019-01-28,330.7559814453125,331.5102849745361,319.16974968712856,322.7219435648048,466600
2019-01-29,332.6680603027344,333.1855348812627,327.93182825148244,331.62433177042516,352100
2019-01-30,335.9308166503906,337.5007724353055,332.5452699280024,332.66807412108716,400300
2019-01-31,345.5699462890625,346.2979118098708,333.21187705632656,335.77293882644756,591400
2019-02-01,347.65740966796875,347.9029913045837,342.8246842560784,345.08756847653586,646100
2019-02-04,346.7013854980469,348.201186641131,344.1402969828198,348.201186641131,487600
2019-02-05,347.139892578125,349.95531506185364,326.93193907094224,348.2362438157875,527700
2019-02-06,342.14935302734375,348.17489608776344,340.64955179462595,346.44704519675935,732600
2019-02-07,341.87744140625,343.92102854387485,338.53576463531766,341.1845398589908,402400
2019-02-08,347.166259765625,347.31534856874526,340.2110128193413,340.7635514482123,354600
2019-02-11,350.893798828125,351.5779209311023,346.9995570830581,348.15731041621586,408300
2019-02-12,348.6221618652344,351.3937410081778,345.2015245879439,351.3937410081778,346100
2019-02-13,343.7368469238281,349.76238961959484,338.4743604798202,339.38653229137077,575500
2019-02-14,368.8914794921875,370.5140846291085,350.4552472620383,361.3573572222626,1551900
2019-02-15,369.5931701660156,370.1807994384565,366.1023781999084,369.66332486780425,689300
2019-02-19,377.66229248046875,379.79359281826424,366.9706732916398,370.128170143774,660500
2019-02-20,378.4866943359375,380.3373488294061,374.9520596165236,375.7677383749153,598400
2019-02-21,373.513671875,377.1447997718312,372.14542776597585,376.32912093114095,397000
2019-02-22,375.8642578125,377.36405866262595,371.663032790907,375.3730946479396,341700
2019-02-25,376.2501525878906,377.1447654188,373.21543357574797,376.26768456898884,580000
2019-02-26,375.650390625,378.21742054654874,374.9093964601358,377.62637506463795,422300
2019-02-27,368.86663818359375,376.23250862523906,368.072717992687,371.7953478770169,525500
2019-02-28,373.5861511230469,375.8620596318588,368.37270243060163,372.43055030629216,1549800
2019-03-01,381.7813415527344,382.44294648933453,370.4987644960961,374.4331009812618,786500
2019-03-04,376.65606689453125,382.9809942755625,373.3480425971135,382.36351255917356,704300
2019-03-05,376.6030578613281,379.5494009573005,374.55648748495634,376.6295209730586,420300
2019-03-06,374.6094055175781,377.5557485491287,373.0303680968134,375.94144492733756,376500
2019-03-07,376.4530944824219,380.53740535671244,371.5484001971323,372.9157058821307,510200
2019-03-08,379.6552429199219,380.2021651610912,374.4682577978729,376.54129122872774,581500
2019-03-11,386.6682434082031,386.8182189870403,380.09631946612717,380.09631946612717,560400
2019-03-12,386.81829833984375,390.3997837375157,386.48308091195236,387.9209730785548,614000
2019-03-13,387.1446533203125,389.79107247150284,386.23605048856786,386.39482917665504,588500
2019-03-14,388.56488037109375,390.7173032577242,384.87751619663527,387.7003738278519,398400
2019-03-15,389.5617370605469,390.5673893361996,386.66831964607843,388.06211558032317,1207400
2019-03-18,391.7582702636719,392.37575193921253,388.8913160622343,390.34684127265655,370000
2019-03-19,391.2729797363281,393.56654791004667,389.8262848986289,392.5697259287979,383300
2019-03-20,395.2691345214844,396.08071486924905,389.45583728206907,390.03805269922856,590200
2019-03-21,404.2757568359375,404.38160927852425,392.11104445441964,395.1367767616673,569500
2019-03-22,398.28594970703125,406.5604218067158,397.9419024099048,404.75201983610015,644400
2019-03-25,393.5931396484375,400.04157959899356,392.7992191921271,398.94773483344466,449500
2019-03-26,394.9073791503906,395.8336148039389,390.5672412142924,393.3283419981825,379200
2019-03-27,395.2691345214844,398.32135718605673,392.57861927564574,396.50415160557407,390900
