Date,Close,High,Low,Open,Volume
2019-01-02,104.59548950195312,105.59788434491988,103.54752841285618,103.79357501806633,1078600
2019-01-03,100.93218231201172,104.2492017678233,100.79549053641507,103.547520564229,935400
2019-01-04,105.30628204345703,106.40891710363168,102.1168393735122,102.48134849770683,920500
2019-01-07,105.79837799072266,106.44537844291344,104.48615475706039,105.25161773066056,1220600
2019-01-08,108.90579986572266,108.90579986572266,105.9532822228885,106.52738635187845,1430000
2019-01-09,105.85305786132812,109.41611763440157,105.81660625068476,108.76000254768886,1473100
2019-01-10,107.12883758544922,107.21997009517678,104.75953833365476,105.06937357137281,1041900
2019-01-11,105.70724487304688,107.31108087987101,105.63434165627456,106.52738868065204,1122100
2019-01-14,104.90531158447266,106.04439807119951,104.72305357513704,105.27892833685434,1187500
2019-01-15,105.49767303466797,105.843959914179,104.28568981368417,104.85067248668017,1189700
2019-01-16,104.38590240478516,106.52738389614889,104.34033615824063,105.46120047036479,1250600
2019-01-17,103.65689086914062,105.5341035471349,103.20125618400155,104.45880541210933,1137100
2019-01-18,105.34273529052734,105.87127318121333,103.97583126784983,104.1034084204384,1239800
2019-01-22,104.31300354003906,105.57966737953264,103.81180261688691,105.00557019227658,1167600
2019-01-23,104.30390167236328,105.34274830171448,103.80270764027097,104.99646840940883,742800
2019-01-24,104.60460662841797,104.95088646896713,103.63866336890551,104.58637734855932,711800
2019-01-25,105.87126922607422,106.44536639127564,105.25160581417913,105.56143404391011,744200
2019-01-28,105.00556945800781,105.04201411358822,103.6113215231068,104.65928265809383,595500
2019-01-29,105.45210266113281,105.81661183436678,104.37680442393142,104.95090167888183,855700
2019-01-30,106.44537353515625,106.782545706992,105.28806448725744,105.31540145613508,930400
2019-01-31,106.53651428222656,107.22907405551979,106.11732421887261,106.29046763841298,981000
2019-02-01,107.86697387695312,108.61421459342145,106.49095497686385,106.99215598590006,1184000
2019-02-04,109.39788055419922,109.5801316304076,107.41131323282299,107.7575930585921,1599800
2019-02-05,108.787353515625,109.66217142633,108.31349642115616,109.42524635531295,942900
2019-02-06,109.74417114257812,109.96287384596295,108.67798764208935,108.77822782956439,907500
2019-02-07,108.09476470947266,109.17917042715509,107.3384095369984,109.16094810058965,1031400
2019-02-08,123.35856628417969,124.64345980923805,117.37153200093076,118.41037883068894,4429300
2019-02-11,122.27415466308594,124.42475158801176,122.14657746859336,123.36768936430384,1903100
2019-02-12,125.04439544677734,126.04679740697442,122.37436871908973,122.37436871908973,1823400
2019-02-13,125.42711639404297,125.68227070701008,124.26980039281325,125.25397298777231,1178000
2019-02-14,125.01705169677734,125.73694840743418,124.3791658952711,125.42712014739796,956300
2019-02-15,126.32929992675781,126.5935619734308,125.33600556716377,126.06502397521523,1077200
2019-02-19,126.58439636230469,127.11293411867591,125.70046420654666,125.71869348224587,773900
2019-02-20,126.85785675048828,127.49574273786853,126.238186144982,126.82139817699704,1067800
2019-02-21,126.11056518554688,127.25875956439337,125.85541087913654,127.01272685062636,981300
2019-02-22,127.55949401855469,127.63239724331086,126.29283003626131,126.5662136528799,942700
2019-02-25,128.68035888671875,128.9172839264294,127.62328303902329,128.07891774183676,742400
2019-02-26,129.07215881347656,129.56423802476073,128.64386121066286,128.64386121066286,1130100
2019-02-27,130.3024139404297,130.32975090950083,128.83526967918687,128.83526967918687,757100
2019-02-28,130.42088317871094,131.50529608178536,130.05638094963476,130.48467871647708,1444100
2019-03-01,130.8673858642578,131.74221051798656,130.3388479970897,130.9858553238425,678400
2019-03-04,129.40028381347656,132.07941867495742,128.52545887518602,131.98828615257713,1087700
2019-03-05,129.03578186035156,129.7921233975659,128.5345807957325,129.3820548555578,808900
2019-03-06,127.8329086303711,129.19981314002422,127.4319477494267,129.05400665515867,690700
2019-03-07,127.11297607421875,128.16093034257298,126.38395775912251,128.05158246201228,886800
2019-03-08,126.52975463867188,126.61176554289315,123.90529446465669,125.67315922604932,708000
2019-03-11,128.8990478515625,129.3820194987012,125.97388100039161,125.97388100039161,1013700
2019-03-12,127.75994873046875,129.6371611997956,127.6141423102637,129.1906481571078,919800
2019-03-13,128.49807739257812,129.2635541627767,127.51390489220786,128.3613925612208,809500
2019-03-14,128.1778564453125,129.01048062844995,127.70208316463646,129.01048062844995,1305800
2019-03-15,128.68109130859375,129.57775598610203,127.94911415986533,128.0863677284848,1092700
2019-03-18,128.55296325683594,129.14768668382473,127.47330806044418,128.60785908562883,721400
2019-03-19,128.51638793945312,129.21175846632025,128.06804867530784,129.21175846632025,662500
2019-03-20,126.90608978271484,128.82752863621712,126.73224358647423,128.41579572798295,811600
2019-03-21,128.68109130859375,129.2392223138526,127.01585690750692,127.14395186143668,708200
2019-03-22,126.85115051269531,128.80918128208697,126.43941774536248,128.10465208206264,722800
2019-03-25,126.85115051269531,127.15309159842002,125.54275310252392,126.85115051269531,732800
2019-03-26,128.4615020751953,128.54385980608086,127.18055245513274,127.97657015036421,1088600
2019-03-27,127.51910400390625,129.42223939254964,126.91523564778261,128.46152006233126,922200
2019-03-28,127.35438537597656,128.55299110190842,126.87859815454863,127.610575273368,858600
2019-03-29,128.47976684570312,128.6536129480412,127.50075863543553,127.95824249998851,897600
2019-04-01,129.30331420898438,130.34637741049966,128.2693956635036,129.47714644148115,701100
2019-04-02,129.62350463867188,130.24569008936973,128.790880473773,129.8339433528729,662700
2019-04-03,130.19078063964844,131.39854500888634,129.5960570695648,130.3188755914189,957400
2019-04-04,128.71768188476562,130.6116722041424,127.85762375676498,130.55677636206815,442600
2019-04-05,128.6993865966797,129.42220508590012,128.36083898411894,129.3124134068545,1030700
2019-04-08,128.67198181152344,128.9281717893803,127.62891862701865,128.69027112329414,578600
2019-04-09,128.8092041015625,129.46798223052326,127.83019552407944,128.58046208348736,756800
2019-04-10,130.5658721923828,130.61162336410433,128.91892773949013,129.01043008293317,646100
2019-04-11,130.8861541748047,131.3161901826546,130.05353007779303,131.04169703447144,905000
2019-04-12,131.0508575439453,131.4534456818198,130.09013838970907,131.27045488132316,732400
2019-04-15,131.36195373535156,131.48089007376436,130.3280354964152,130.86786322984278,461900
