Date,Close,High,Low,Open,Volume
2019-01-02,114.7423095703125,115.12858708409236,112.5953204679329,112.9636346140717,5093200
2019-01-03,112.0832748413086,114.0056840849659,111.9036137567501,114.0056840849659,5252900
2019-01-04,115.79334259033203,116.21555372255641,113.47568419917788,113.61941856488481,4776900
2019-01-07,116.96112823486328,117.7157128869036,115.71246540329899,116.05383100138096,4485100
2019-01-08,118.16486358642578,118.33554637277061,116.82637718094875,118.08401817413363,3949400
2019-01-09,118.72184753417969,119.17998530964952,118.00318956122368,118.59608341695693,6405100
2019-01-10,119.30574035644531,119.37760751900316,117.67978521194563,118.07504775238394,2685700
2019-01-11,119.33271026611328,119.35068048679587,118.44338309762662,118.69491135813418,3033800
2019-01-14,118.57811737060547,119.01829865000434,118.18285478620832,118.38946433450276,2479400
2019-01-15,119.8716812133789,119.97947509955617,118.623018438542,118.74878254150187,4542100
2019-01-16,120.21307373046875,120.67121155663001,120.02442068013043,120.07831763529502,2963100
2019-01-17,121.18321990966797,121.63237938110078,119.62015372172772,119.83574149536955,4401100
2019-01-18,122.75529479980469,123.015815004828,121.6773146628138,122.07257724473806,4224900
2019-01-22,121.07545471191406,122.09953800114904,120.2759512116101,122.07258952305831,5037900
2019-01-23,121.20123291015625,121.9648097640356,120.0154586147744,121.61446580093823,3934200
2019-01-24,121.45274353027344,121.6952935331986,120.78799614729192,121.2101935273483,3785200
2019-01-25,122.59362030029297,122.90803749801678,122.19835766564461,122.37801876123125,2987300
2019-01-28,121.69529724121094,121.74021594049346,120.80595634156222,121.4886876732264,4371600
2019-01-29,121.52460479736328,122.05460976809826,121.12934220655704,121.8300299967094,2975100
2019-01-30,123.357177734375,123.79734529340516,121.83002439336018,122.30613239022594,3060700
2019-01-31,124.44417572021484,124.65977729408556,123.2853498154145,123.31229829874019,3932900
2019-02-01,124.62378692626953,125.0459979389407,124.19259765850778,124.59683845373814,3225400
2019-02-04,125.51314544677734,125.54009392313162,124.29143092542456,124.65075308165589,4938100
2019-02-05,126.03419494628906,126.16893735241212,125.45927116805721,125.71977772231648,2759100
2019-02-06,125.90841674804688,126.12400457378634,125.45026520382538,125.89942478379935,2945200
2019-02-07,124.71366882324219,125.30656284508771,123.17753680432688,125.02807235075572,5097500
2019-02-08,124.83942413330078,124.85739435588332,123.66262813852238,124.09381752965764,2105800
2019-02-11,125.09990692138672,125.36042712393744,124.76753325667822,125.22567104105435,2337000
2019-02-12,126.6629409790039,126.82463177098357,125.81851917931624,125.87241610997613,3312300
2019-02-13,127.05826568603516,127.45352831427118,126.78876719339581,127.06724394312681,2369300
2019-02-14,126.83367919921875,127.39063266928527,126.11502115919814,126.53723224368792,2731400
2019-02-15,128.22605895996094,128.25300743337283,127.48045254529121,127.70503229523052,2537600
2019-02-19,128.47760009765625,128.8099737746528,127.86673598864306,127.92962490443242,2469900
2019-02-20,128.74710083007812,128.9357401662403,128.22607410381303,128.504550833465,2357400
2019-02-21,128.3069305419922,128.58540729553675,127.78590377102437,128.51354011603124,3684900
2019-02-22,129.15133666992188,129.21421187711323,128.4865756227976,128.63928821998942,1838400
2019-02-25,129.3399658203125,130.14846114490828,129.26809865541998,129.8609924853382,3920000
2019-02-26,129.097412109375,129.56452805714613,128.98960452297848,129.133338833335,2155200
2019-02-27,129.14230346679688,129.3309564426497,128.35179225772845,128.80992990300413,2046800
2019-02-28,128.8728485107422,129.26809735277791,128.74708440026262,129.04351760497443,2275100
2019-03-01,129.7352294921875,129.89693404140496,128.90877764968792,129.69930276306155,2985100
2019-03-04,129.1333465576172,130.28319369473212,127.93858073242171,130.2562452233356,3555400
2019-03-05,128.890869140625,129.26816165975518,128.62137056774148,129.18731620007017,2838000
2019-03-06,127.91163635253906,128.95368963740012,127.76790202898728,128.9267411651416,2139600
2019-03-07,126.91455078125,127.78592160689048,126.4474209028954,127.70507615888627,2851800
2019-03-08,126.6539535522461,126.68988026766503,125.69274600091555,125.88139895181627,2328000
2019-03-11,128.51351928710938,128.55843798042795,126.9863796651024,127.01332813964142,1910400
2019-03-12,128.94473266601562,129.21423116899234,128.6662559056029,128.75609330901622,1966100
2019-03-13,129.77117919921875,130.21134677194283,129.30404944364875,129.32201966312564,2013500
2019-03-14,129.66334533691406,129.93284374545732,129.40283888991925,129.77115292468645,1494000
2019-03-15,130.26527404785156,130.68748520664744,129.85205485451797,129.91493007643203,2324300
2019-03-18,130.75030517578125,130.93894444929612,130.21130840836722,130.34606445384932,2489700
