,importance
ev_to_ebitda__pct_universe,0.16855730280995573
fcf_yield__pct_universe,0.09063030220350168
ps_ratio,0.07902119993231392
pb_ratio,0.0648548309519654
ev_ebitda_vs_5y_median,0.06476110561354131
ev_ebitda_vs_5y_median__pct_universe,0.06453622915577718
pb_ratio__pct_universe,0.05703046131775879
ps_ratio__pct_universe,0.056306242499280026
pe_vs_5y_median,0.03907624572378756
pe_vs_5y_median__pct_universe,0.03382415223239144
fcf_yield__pct_sector,0.030721188322448332
pb_ratio__pct_sector,0.030491388454974504
fcf_yield,0.029926812317554376
ps_ratio__pct_sector,0.028735914404520467
ev_to_ebitda,0.02140066219405137
earnings_yield__pct_sector,0.020548775480307417
earnings_yield,0.020259516210503495
pe_ratio__pct_universe,0.016338133032783392
ev_to_ebitda__pct_sector,0.016254445583520013
pe_ratio__pct_sector,0.016011444809452362
ev_ebitda_vs_5y_median__pct_sector,0.01587521456817487
pe_vs_5y_median__pct_sector,0.012703675389243307
earnings_yield__pct_universe,0.012455340367672246
pe_ratio,0.00967941642452084
