fold,ticker,final_score,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,confidence,sector,selection_rank,portfolio_weight,prediction,actual_return,alpha_real,beat_benchmark
2025Q1,NUE,0.833,0.443,0.598,0.598,0.347,0.412,High,Metals & Mining,1,0.15,Outperform,0.2594,0.1693,True
2025Q1,CZR,0.796,0.407,0.522,0.721,0.488,0.412,High,"Hotels, Restaurants & Leisure",5,0.15,Outperform,-0.1643,-0.2544,False
2025Q1,AES,0.777,0.34,0.531,0.742,0.363,0.412,High,Utilities,10,0.15,Outperform,0.0734,-0.0167,False
2025Q1,FCX,0.762,0.354,0.394,0.46,0.338,0.412,High,Metals & Mining,18,0.15,Outperform,0.1011,0.0111,True
2025Q1,ENPH,0.739,0.442,0.469,0.639,0.279,0.412,Moderate,Technology,27,0.1129,Outperform,-0.2994,-0.3895,False
2025Q1,UBER,0.73,0.411,0.468,0.526,0.334,0.412,Moderate,Road & Rail,33,0.15,Outperform,0.0271,-0.063,False
2025Q1,MRNA,0.722,0.557,0.61,0.49,0.616,0.412,Moderate,Technology,36,0.1025,Outperform,0.1848,0.0947,True
2025Q1,SMCI,0.703,0.411,0.526,0.364,0.271,0.404,Moderate,Technology,47,0.0346,Outperform,0.0321,-0.058,False
