year_quarter,fold,ticker,sector,industry,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,final_score,prediction,confidence,selected,rank,selection_reason,portfolio_weight,actual_return,alpha_real,beat_benchmark
2025Q1,2025Q1,NUE,Metals & Mining,Metals & Mining,0.443,0.598,0.598,0.347,0.412,0.833,Outperform,High,True,1,selected_above_threshold,0.15,0.2594,0.1693,True
2025Q1,2025Q1,CZR,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.407,0.522,0.721,0.488,0.412,0.796,Outperform,High,True,5,selected_above_threshold,0.15,-0.1643,-0.2544,False
2025Q1,2025Q1,AES,Utilities,Utilities,0.34,0.531,0.742,0.363,0.412,0.777,Outperform,High,True,10,selected_above_threshold,0.15,0.0734,-0.0167,False
2025Q1,2025Q1,FCX,Metals & Mining,Metals & Mining,0.354,0.394,0.46,0.338,0.412,0.762,Outperform,High,True,18,selected_above_threshold,0.15,0.1011,0.0111,True
2025Q1,2025Q1,ENPH,Technology,Semiconductors,0.442,0.469,0.639,0.279,0.412,0.739,Outperform,Moderate,True,27,selected_above_threshold,0.1129,-0.2994,-0.3895,False
2025Q1,2025Q1,UBER,Road & Rail,Road & Rail,0.411,0.468,0.526,0.334,0.412,0.73,Outperform,Moderate,True,33,selected_above_threshold,0.15,0.0271,-0.063,False
2025Q1,2025Q1,MRNA,Technology,Biotechnology,0.557,0.61,0.49,0.616,0.412,0.722,Outperform,Moderate,True,36,selected_above_threshold,0.1025,0.1848,0.0947,True
2025Q1,2025Q1,SMCI,Technology,Technology,0.411,0.526,0.364,0.271,0.404,0.703,Outperform,Moderate,True,47,selected_above_threshold,0.0346,0.0321,-0.058,False
2025Q1,2025Q1,NEM,Metals & Mining,Metals & Mining,0.361,0.489,0.511,0.403,0.412,0.811,Outperform,High,False,2,qualified_but_not_selected,,,,
2025Q1,2025Q1,EL,Consumer products,Consumer products,0.476,0.486,0.57,0.571,0.412,0.8,Outperform,High,False,3,qualified_but_not_selected,,,,
2025Q1,2025Q1,HII,Industrials,Aerospace & Defense,0.29,0.463,0.723,0.572,0.412,0.799,Outperform,High,False,4,qualified_but_not_selected,,,,
2025Q1,2025Q1,DHI,Consumer products,Consumer products,0.516,0.433,0.474,0.312,0.412,0.794,Outperform,High,False,6,qualified_but_not_selected,,,,
2025Q1,2025Q1,LEN,Consumer products,Consumer products,0.325,0.464,0.576,0.448,0.412,0.79,Outperform,High,False,7,qualified_but_not_selected,,,,
2025Q1,2025Q1,MGM,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.411,0.562,0.647,0.31,0.412,0.78,Outperform,High,False,8,qualified_but_not_selected,,,,
2025Q1,2025Q1,REGN,Technology,Biotechnology,0.369,0.448,0.655,0.445,0.412,0.778,Outperform,High,False,9,qualified_but_not_selected,,,,
2025Q1,2025Q1,ODFL,Road & Rail,Road & Rail,0.383,0.436,0.489,0.241,0.412,0.772,Outperform,High,False,11,qualified_but_not_selected,,,,
2025Q1,2025Q1,SWKS,Technology,Semiconductors,0.49,0.428,0.696,0.267,0.412,0.772,Outperform,High,False,12,qualified_but_not_selected,,,,
2025Q1,2025Q1,SBUX,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.484,0.556,0.519,0.357,0.412,0.771,Outperform,High,False,13,qualified_but_not_selected,,,,
2025Q1,2025Q1,DOW,Materials,Chemicals,0.378,0.473,0.616,0.419,0.412,0.768,Outperform,High,False,14,qualified_but_not_selected,,,,
2025Q1,2025Q1,LMT,Industrials,Aerospace & Defense,0.403,0.44,0.545,0.387,0.412,0.767,Outperform,High,False,15,qualified_but_not_selected,,,,
2025Q1,2025Q1,EIX,Utilities,Utilities,0.353,0.601,0.698,0.353,0.412,0.767,Outperform,High,False,16,qualified_but_not_selected,,,,
2025Q1,2025Q1,BIIB,Technology,Biotechnology,0.364,0.444,0.71,0.445,0.412,0.765,Outperform,High,False,17,qualified_but_not_selected,,,,
2025Q1,2025Q1,MCHP,Technology,Semiconductors,0.417,0.395,0.735,0.279,0.412,0.76,Outperform,High,False,19,qualified_but_not_selected,,,,
2025Q1,2025Q1,MCD,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.468,0.654,0.435,0.425,0.412,0.759,Outperform,High,False,20,qualified_but_not_selected,,,,
2025Q1,2025Q1,MPC,Energy,Energy,0.438,0.418,0.494,0.442,0.412,0.755,Outperform,High,False,21,qualified_but_not_selected,,,,
2025Q1,2025Q1,DPZ,"Hotels, Restaurants & Leisure","Hotels, Restaurants & Leisure",0.473,0.425,0.502,0.373,0.412,0.755,Outperform,High,False,22,qualified_but_not_selected,,,,
2025Q1,2025Q1,PSX,Energy,Energy,0.373,0.505,0.542,0.388,0.412,0.749,Outperform,Moderate,False,23,qualified_but_not_selected,,,,
