Ticker,Formulario,Accession_Number,MDA_Extraido,P_Positivo,P_Negativo,P_Neutro,Total_Bloques,Indice_Polaridad
MSFT,8-K,0000950170-23-034400,True,0.4501,0.1659,0.384,12,0.2842
MSFT,8-K,0000950170-23-054848,True,0.2859,0.1642,0.5499,7,0.1217
MSFT,8-K,0000950170-24-008809,True,0.2889,0.1161,0.595,9,0.1728
MSFT,8-K,0000950170-24-048268,True,0.284,0.1444,0.5717,7,0.1396
MSFT,8-K,0000950170-24-087835,True,0.2249,0.2097,0.5654,9,0.0152
MSFT,8-K,0000950170-24-118955,True,0.2864,0.171,0.5426,7,0.1154
MSFT,8-K,0000950170-24-132722,True,0.3065,0.0315,0.6621,83,0.275
MSFT,8-K,0000950170-25-010484,True,0.1253,0.1388,0.736,8,-0.0135
MSFT,8-K,0000950170-25-061032,True,0.2504,0.2421,0.5075,8,0.0083
MSFT,8-K,0000950170-25-100226,True,0.2502,0.1868,0.5629,8,0.0634
MSFT,8-K,0001104659-23-109428,True,0.0001,0.0004,0.9995,6,-0.0003
MSFT,8-K,0001193125-20-073072,True,0.0023,0.001,0.9967,2,0.0013
MSFT,8-K,0001193125-20-091746,True,0.6661,0.0006,0.3334,3,0.6655
MSFT,8-K,0001193125-20-126089,True,0.2648,0.1707,0.5645,8,0.0941
MSFT,8-K,0001193125-20-128779,True,0.0001,0.1002,0.8997,10,-0.1001
MSFT,8-K,0001193125-20-142890,True,0.0003,0.3845,0.6152,5,-0.3842
MSFT,8-K,0001193125-20-157234,True,0.0003,0.2553,0.7443,5,-0.255
MSFT,8-K,0001193125-20-180036,True,0.4995,0.2473,0.2532,4,0.2522
MSFT,8-K,0001193125-20-197109,True,0.5638,0.1532,0.283,13,0.4106
MSFT,8-K,0001193125-20-207517,True,0.0064,0.0001,0.9935,2,0.0063
MSFT,8-K,0001193125-20-250163,True,0.4997,0.2487,0.2516,4,0.251
MSFT,8-K,0001193125-20-278410,True,0.2859,0.2751,0.439,7,0.0108
MSFT,8-K,0001193125-21-017683,True,0.2502,0.2432,0.5067,8,0.007
MSFT,8-K,0001193125-21-044940,True,0.0002,0.1955,0.8043,10,-0.1953
MSFT,8-K,0001193125-21-065751,True,0.0002,0.1687,0.8311,6,-0.1685
MSFT,8-K,0001193125-21-084239,True,0.0004,0.3683,0.6313,5,-0.3679
MSFT,8-K,0001193125-21-112687,True,0.3336,0.0067,0.6598,6,0.3269
MSFT,8-K,0001193125-21-134213,True,0.3384,0.2186,0.443,9,0.1198
MSFT,8-K,0001193125-21-210827,True,0.0001,0.0001,0.9999,1,0.0
MSFT,8-K,0001193125-21-225746,True,0.4237,0.1146,0.4617,13,0.3091
MSFT,8-K,0001193125-21-307941,True,0.3574,0.1527,0.4899,8,0.2047
MSFT,8-K,0001193125-22-010667,True,0.6661,0.0002,0.3337,6,0.6659
MSFT,8-K,0001193125-22-017041,True,0.2863,0.1475,0.5662,7,0.1388
MSFT,8-K,0001193125-22-120207,True,0.2606,0.2174,0.5221,9,0.0432
MSFT,8-K,0001193125-22-165839,True,0.0001,0.0001,0.9998,1,0.0
MSFT,8-K,0001193125-22-202034,True,0.6116,0.1525,0.2359,13,0.4591
MSFT,8-K,0001193125-22-268356,True,0.2524,0.2395,0.5081,8,0.0129
MSFT,8-K,0001193125-23-009934,True,0.1175,0.0472,0.8353,2,0.0703
MSFT,8-K,0001193125-23-014230,True,0.257,0.1569,0.5861,9,0.1001
MSFT,8-K,0001193125-23-115280,True,0.1301,0.3637,0.5061,8,-0.2336
MSFT,8-K,0001193125-23-254151,True,0.0002,0.0001,0.9997,2,0.0001
MSFT,8-K,0001193125-23-265616,True,0.0001,0.0001,0.9999,6,0.0
MSFT,8-K,0001193125-24-011295,True,0.0005,0.0004,0.9991,2,0.0001
MSFT,8-K,0001193125-24-204403,True,0.405,0.2846,0.3105,7,0.1204
MSFT,8-K,0001193125-25-256310,True,0.2511,0.1916,0.5573,8,0.0595
MSFT,8-K,0001193125-26-027198,True,0.3524,0.1248,0.5228,8,0.2276
