,importance
sector_Oils-Energy,0.03199754
sector_Business Services,0.028514847
sector_Medical,0.026856951
sector_Computer And Technology,0.026159748
roa,0.021264885
gross_margin,0.021234442
current_ratio,0.021183806
operating_margin_zsector,0.021146495
total_debt_yoy_growth,0.020785807
eps_yoy_growth,0.020627737
operating_income_yoy_growth,0.020483641
net_margin,0.020353902
accruals_ratio,0.020209888
debt_to_ebitda,0.020144977
interest_coverage,0.020114535
revenue_yoy_growth,0.020103712
debt_to_ebitda_zsector,0.020083696
quick_ratio,0.020050842
ev_to_ebitda_zsector,0.020006262
revenue_yoy_growth_zsector,0.019927775
roic,0.019819869
debt_equity,0.019774351
roa_zsector,0.019720625
roe,0.019704599
ebitda_margin,0.01964546
debt_equity_zsector,0.019600146
roic_zsector,0.019580647
operating_margin,0.019426527
net_income_yoy_growth,0.019404864
current_ratio_zsector,0.019329414
roi,0.019191336
gross_margin_zsector,0.019177908
sector_Basic Materials,0.0191728
volatility_20d_zsector,0.01914988
ebitda_margin_zsector,0.019046357
pe_ratio_zsector,0.018877743
net_income_yoy_growth_zsector,0.018869158
momentum_12m_zsector,0.018731236
pb_ratio_zsector,0.018498957
consecutive_losses,0.018457012
net_margin_zsector,0.01835952
roe_zsector,0.018343704
roi_zsector,0.018319974
eps,0.018250536
quick_ratio_zsector,0.018060405
interest_coverage_zsector,0.017982552
eps_yoy_growth_zsector,0.016585663
sector_Finance,0.016388096
sector_Retail-Wholesale,0.012202721
sector_Consumer Staples,0.009962205
sector_Construction,0.009114258
sector_Aerospace,0.0
sector_Consumer Discretionary,0.0
sector_Auto-Tires-Trucks,0.0
sector_Conglomerates,0.0
sector_Industrial Products,0.0
sector_Transportation,0.0
sector_Unknown,0.0
sector_Utilities,0.0
