,shap_importance
agent_score_range,0.03610192183649954
sector_x_momentum,0.02864028867782763
valuation_score_sector_rank,0.02605671558576905
momentum_score,0.02381028307850627
agent_score_std,0.02130795340169247
bear_score,0.017276695335399474
fundamental_score_sector_rank,0.015912775605091398
confidence_weighted_score_mean,0.013947049213187407
valuation_score,0.012609502594470624
momentum_score_sector_rank,0.01201112857815375
consensus_score_strength,0.009858364166097186
agent_score_mean,0.005976837969349805
sentiment_score_sector_rank,0.005633594118040383
agent_score_max,0.005632988600910236
agent_score_min,0.001626120866239647
sector_score,0.0015552220265080132
fundamental_score,0.0014459476736159937
sector_Industrials,0.0008019850790953666
sector_Machinery,0.0007742345570644815
sector_Road & Rail,0.0005173988688936191
sector_Professional Services,0.000494511752714419
sector_Materials,0.0003899206552406658
sector_Technology,0.00027985036686331197
sector_Consumer products,0.000269395321386496
bullish_agent_score_count,0.00025150799038268297
sector_Banking,0.00023799610433395313
sector_Commercial Services & Supplies,0.00020033811960590674
sector_Electrical Equipment,0.00017864898413859115
"sector_Textiles, Apparel & Luxury Goods",0.00014631849400467895
sector_Health Care,0.00012396084767871596
sector_Utilities,0.0001124240247003592
sector_Consumer Discretionary,9.816489174741436e-05
sector_Healthcare,6.844938507409775e-05
"sector_Hotels, Restaurants & Leisure",4.5850632314772655e-05
sector_Leisure Products,4.1754928315826764e-05
sector_Packaging,3.686017642877502e-05
sector_Real Estate,2.676822047572244e-05
sector_Energy,2.2562750327230603e-05
sector_Financials,1.2129790612037923e-05
sector_Consumer Staples,4.192918808794014e-06
sector_Distributors,7.603436600018007e-07
sector_Auto Components,0.0
sector_Communications,0.0
sector_Construction,0.0
sentiment_score,0.0
sector_Airlines,0.0
sector_Building,0.0
sector_Communication Services,0.0
sector_Industrial Conglomerates,0.0
sector_Life Sciences Tools & Services,0.0
sector_Telecommunication,0.0
sector_Metals & Mining,0.0
sector_Trading Companies & Distributors,0.0
sector_Tobacco,0.0
