,importance
bear_score,0.08828007622092221
fundamental_score_sector_rank,0.08612847008947115
momentum_score_sector_rank,0.08125479208871413
momentum_score,0.07597455695629847
sector_x_momentum,0.07567638652619983
valuation_score_sector_rank,0.0730947454248413
confidence_weighted_score_mean,0.06863886736034559
sentiment_score_sector_rank,0.062190601131651604
fundamental_score,0.053341661175033465
agent_score_mean,0.050191431218870486
agent_score_range,0.04674795368541504
agent_score_std,0.042705335080053156
valuation_score,0.03284153343917368
consensus_score_strength,0.03224659166284698
agent_score_max,0.030282697589443405
agent_score_min,0.024784116317788367
sector_score,0.018804332524568854
sector_Trading Companies & Distributors,0.01797276052600022
sector_Utilities,0.004055798112730341
sector_Communication Services,0.003689533504709424
sector_Financials,0.0030490549319078524
sector_Building,0.002890171657517882
sector_Metals & Mining,0.0028481749114960164
sector_Life Sciences Tools & Services,0.002664695513217759
sector_Road & Rail,0.0026362536800630947
sector_Consumer products,0.0017445065420409703
sector_Airlines,0.0017156321075890728
"sector_Hotels, Restaurants & Leisure",0.0016938065416013343
"sector_Textiles, Apparel & Luxury Goods",0.0016130686576834334
sector_Technology,0.0015561437682891114
sector_Distributors,0.0012644494972767592
sector_Materials,0.0011240333400519334
sector_Commercial Services & Supplies,0.0008314975759756481
sector_Professional Services,0.0007575392340793395
sector_Machinery,0.0007530128258044284
sector_Consumer Discretionary,0.0006712310645730492
sector_Communications,0.0006176650002806247
sector_Electrical Equipment,0.0006132325218345931
sector_Packaging,0.0004676710061957828
bullish_agent_score_count,0.00040955209232133963
sector_Energy,0.0004090633478676581
sector_Telecommunication,0.00038579950194974185
sector_Auto Components,0.0003815040453049206
sentiment_score,0.0
sector_Banking,0.0
sector_Construction,0.0
sector_Health Care,0.0
sector_Consumer Staples,0.0
sector_Real Estate,0.0
sector_Leisure Products,0.0
sector_Industrials,0.0
sector_Industrial Conglomerates,0.0
sector_Healthcare,0.0
sector_Tobacco,0.0
