,importance
insider_net_ratio_90d,0.10270550184430811
eps_surprise_avg_4q,0.09038687710116192
insider_net_ratio_90d__pct_universe,0.08952396444333079
eps_surprise_avg_4q__pct_universe,0.08561411097932936
insider_net_ratio_90d__pct_sector,0.08094140740198771
analyst_consensus_change__pct_sector,0.07155562411793376
eps_surprise_avg_4q__pct_sector,0.07075090568084673
analyst_dispersion__pct_sector,0.07002778938218054
analyst_consensus__pct_sector,0.06787265106726384
mspr_trend__pct_sector,0.06641064511088206
mspr_trend__pct_universe,0.06311932772219876
mspr_trend,0.06206362091735714
analyst_consensus__pct_universe,0.030003742835425434
analyst_consensus_change__pct_universe,0.024513128540615936
analyst_dispersion__pct_universe,0.024510702855178
analyst_consensus,0.0
analyst_consensus_change,0.0
analyst_dispersion,0.0
