,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Properties,Current Assets,Hedging Assets Current,Assets Held For Sale Current,Prepaid Assets,Inventory,Other Inventories,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-09-30,240633099.0,4885978544.0,5126611643.0,,45176000000.0,23081000000.0,35841000000.0,5474000000.0,23081000000.0,,35841000000.0,35841000000.0,35866000000.0,25000000.0,35841000000.0,-4755000000.0,38670000000.0,1289000000.0,637000000.0,637000000.0,65986000000.0,57000000000.0,848000000.0,854000000.0,603000000.0,,2200000000.0,7357000000.0,42473000000.0,,,2665000000.0,8986000000.0,2703000000.0,,,314000000.0,4150000000.0,,181000000.0,3969000000.0,101852000000.0,87392000000.0,850000000.0,2478000000.0,,413000000.0,795000000.0,,,901000000.0,,,12760000000.0,3393000000.0,9367000000.0,69195000000.0,,,,,,14460000000.0,145000000.0,3731000000.0,,639000000.0,,,,19000000.0,2661000000.0,7265000000.0,6140000000.0,1125000000.0,,
2025-03-31,235493935.0,4897123773.0,5132617708.0,45532000000.0,47539000000.0,24707000000.0,84513000000.0,3711000000.0,24707000000.0,829000000.0,37803000000.0,79971000000.0,37826000000.0,23000000.0,37803000000.0,,40106000000.0,1311000000.0,638000000.0,638000000.0,68916000000.0,58295000000.0,,821000000.0,573000000.0,467000000.0,2827000000.0,8038000000.0,42877000000.0,709000000.0,42168000000.0,2692000000.0,10621000000.0,4662000000.0,120000000.0,4542000000.0,357000000.0,4659000000.0,1344000000.0,350000000.0,2965000000.0,106742000000.0,92410000000.0,,2489000000.0,660000000.0,369000000.0,798000000.0,391000000.0,407000000.0,608000000.0,434000000.0,174000000.0,13096000000.0,3564000000.0,9532000000.0,74091000000.0,-18366000000.0,92457000000.0,9073000000.0,79140000000.0,4244000000.0,14332000000.0,113000000.0,2628000000.0,340000000.0,557000000.0,106000000.0,451000000.0,702000000.0,11000000.0,3050000000.0,6931000000.0,5753000000.0,1178000000.0,553000000.0,625000000.0
