,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Fixed Assets Revaluation Reserve,Foreign Currency Translation Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Notes Payable,Current Provisions,Payables And Accrued Expenses,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Trading Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Machinery Furniture Equipment,Prepaid Assets,Receivables,Taxes Receivable,Accounts Receivable,Gross Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2024-09-30,8642000.0,3074038000.0,3074038000.0,99283000000.0,214292000000.0,56231000000.0,273675000000.0,56231000000.0,61455000000.0,273675000000.0,62213000000.0,758000000.0,61455000000.0,-362000000.0,-315000000.0,19000000.0,-66000000.0,25236000000.0,36581000000.0,36581000000.0,1018035000000.0,32576000000.0,958000000.0,958000000.0,214292000000.0,1042000000.0,1042000000.0,296682000000.0,296682000000.0,140388000000.0,156294000000.0,846000000.0,12328000000.0,9695000000.0,1074000000.0,1042000000.0,7579000000.0,1080248000000.0,121430000000.0,120892000000.0,42274000000.0,193000000.0,49659000000.0,538000000.0,538000000.0,5224000000.0,5224000000.0,2070000000.0,2865000000.0,2865000000.0,2865000000.0,359000000.0,2636000000.0,25000000.0,362000000.0,362000000.0,42768000000.0,112937000000.0,1350000000.0,1149000000.0,200752000000.0
2025-03-31,7624000.0,3054893421.0,3062517421.0,115252000000.0,211550000000.0,56798000000.0,273719000000.0,56798000000.0,62169000000.0,273719000000.0,62919000000.0,750000000.0,62169000000.0,,,,,26106000000.0,36119000000.0,36119000000.0,1032720000000.0,23473000000.0,,,211550000000.0,,,,,,,,,496000000.0,,496000000.0,,1095639000000.0,223041000000.0,223041000000.0,254000000.0,,153947000000.0,,,5371000000.0,,,2725000000.0,,,,,39000000.0,,,,96298000000.0,,1433000000.0,96298000000.0
