,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Total Tax Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue
2024-06-30,25219845601.0,25219845601.0,529524000000.0,1066119000000.0,1599138000000.0,1093587000000.0,1082745000000.0,27468000000.0,1626606000000.0,1117025000000.0,6812000000.0,1110213000000.0,122978000000.0,591545000000.0,52688000000.0,25220000000.0,27468000000.0,10457758000000.0,19065000000.0,529524000000.0,49714000000.0,34356000000.0,15358000000.0,11574783000000.0,3379298000000.0,3350302000000.0,977170000000.0,579230000000.0,28996000000.0,1121000000.0,16626000000.0,6672000000.0,9954000000.0,134597000000.0,-57182000000.0,191779000000.0,4676000000.0,40349000000.0,113769000000.0,32985000000.0,1104126000000.0,11349000000.0,,1411580000000.0,101784000000.0,-48679000000.0,12299000000.0,-7604000000.0,735906000000.0,729079000000.0,1081000000.0,5746000000.0,-47501000000.0,-10140000000.0,-981000000.0,-36380000000.0,-36380000000.0,-48679000000.0,12299000000.0,-56141000000.0,-49488000000.0,508791000000.0,-558279000000.0,,,,-6470000000.0,1134000000.0,-7604000000.0,109388000000.0,109388000000.0,-87285000000.0,-49773000000.0,-12333000000.0,196673000000.0,-80543000000.0,0.0,0.169077,,,36666000000.0,52449000000.0,41413000000.0,93862000000.0,36666000000.0,36666000000.0,,,,,36666000000.0,36666000000.0,-271000000.0,36937000000.0,36937000000.0,7516000000.0,44453000000.0,-26000000.0,,,10309000000.0,29380000000.0,2444000000.0,-3938000000.0,-3938000000.0,84978000000.0,84978000000.0,0.0,0.169077,,,36666000000.0,52449000000.0,41413000000.0,93862000000.0,36666000000.0,36666000000.0,,,,,36666000000.0,36666000000.0,-271000000.0,36937000000.0,36937000000.0,7516000000.0,44453000000.0,-26000000.0,,,10309000000.0,29380000000.0,2444000000.0,-3938000000.0,-3938000000.0,84978000000.0,84978000000.0
2024-09-30,25219845601.0,25219845601.0,473850000000.0,1108628000000.0,1586139000000.0,1136096000000.0,1125059000000.0,27468000000.0,1613607000000.0,1159635000000.0,7108000000.0,1152527000000.0,122978000000.0,630050000000.0,52688000000.0,25220000000.0,27468000000.0,10495128000000.0,18144000000.0,473850000000.0,50924000000.0,36142000000.0,14782000000.0,11654763000000.0,3398175000000.0,3368057000000.0,1000644000000.0,502087000000.0,30118000000.0,1080000000.0,16431000000.0,6477000000.0,9954000000.0,135222000000.0,,135222000000.0,3726000000.0,131496000000.0,,,1142749000000.0,6786000000.0,,1453015000000.0,171573000000.0,-52648000000.0,14092000000.0,-7480000000.0,770465000000.0,735906000000.0,-1774000000.0,36333000000.0,-76237000000.0,15968000000.0,-53649000000.0,-38556000000.0,-38556000000.0,-52648000000.0,14092000000.0,-66483000000.0,-67665000000.0,81831000000.0,-149496000000.0,-48000000.0,-74000000.0,26000000.0,1230000000.0,8710000000.0,-7480000000.0,179053000000.0,179053000000.0,-116781000000.0,-96657000000.0,-11596000000.0,295834000000.0,10769000000.0,-389777.867801,0.129926,-3000000.0,-3000000.0,38441000000.0,52849000000.0,40708000000.0,93557000000.0,38443610222.1322,38441000000.0,5058026316.0,5058026316.0,7.6,7.6,38441000000.0,38441000000.0,-219000000.0,38660000000.0,38660000000.0,5773000000.0,44433000000.0,-83000000.0,-3000000.0,3000000.0,5976000000.0,25827000000.0,2518000000.0,23309000000.0,23309000000.0,79764000000.0,79764000000.0,-389777.867801,0.129926,-3000000.0,-3000000.0,38441000000.0,52849000000.0,40708000000.0,93557000000.0,38443610222.1322,38441000000.0,5058026316.0,5058026316.0,7.6,7.6,38441000000.0,38441000000.0,-219000000.0,38660000000.0,38660000000.0,5773000000.0,44433000000.0,-83000000.0,-3000000.0,3000000.0,5976000000.0,25827000000.0,2518000000.0,23309000000.0,23309000000.0,79764000000.0,79764000000.0
2024-12-31,25219845601.0,25219845601.0,471075000000.0,1182186000000.0,1656843000000.0,1209654000000.0,1198546000000.0,27468000000.0,1684311000000.0,1233475000000.0,7461000000.0,1226014000000.0,152978000000.0,634078000000.0,52688000000.0,25220000000.0,27468000000.0,10918561000000.0,31583000000.0,471075000000.0,46225000000.0,34512000000.0,11713000000.0,12152036000000.0,3736588000000.0,3705573000000.0,1114442000000.0,617018000000.0,31015000000.0,1117000000.0,16360000000.0,6406000000.0,9954000000.0,140496000000.0,-59291000000.0,199787000000.0,3825000000.0,161638000000.0,,34324000000.0,1212666000000.0,9415000000.0,16622000000.0,1483995000000.0,150915000000.0,-58700000000.0,72595000000.0,-8875000000.0,756527000000.0,770465000000.0,1693000000.0,-15631000000.0,-4067000000.0,-13450000000.0,-4512000000.0,13895000000.0,13895000000.0,-58700000000.0,72595000000.0,-171354000000.0,-158345000000.0,1028164000000.0,-1186509000000.0,76000000.0,412000000.0,-336000000.0,-13085000000.0,-4210000000.0,-8875000000.0,159790000000.0,159790000000.0,-363994000000.0,-5004000000.0,-20570000000.0,523784000000.0,17145000000.0,-169057741.486832,0.203194,-832000000.0,-832000000.0,35207000000.0,53979000000.0,38738000000.0,92717000000.0,35869942258.51317,35207000000.0,,,,,35207000000.0,35207000000.0,-313000000.0,35520000000.0,35520000000.0,9058000000.0,44578000000.0,-261000000.0,-832000000.0,832000000.0,5572000000.0,35478000000.0,2609000000.0,-40249000000.0,-40249000000.0,82147000000.0,82147000000.0,-169057741.486832,0.203194,-832000000.0,-832000000.0,35207000000.0,53979000000.0,38738000000.0,92717000000.0,35869942258.51317,35207000000.0,,,,,35207000000.0,35207000000.0,-313000000.0,35520000000.0,35520000000.0,9058000000.0,44578000000.0,-261000000.0,-832000000.0,832000000.0,5572000000.0,35478000000.0,2609000000.0,-40249000000.0,-40249000000.0,82147000000.0,82147000000.0
2025-03-31,25219845601.0,25219845601.0,438319000000.0,1202486000000.0,1644699000000.0,1229954000000.0,1218739000000.0,27468000000.0,1672167000000.0,1253864000000.0,7657000000.0,1246207000000.0,152978000000.0,671193000000.0,52688000000.0,25220000000.0,27468000000.0,11275928000000.0,23500000000.0,438319000000.0,52291000000.0,35928000000.0,16363000000.0,12529792000000.0,3905674000000.0,3873703000000.0,1229882000000.0,628030000000.0,31971000000.0,1058000000.0,16253000000.0,6299000000.0,9954000000.0,138831000000.0,,138831000000.0,4171000000.0,134660000000.0,,,1155280000000.0,8160000000.0,,1417912000000.0,91930000000.0,-100401000000.0,44520000000.0,-3096000000.0,602891000000.0,756527000000.0,-74000000.0,-153562000000.0,-48655000000.0,8090000000.0,-864000000.0,-55881000000.0,-55881000000.0,-100401000000.0,44520000000.0,-199933000000.0,-197932000000.0,317083000000.0,-515015000000.0,-571000000.0,,-571000000.0,-1430000000.0,1666000000.0,-3096000000.0,95026000000.0,95026000000.0,-458322000000.0,-138361000000.0,-15823000000.0,553348000000.0,85476000000.0,0.0,0.152095,,,37286000000.0,52996000000.0,36074000000.0,89070000000.0,37286000000.0,37286000000.0,5038648649.0,5038648649.0,7.4,7.4,37286000000.0,37286000000.0,-227000000.0,37513000000.0,37513000000.0,6729000000.0,44242000000.0,-20000000.0,,,6446000000.0,26652000000.0,2664000000.0,23988000000.0,23988000000.0,83751000000.0,83751000000.0,0.0,0.152095,,,37286000000.0,52996000000.0,36074000000.0,89070000000.0,37286000000.0,37286000000.0,5038648649.0,5038648649.0,7.4,7.4,37286000000.0,37286000000.0,-227000000.0,37513000000.0,37513000000.0,6729000000.0,44242000000.0,-20000000.0,,,6446000000.0,26652000000.0,2664000000.0,23988000000.0,23988000000.0,83751000000.0,83751000000.0
2025-06-30,25219845601.0,25219845601.0,433192000000.0,1245658000000.0,1682850000000.0,1273126000000.0,1261765000000.0,27468000000.0,1710318000000.0,1296860000000.0,7627000000.0,1289233000000.0,199978000000.0,656267000000.0,52688000000.0,25220000000.0,27468000000.0,11360291000000.0,22824000000.0,433192000000.0,54198000000.0,38805000000.0,15393000000.0,12657151000000.0,4005572000000.0,3972524000000.0,1283951000000.0,660819000000.0,33048000000.0,1012000000.0,16107000000.0,6153000000.0,9954000000.0,136024000000.0,-59570000000.0,195594000000.0,4739000000.0,41231000000.0,115366000000.0,34258000000.0,1236814000000.0,15601000000.0,14421000000.0,1507174000000.0,35330000000.0,-33675000000.0,30471000000.0,-4105000000.0,694921000000.0,602891000000.0,-237000000.0,92267000000.0,27290000000.0,32315000000.0,-1821000000.0,-3204000000.0,-3204000000.0,-33675000000.0,30471000000.0,25542000000.0,24537000000.0,922221000000.0,-897684000000.0,-116000000.0,,-145000000.0,1121000000.0,5226000000.0,-4105000000.0,39435000000.0,39435000000.0,-138134000000.0,-47387000000.0,-15368000000.0,177569000000.0,44083000000.0,0.0,0.151621,,,37644000000.0,53089000000.0,34855000000.0,87944000000.0,37644000000.0,37644000000.0,,,,,37644000000.0,37644000000.0,-248000000.0,37892000000.0,37892000000.0,6772000000.0,44664000000.0,-26000000.0,,,8957000000.0,29731000000.0,2548000000.0,-8301000000.0,-8301000000.0,84546000000.0,84546000000.0,0.0,0.151621,,,37644000000.0,53089000000.0,34855000000.0,87944000000.0,37644000000.0,37644000000.0,,,,,37644000000.0,37644000000.0,-248000000.0,37892000000.0,37892000000.0,6772000000.0,44664000000.0,-26000000.0,,,8957000000.0,29731000000.0,2548000000.0,-8301000000.0,-8301000000.0,84546000000.0,84546000000.0
