,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Dividends Payable,Total Tax Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149030000000.0,,,,73044000000.0,198506000000.0,,,63797000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,349983033873.0,349983033873.0,3010061000000.0,2893685000000.0,5933783000000.0,2973685000000.0,2923722000000.0,80000000000.0,6013783000000.0,3010289000000.0,6567000000.0,3003722000000.0,380000000000.0,1153642000000.0,429983000000.0,349983000000.0,80000000000.0,40543004000000.0,40694000000.0,3010061000000.0,92568000000.0,68960000000.0,2128000000.0,21480000000.0,43553293000000.0,13290588000000.0,13280276000000.0,3490886000000.0,493053000000.0,10312000000.0,30037000000.0,28656000000.0,1381000000.0,151821000000.0,,151821000000.0,12408000000.0,139413000000.0,,,4524047000000.0,145289000000.0,,5933369000000.0,1572668000000.0,-841601000000.0,906823000000.0,-10932000000.0,2780032000000.0,1578325000000.0,-2247000000.0,1203954000000.0,-92644000000.0,-121244000000.0,-36622000000.0,65222000000.0,65222000000.0,-841601000000.0,906823000000.0,-287002000000.0,-280206000000.0,1382064000000.0,-1662270000000.0,,,,-4721000000.0,6211000000.0,-10932000000.0,1583600000000.0,1583600000000.0,-435959000000.0,28749000000.0,-33469000000.0,2019559000000.0,19004000000.0,-4079511.177347,0.060888,-67000000.0,-67000000.0,78480000000.0,146948000000.0,171516000000.0,318464000000.0,78542920488.82265,78480000000.0,16522105263.0,16522105263.0,4.75,4.75,78480000000.0,78480000000.0,-288000000.0,78768000000.0,78768000000.0,5107000000.0,83875000000.0,-71000000.0,-67000000.0,67000000.0,8892000000.0,59316000000.0,3605000000.0,55711000000.0,55711000000.0,173380000000.0,173380000000.0,-4079511.177347,0.060888,-67000000.0,-67000000.0,78480000000.0,146948000000.0,171516000000.0,318464000000.0,78542920488.82265,78480000000.0,16522105263.0,16522105263.0,4.75,4.75,78480000000.0,78480000000.0,-288000000.0,78768000000.0,78768000000.0,5107000000.0,83875000000.0,-71000000.0,-67000000.0,67000000.0,8892000000.0,59316000000.0,3605000000.0,55711000000.0,55711000000.0,173380000000.0,173380000000.0
2024-12-31,349983033873.0,349983033873.0,3042531000000.0,2980322000000.0,6053339000000.0,3060322000000.0,3010808000000.0,80000000000.0,6133339000000.0,3097273000000.0,6465000000.0,3090808000000.0,420000000000.0,1150758000000.0,429983000000.0,349983000000.0,80000000000.0,40140862000000.0,58146000000.0,3042531000000.0,143716000000.0,87803000000.0,40738000000.0,15175000000.0,43238135000000.0,13925355000000.0,13915023000000.0,3430164000000.0,513306000000.0,10332000000.0,30486000000.0,29105000000.0,1381000000.0,154484000000.0,-152661000000.0,307145000000.0,13681000000.0,19449000000.0,73209000000.0,200806000000.0,3351428000000.0,115253000000.0,67208000000.0,4722999000000.0,-528417000000.0,-633191000000.0,682825000000.0,-6479000000.0,1846612000000.0,2780032000000.0,1446000000.0,-934866000000.0,59312000000.0,38705000000.0,-29027000000.0,49634000000.0,49634000000.0,-633191000000.0,682825000000.0,-472240000000.0,-465329000000.0,1089474000000.0,-1554803000000.0,0.0,,0.0,-6911000000.0,-432000000.0,-6479000000.0,-521938000000.0,-521938000000.0,-767966000000.0,-60214000000.0,-41708000000.0,246028000000.0,-1458000000.0,-22406807.526813,0.134173,-167000000.0,-167000000.0,67711000000.0,142896000000.0,170272000000.0,313168000000.0,67855593192.47319,67711000000.0,,,,,67711000000.0,67711000000.0,302000000.0,67409000000.0,67409000000.0,10446000000.0,77855000000.0,-287000000.0,-167000000.0,167000000.0,9742000000.0,92240000000.0,4174000000.0,-95272000000.0,-95272000000.0,170309000000.0,170309000000.0,-22406807.526813,0.134173,-167000000.0,-167000000.0,67711000000.0,142896000000.0,170272000000.0,313168000000.0,67855593192.47319,67711000000.0,,,,,67711000000.0,67711000000.0,302000000.0,67409000000.0,67409000000.0,10446000000.0,77855000000.0,-287000000.0,-167000000.0,167000000.0,9742000000.0,92240000000.0,4174000000.0,-95272000000.0,-95272000000.0,170309000000.0,170309000000.0
2025-03-31,349983033873.0,349983033873.0,3544974000000.0,3027077000000.0,6602235000000.0,3107077000000.0,3057261000000.0,80000000000.0,6682235000000.0,3143005000000.0,5744000000.0,3137261000000.0,420000000000.0,1218134000000.0,429983000000.0,349983000000.0,80000000000.0,41675952000000.0,70721000000.0,3544974000000.0,83277000000.0,71455000000.0,,11822000000.0,44818957000000.0,14137661000000.0,14127303000000.0,3324635000000.0,550638000000.0,10358000000.0,30184000000.0,28803000000.0,1381000000.0,152396000000.0,,152396000000.0,12677000000.0,139719000000.0,,,4021720000000.0,249922000000.0,,4876028000000.0,-774031000000.0,-724108000000.0,1172345000000.0,-5201000000.0,1309593000000.0,1846612000000.0,3206000000.0,-540225000000.0,374422000000.0,-1244000000.0,-72571000000.0,448237000000.0,448237000000.0,-724108000000.0,1172345000000.0,-145817000000.0,-142473000000.0,990020000000.0,-1132493000000.0,45000000.0,45000000.0,,-3389000000.0,1812000000.0,-5201000000.0,-768830000000.0,-768830000000.0,-2407213000000.0,-117055000000.0,-48414000000.0,1638383000000.0,30999000000.0,-925402.161174,0.071185,-13000000.0,-13000000.0,71931000000.0,140577000000.0,156901000000.0,297478000000.0,71943074597.83882,71931000000.0,15143368421.0,15143368421.0,4.75,4.75,71931000000.0,71931000000.0,-185000000.0,72116000000.0,72116000000.0,5527000000.0,77643000000.0,-355000000.0,-13000000.0,13000000.0,11012000000.0,51603000000.0,3853000000.0,47750000000.0,47750000000.0,186602000000.0,186602000000.0,-925402.161174,0.071185,-13000000.0,-13000000.0,71931000000.0,140577000000.0,156901000000.0,297478000000.0,71943074597.83882,71931000000.0,15143368421.0,15143368421.0,4.75,4.75,71931000000.0,71931000000.0,-185000000.0,72116000000.0,72116000000.0,5527000000.0,77643000000.0,-355000000.0,-13000000.0,13000000.0,11012000000.0,51603000000.0,3853000000.0,47750000000.0,47750000000.0,186602000000.0,186602000000.0
2025-06-30,349983033873.0,349983033873.0,3472262000000.0,3033156000000.0,6535362000000.0,3113156000000.0,3063100000000.0,80000000000.0,6615362000000.0,3149241000000.0,6141000000.0,3143100000000.0,385000000000.0,1199509000000.0,429983000000.0,349983000000.0,80000000000.0,43706637000000.0,52939000000.0,3472262000000.0,127497000000.0,72031000000.0,43923000000.0,11543000000.0,46855878000000.0,14498660000000.0,14483063000000.0,3570257000000.0,521158000000.0,15597000000.0,29944000000.0,28563000000.0,1381000000.0,150313000000.0,-158311000000.0,308624000000.0,12666000000.0,21273000000.0,73289000000.0,201396000000.0,4414697000000.0,168487000000.0,,5968968000000.0,1771505000000.0,-1076743000000.0,1077230000000.0,-3129000000.0,2780308000000.0,1309593000000.0,4370000000.0,1466345000000.0,-70524000000.0,-36133000000.0,-34878000000.0,487000000.0,487000000.0,-1076743000000.0,1077230000000.0,-237765000000.0,-230075000000.0,1227134000000.0,-1457209000000.0,-4900000000.0,0.0,,-2790000000.0,339000000.0,-3129000000.0,1774634000000.0,1774634000000.0,-294836000000.0,-23665000000.0,-36016000000.0,2069470000000.0,45493000000.0,-181791.86219,0.181792,-1000000.0,-1000000.0,67579000000.0,141896000000.0,158631000000.0,300527000000.0,67579818208.13781,67579000000.0,,,,,67579000000.0,67579000000.0,-248000000.0,67827000000.0,67827000000.0,15070000000.0,82897000000.0,-41000000.0,-1000000.0,1000000.0,16692000000.0,59429000000.0,4305000000.0,-23808000000.0,-23808000000.0,182894000000.0,182894000000.0,-181791.86219,0.181792,-1000000.0,-1000000.0,67579000000.0,141896000000.0,158631000000.0,300527000000.0,67579818208.13781,67579000000.0,,,,,67579000000.0,67579000000.0,-248000000.0,67827000000.0,67827000000.0,15070000000.0,82897000000.0,-41000000.0,-1000000.0,1000000.0,16692000000.0,59429000000.0,4305000000.0,-23808000000.0,-23808000000.0,182894000000.0,182894000000.0
2025-09-30,349983033873.0,349983033873.0,3522970000000.0,3058245000000.0,6611472000000.0,3138245000000.0,3088502000000.0,80000000000.0,6691472000000.0,3175211000000.0,6709000000.0,3168502000000.0,350000000000.0,1275236000000.0,429983000000.0,349983000000.0,80000000000.0,44960218000000.0,47746000000.0,3522970000000.0,86815000000.0,74106000000.0,1648000000.0,11061000000.0,48135429000000.0,15374058000000.0,15357147000000.0,3735554000000.0,520544000000.0,16911000000.0,30257000000.0,28876000000.0,1381000000.0,150162000000.0,,150162000000.0,13001000000.0,137161000000.0,,,4455893000000.0,128191000000.0,,6116609000000.0,1017074000000.0,-1139420000000.0,1200532000000.0,-11250000000.0,2933380000000.0,2780308000000.0,-1048000000.0,154120000000.0,-49784000000.0,-36628000000.0,-74268000000.0,61112000000.0,61112000000.0,-1139420000000.0,1200532000000.0,-824420000000.0,-818181000000.0,1110651000000.0,-1928832000000.0,-1163000000.0,20000000.0,-1183000000.0,-5076000000.0,6174000000.0,-11250000000.0,1028324000000.0,1028324000000.0,-475873000000.0,21151000000.0,-35133000000.0,1504197000000.0,58561000000.0,-215386.695511,0.071796,-3000000.0,-3000000.0,81349000000.0,144835000000.0,158211000000.0,303046000000.0,81351784613.30449,81349000000.0,14790727273.0,14790727273.0,5.5,5.5,81349000000.0,81349000000.0,-1031000000.0,82380000000.0,82380000000.0,6372000000.0,88752000000.0,-384000000.0,-3000000.0,3000000.0,14461000000.0,62352000000.0,4715000000.0,57637000000.0,57637000000.0,180773000000.0,180773000000.0,-215386.695511,0.071796,-3000000.0,-3000000.0,81349000000.0,144835000000.0,158211000000.0,303046000000.0,81351784613.30449,81349000000.0,14790727273.0,14790727273.0,5.5,5.5,81349000000.0,81349000000.0,-1031000000.0,82380000000.0,82380000000.0,6372000000.0,88752000000.0,-384000000.0,-3000000.0,3000000.0,14461000000.0,62352000000.0,4715000000.0,57637000000.0,57637000000.0,180773000000.0,180773000000.0
