,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Note Receivables,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Inventories,Finished Goods,Raw Materials,Receivables,Other Receivables,Taxes Receivable,Accrued Interest Receivable,Loans Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-06-30,1898749771.0,1898749771.0,3843000000.0,7367000000.0,31373000000.0,40892000000.0,1171000000.0,31373000000.0,1545000000.0,35070000000.0,39900000000.0,35829000000.0,759000000.0,35070000000.0,-65000000.0,4726000000.0,4726000000.0,,1408000000.0,29001000000.0,29001000000.0,19813000000.0,14932000000.0,969000000.0,189000000.0,39000000.0,1312000000.0,1312000000.0,6158000000.0,1328000000.0,4830000000.0,6265000000.0,4881000000.0,436000000.0,1209000000.0,217000000.0,992000000.0,992000000.0,302000000.0,921000000.0,2013000000.0,,,2013000000.0,416000000.0,1597000000.0,55642000000.0,49590000000.0,754000000.0,1969000000.0,1969000000.0,,790000000.0,354000000.0,106000000.0,248000000.0,3697000000.0,,3697000000.0,42026000000.0,-31543000000.0,73569000000.0,12072000000.0,2930000000.0,55533000000.0,6052000000.0,57000000.0,1378000000.0,719000000.0,,,,1765000000.0,,306000000.0,,,1459000000.0,2133000000.0,154000000.0,1979000000.0,,
2024-12-31,1898749771.0,1898749771.0,6078000000.0,11620000000.0,30573000000.0,45400000000.0,1706000000.0,30573000000.0,1623000000.0,35399000000.0,44406000000.0,36153000000.0,754000000.0,35399000000.0,223000000.0,3827000000.0,3032000000.0,795000000.0,2348000000.0,29001000000.0,29001000000.0,25111000000.0,19254000000.0,1063000000.0,252000000.0,28000000.0,1497000000.0,1497000000.0,10441000000.0,1434000000.0,9007000000.0,5973000000.0,5857000000.0,863000000.0,1179000000.0,189000000.0,994000000.0,994000000.0,402000000.0,920000000.0,2493000000.0,110000000.0,110000000.0,2383000000.0,308000000.0,2075000000.0,61264000000.0,53701000000.0,591000000.0,2393000000.0,2393000000.0,776000000.0,100000000.0,367000000.0,118000000.0,249000000.0,4826000000.0,960000000.0,3866000000.0,44648000000.0,-35617000000.0,80265000000.0,16300000000.0,3890000000.0,533000000.0,7563000000.0,93000000.0,0.0,684000000.0,92000000.0,135000000.0,457000000.0,2678000000.0,1279000000.0,288000000.0,6000000.0,133000000.0,972000000.0,4108000000.0,185000000.0,3923000000.0,2320000000.0,1603000000.0
2025-06-30,1898749771.0,1898749771.0,7092000000.0,13555000000.0,30748000000.0,47611000000.0,4088000000.0,30748000000.0,1583000000.0,35639000000.0,47611000000.0,38507000000.0,2868000000.0,35639000000.0,238000000.0,5734000000.0,4939000000.0,795000000.0,666000000.0,29001000000.0,29001000000.0,26370000000.0,21828000000.0,838000000.0,225000000.0,17000000.0,1343000000.0,1343000000.0,13378000000.0,1406000000.0,11972000000.0,6027000000.0,4542000000.0,1233000000.0,177000000.0,177000000.0,,,316000000.0,856000000.0,1960000000.0,,,1960000000.0,356000000.0,1604000000.0,64877000000.0,56247000000.0,475000000.0,2616000000.0,2616000000.0,,898000000.0,320000000.0,88000000.0,232000000.0,4891000000.0,939000000.0,3952000000.0,47047000000.0,-35724000000.0,82771000000.0,20400000000.0,3046000000.0,605000000.0,8630000000.0,92000000.0,447000000.0,711000000.0,,,,2226000000.0,,413000000.0,,,1813000000.0,5154000000.0,274000000.0,4880000000.0,,
