,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Total Tax Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Change In Working Capital,Change In Payable,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Deferred Tax,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Total Revenue,Operating Revenue
2024-06-30,356406257089.0,356406257089.0,2146382000000.0,3708912000000.0,5855294000000.0,3843526000000.0,3708912000000.0,134614000000.0,5989908000000.0,3864501000000.0,20975000000.0,3843526000000.0,219717000000.0,1968711000000.0,148425000000.0,491021000000.0,356407000000.0,134614000000.0,43252035000000.0,123343000000.0,2146382000000.0,86285000000.0,43948000000.0,42337000000.0,47116536000000.0,13204900000000.0,13139332000000.0,2641676000000.0,916147000000.0,65568000000.0,296115000000.0,-219183000000.0,515298000000.0,22229000000.0,211593000000.0,84018000000.0,197458000000.0,5068918000000.0,179389000000.0,64790000000.0,5978726000000.0,-1343083000000.0,-377564000000.0,506488000000.0,-2814000000.0,2182148000000.0,3994583000000.0,-879000000.0,-1811646000000.0,116820000000.0,-1184000000.0,-10920000000.0,128924000000.0,128924000000.0,-377564000000.0,506488000000.0,-588197000000.0,-1686000000.0,-588126000000.0,1042806000000.0,-1630932000000.0,,,551000000.0,3365000000.0,-2814000000.0,-1340269000000.0,-1339816000000.0,-714282000000.0,-625534000000.0,-85636000000.0,41994000000.0,95000000.0,8691000000.0,8691000000.0,-11241000000.0,-37221000000.0,-369000000.0,83234000000.0,-1340269000000.0,-610772000000.0,97677000000.0,-30912000000.0,-729497000000.0,-4731000000.0,7258320313.737082,0.121346,59815000000.0,59815000000.0,82814000000.0,8691000000.0,152549000000.0,205425000000.0,357974000000.0,30257320313.737083,82814000000.0,,,,,82814000000.0,82814000000.0,-420000000.0,83234000000.0,83234000000.0,11495000000.0,94729000000.0,392000000.0,59815000000.0,-59815000000.0,13338000000.0,64325000000.0,10557000000.0,-7755000000.0,-7755000000.0,199144000000.0,199144000000.0,7258320313.737082,0.121346,59815000000.0,59815000000.0,82814000000.0,8691000000.0,152549000000.0,205425000000.0,357974000000.0,30257320313.737083,82814000000.0,,,,,82814000000.0,82814000000.0,-420000000.0,83234000000.0,83234000000.0,11495000000.0,94729000000.0,392000000.0,59815000000.0,-59815000000.0,13338000000.0,64325000000.0,10557000000.0,-7755000000.0,-7755000000.0,199144000000.0,199144000000.0
2024-09-30,356406257089.0,356406257089.0,2448190000000.0,3766469000000.0,6214659000000.0,3901083000000.0,3766469000000.0,134614000000.0,6349273000000.0,3922278000000.0,21195000000.0,3901083000000.0,189730000000.0,2058961000000.0,,491021000000.0,356407000000.0,134614000000.0,44435477000000.0,90926000000.0,2448190000000.0,98935000000.0,48367000000.0,50568000000.0,48357755000000.0,13469070000000.0,13398745000000.0,3091196000000.0,805896000000.0,70325000000.0,290987000000.0,,290987000000.0,21990000000.0,268997000000.0,,,5321392000000.0,206001000000.0,,6476395000000.0,1032352000000.0,-262042000000.0,580078000000.0,-17913000000.0,3034512000000.0,2182148000000.0,-13904000000.0,866268000000.0,157166000000.0,-31659000000.0,-129211000000.0,318036000000.0,318036000000.0,-262042000000.0,580078000000.0,-341163000000.0,-800000000.0,-331025000000.0,1332228000000.0,-1663253000000.0,0.0,0.0,-9338000000.0,8575000000.0,-17913000000.0,1050265000000.0,1023730000000.0,806879000000.0,216851000000.0,-79244000000.0,27213000000.0,-2170000000.0,7957000000.0,7957000000.0,-11907000000.0,-14271000000.0,-222000000.0,99179000000.0,1050265000000.0,-371594000000.0,89436000000.0,-32179000000.0,1421859000000.0,101125000000.0,-8335008.72161,0.108247,-77000000.0,-77000000.0,98558000000.0,7957000000.0,162782000000.0,190644000000.0,353426000000.0,98626664991.2784,98558000000.0,19711600000.0,19711600000.0,5.0,5.0,98558000000.0,98558000000.0,-621000000.0,99179000000.0,99179000000.0,12039000000.0,111218000000.0,143000000.0,-77000000.0,77000000.0,11677000000.0,67635000000.0,10162000000.0,57473000000.0,57473000000.0,204713000000.0,204713000000.0,-8335008.72161,0.108247,-77000000.0,-77000000.0,98558000000.0,7957000000.0,162782000000.0,190644000000.0,353426000000.0,98626664991.2784,98558000000.0,19711600000.0,19711600000.0,5.0,5.0,98558000000.0,98558000000.0,-621000000.0,99179000000.0,99179000000.0,12039000000.0,111218000000.0,143000000.0,-77000000.0,77000000.0,11677000000.0,67635000000.0,10162000000.0,57473000000.0,57473000000.0,204713000000.0,204713000000.0
2024-12-31,356406257089.0,356406257089.0,2599150000000.0,3835227000000.0,6434377000000.0,3969841000000.0,3835227000000.0,134614000000.0,6568991000000.0,3987266000000.0,17425000000.0,3969841000000.0,189730000000.0,2014086000000.0,148425000000.0,491021000000.0,356407000000.0,134614000000.0,44834480000000.0,197795000000.0,2599150000000.0,100407000000.0,52553000000.0,47854000000.0,48821746000000.0,14449294000000.0,14375937000000.0,3291152000000.0,1010439000000.0,73357000000.0,300511000000.0,-230924000000.0,531435000000.0,21117000000.0,215222000000.0,87620000000.0,207476000000.0,4751029000000.0,208242000000.0,72069000000.0,5961246000000.0,-507874000000.0,-494996000000.0,590335000000.0,-9820000000.0,2290404000000.0,3034512000000.0,20420000000.0,-764528000000.0,75713000000.0,-1235000000.0,-18391000000.0,95339000000.0,95339000000.0,-494996000000.0,590335000000.0,-342187000000.0,95694000000.0,-438435000000.0,1424627000000.0,-1863062000000.0,4887000000.0,4887000000.0,-4333000000.0,5487000000.0,-9820000000.0,-498054000000.0,-544648000000.0,-255701000000.0,-288947000000.0,-81672000000.0,-2619000000.0,2708000000.0,9663000000.0,9663000000.0,-8737000000.0,31081000000.0,-301000000.0,96471000000.0,-498054000000.0,-698939000000.0,-230845000000.0,-42619000000.0,200885000000.0,41037000000.0,-87740780.251267,0.149473,-587000000.0,-587000000.0,96838000000.0,9663000000.0,160673000000.0,192796000000.0,353469000000.0,97337259219.74873,96838000000.0,,,,,96838000000.0,96838000000.0,367000000.0,96471000000.0,96471000000.0,16954000000.0,113425000000.0,31000000.0,-587000000.0,587000000.0,9382000000.0,84606000000.0,11072000000.0,-40744000000.0,-40744000000.0,194534000000.0,194534000000.0,-87740780.251267,0.149473,-587000000.0,-587000000.0,96838000000.0,9663000000.0,160673000000.0,192796000000.0,353469000000.0,97337259219.74873,96838000000.0,,,,,96838000000.0,96838000000.0,367000000.0,96471000000.0,96471000000.0,16954000000.0,113425000000.0,31000000.0,-587000000.0,587000000.0,9382000000.0,84606000000.0,11072000000.0,-40744000000.0,-40744000000.0,194534000000.0,194534000000.0
2025-03-31,356406257089.0,356406257089.0,3041772000000.0,3901610000000.0,6943382000000.0,4036224000000.0,3901610000000.0,134614000000.0,7077996000000.0,4060826000000.0,24602000000.0,4036224000000.0,189730000000.0,2097105000000.0,,491021000000.0,356407000000.0,134614000000.0,47486219000000.0,160567000000.0,3041772000000.0,75734000000.0,40684000000.0,35050000000.0,51547045000000.0,15360806000000.0,15286868000000.0,3858472000000.0,1056718000000.0,73938000000.0,300458000000.0,,300458000000.0,21789000000.0,278669000000.0,,,4977864000000.0,254296000000.0,,6480486000000.0,939066000000.0,-503986000000.0,947173000000.0,-3413000000.0,2822325000000.0,2290404000000.0,894000000.0,531027000000.0,386082000000.0,5460000000.0,-62565000000.0,443187000000.0,443187000000.0,-503986000000.0,947173000000.0,-797534000000.0,-2721000000.0,-794248000000.0,1386755000000.0,-2181003000000.0,160000000.0,160000000.0,-725000000.0,2688000000.0,-3413000000.0,942479000000.0,896747000000.0,2307417000000.0,-1410670000000.0,-80112000000.0,57136000000.0,-2164000000.0,8317000000.0,8317000000.0,-10194000000.0,-11654000000.0,-306000000.0,84709000000.0,942479000000.0,-2096773000000.0,-244940000000.0,-41801000000.0,3039252000000.0,72277000000.0,-24982100.190744,0.149593,-167000000.0,-167000000.0,84156000000.0,8317000000.0,156784000000.0,181299000000.0,338083000000.0,84298017899.80925,84156000000.0,18294782609.0,18294782609.0,4.6,4.6,84156000000.0,84156000000.0,-553000000.0,84709000000.0,84709000000.0,14901000000.0,99610000000.0,113000000.0,-167000000.0,167000000.0,9408000000.0,56141000000.0,9387000000.0,46754000000.0,46754000000.0,211385000000.0,211385000000.0,-24982100.190744,0.149593,-167000000.0,-167000000.0,84156000000.0,8317000000.0,156784000000.0,181299000000.0,338083000000.0,84298017899.80925,84156000000.0,18294782609.0,18294782609.0,4.6,4.6,84156000000.0,84156000000.0,-553000000.0,84709000000.0,84709000000.0,14901000000.0,99610000000.0,113000000.0,-167000000.0,167000000.0,9408000000.0,56141000000.0,9387000000.0,46754000000.0,46754000000.0,211385000000.0,211385000000.0
2025-06-30,356406257089.0,356406257089.0,3188186000000.0,3980078000000.0,7168264000000.0,4114692000000.0,3980078000000.0,134614000000.0,7302878000000.0,4138876000000.0,24184000000.0,4114692000000.0,229730000000.0,2119307000000.0,,491021000000.0,356407000000.0,134614000000.0,48179055000000.0,115218000000.0,3188186000000.0,82880000000.0,44130000000.0,38750000000.0,52317931000000.0,15774373000000.0,15696657000000.0,4016365000000.0,956846000000.0,77716000000.0,300266000000.0,-236474000000.0,536740000000.0,19248000000.0,218685000000.0,87220000000.0,211587000000.0,4600852000000.0,297643000000.0,,6373516000000.0,-159677000000.0,-683923000000.0,814992000000.0,-3515000000.0,2431910000000.0,2822325000000.0,-4361000000.0,-386054000000.0,150246000000.0,38629000000.0,-19452000000.0,131069000000.0,131069000000.0,-683923000000.0,814992000000.0,-380138000000.0,-3420000000.0,-375987000000.0,1667424000000.0,-2043411000000.0,16000000.0,16000000.0,-747000000.0,2768000000.0,-3515000000.0,-156162000000.0,-185188000000.0,610320000000.0,-795508000000.0,-81332000000.0,47393000000.0,-2337000000.0,8651000000.0,8651000000.0,-16581000000.0,-10620000000.0,-242000000.0,84094000000.0,-156162000000.0,-982425000000.0,-56671000000.0,-32093000000.0,826263000000.0,62696000000.0,-54658242.620576,0.153967,-355000000.0,-355000000.0,83947000000.0,8651000000.0,156792000000.0,178728000000.0,335520000000.0,84247341757.37943,83947000000.0,,,,,83947000000.0,83947000000.0,-147000000.0,84094000000.0,84094000000.0,15304000000.0,99398000000.0,-11000000.0,-355000000.0,355000000.0,19464000000.0,67516000000.0,11348000000.0,-17936000000.0,-17936000000.0,212682000000.0,212682000000.0,-54658242.620576,0.153967,-355000000.0,-355000000.0,83947000000.0,8651000000.0,156792000000.0,178728000000.0,335520000000.0,84247341757.37943,83947000000.0,,,,,83947000000.0,83947000000.0,-147000000.0,84094000000.0,84094000000.0,15304000000.0,99398000000.0,-11000000.0,-355000000.0,355000000.0,19464000000.0,67516000000.0,11348000000.0,-17936000000.0,-17936000000.0,212682000000.0,212682000000.0
