fold,ticker,common_score,common_label,selection_reason,selected,rank,agent,agent_score,agent_label,has_explainer,explanation_text,favor_factors,contra_factors,top_drivers_json
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,fundamental,0.8787,Outperform,False,RJF — Score: 0.88 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,valuation,0.7845,Outperform,False,RJF — Score: 0.78 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,momentum,0.6509,Outperform,False,RJF — Score: 0.65 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,bear,0.7843,Outperform,False,RJF — Score: 0.78 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,sentiment,0.5,Outperform,False,RJF — Score: 0.50 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,sector_rotation,0.8347,Outperform,False,RJF — Score: 0.83 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.14) + Revenue growth (revenue_yoy_growth=0.16),"Margen neto positivo=0.141, Crecimiento de ingresos=0.163, Balance neto insider positivo=0.113",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.1414772727272727, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.16286752560290718, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.11275466502919676, ""direction"": ""positive""}]"
2024YQ1,RJF,0.5936,Outperform,selected_above_threshold,True,1,meta_learner,0.5936,Outperform,True,"RJF — Score: 0.59 (Outperform, confidence moderate) Factors IN FAVOUR: + Confidence Weighted Score Mean = 0.000 [SHAP contribution: +0.019] + Valuation Agent score (undervaluation) = 0.785 [SHAP contribution: +0.018] + Valuation Score Sector Rank = 0.000 [SHAP contribution: +0.018] + Momentum Agent score (technical trend) = 0.651 [SHAP contribution: +0.017] Factors AGAINST: - Sector X Momentum = 0.000 [SHAP contribution: -0.030] - Agent Score Range = 0.000 [SHAP contribution: -0.023]","Confidence Weighted Score Mean=0.000, Valuation Agent score (undervaluation)=0.785, Valuation Score Sector Rank=0.000, Momentum Agent score (technical trend)=0.651","Sector X Momentum=0.000, Agent Score Range=0.000","[{""feature"": ""sector_x_momentum"", ""description"": ""Sector X Momentum"", ""shap_value"": -0.030321010902759005, ""raw_value"": 0.0, ""direction"": ""negative""}, {""feature"": ""agent_score_range"", ""description"": ""Agent Score Range"", ""shap_value"": -0.023366213799541968, ""raw_value"": 0.0, ""direction"": ""negative""}, {""feature"": ""confidence_weighted_score_mean"", ""description"": ""Confidence Weighted Score Mean"", ""shap_value"": 0.019313775323496034, ""raw_value"": 0.0, ""direction"": ""positive""}, {""feature"": ""valuation_score"", ""description"": ""Valuation Agent score (undervaluation)"", ""shap_value"": 0.018147942780523795, ""raw_value"": 0.7845496472218417, ""direction"": ""positive""}, {""feature"": ""valuation_score_sector_rank"", ""description"": ""Valuation Score Sector Rank"", ""shap_value"": 0.017701971250426, ""raw_value"": 0.0, ""direction"": ""positive""}, {""feature"": ""momentum_score"", ""description"": ""Momentum Agent score (technical trend)"", ""shap_value"": 0.016567391923629927, ""raw_value"": 0.6509286517941062, ""direction"": ""positive""}]"
2024YQ1,AON,0.5906,Outperform,selected_above_threshold,True,2,fundamental,0.9103,Outperform,False,AON — Score: 0.91 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.21) + Revenue growth (revenue_yoy_growth=0.07),"Margen neto positivo=0.207, Crecimiento de ingresos=0.070, MSPR positivo=27.652, Balance neto insider positivo=0.356",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2065793420657934, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.06974007915285058, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 27.65191266666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.35615701183512133, ""direction"": ""positive""}]"
2024YQ1,AON,0.5906,Outperform,selected_above_threshold,True,2,valuation,0.8031,Outperform,False,AON — Score: 0.80 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.21) + Revenue growth (revenue_yoy_growth=0.07),"Margen neto positivo=0.207, Crecimiento de ingresos=0.070, MSPR positivo=27.652, Balance neto insider positivo=0.356",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2065793420657934, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.06974007915285058, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 27.65191266666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.35615701183512133, ""direction"": ""positive""}]"
2024YQ1,AON,0.5906,Outperform,selected_above_threshold,True,2,momentum,0.654,Outperform,False,AON — Score: 0.65 (Outperform) (Rule-based explanation — install shap for full analysis) + Positive net margin (net_margin=0.21) + Revenue growth (revenue_yoy_growth=0.07),"Margen neto positivo=0.207, Crecimiento de ingresos=0.070, MSPR positivo=27.652, Balance neto insider positivo=0.356",,"[{""feature"": ""net_margin"", ""description"": ""Margen neto positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2065793420657934, ""direction"": ""positive""}, {""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 0.06974007915285058, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 27.65191266666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.35615701183512133, ""direction"": ""positive""}]"
