candidate_train_years,reason,in_fold_base_universe,has_snapshot_in_analysis_quarter,passes_sp500_entry_filter,passes_history_filter,eligible,count
10,eligible,True,True,True,True,True,436
10,insufficient_train_history,True,True,True,False,False,45
10,not_member_sp500_on_entry,False,True,False,False,False,29
10,no_snapshot_in_analysis_quarter,True,False,False,False,False,22
10,out_of_fold_base_universe,False,False,False,False,False,10
