date,equity_usd_mean,equity_usd_p05,equity_usd_p95
2020-02-18,992.0079920079916,992.0079920079918,992.007992007992
2020-02-19,995.2924502025652,987.9358284265093,1002.4893257469902
2020-02-20,996.0055828498479,986.9108271300202,1004.2705403693103
2020-02-21,988.377420132537,975.3634243476637,1001.019950882107
2020-02-24,959.3108977112207,939.3392486628559,977.0195113263492
2020-02-25,927.1727766876778,900.9387877806206,950.0309822181528
2020-02-26,917.2710624070813,881.5719185902881,947.915934204774
2020-02-27,881.7425675566045,849.8990933742434,914.2251382980965
2020-02-28,868.4591453263496,836.9387051357442,894.854597195946
2020-03-02,903.0485249977642,867.5926249760145,940.8402816183059
2020-03-03,881.2964307274881,842.3004515908863,924.0551008452842
2020-03-04,916.4332202914744,862.5493400764473,965.0526017372437
2020-03-05,884.1268274815478,818.5042761723404,943.8463246278475
2020-03-06,867.5698546349772,793.8039856727194,941.0269914232739
2020-03-09,793.9798247225672,703.3810550682924,872.5569262263208
2020-03-10,829.7143397177986,738.0947300449085,903.0138278344758
2020-03-11,784.8176490853434,685.148504189315,868.9179052092388
2020-03-12,703.8845394523742,609.507537141343,790.2161380932422
2020-03-13,759.2803243970277,657.2934755111312,853.2117394883612
2020-03-16,668.3780475848922,571.8495847632199,778.6228935159259
2020-03-17,706.2321870736647,592.7361992997126,829.282470779636
2020-03-18,656.3446657166537,531.7924024772749,804.4298275972048
2020-03-19,661.3590459732919,546.6148730990416,786.7365264206192
2020-03-20,630.1503606879442,522.0267750586494,751.0875023691492
2020-03-23,607.170337138373,498.67087577989383,714.7587032676066
2020-03-24,672.3863541944438,569.6587952594717,788.312758009234
2020-03-25,690.3450826919023,598.1839214702396,785.0682373063592
2020-03-26,732.4281738281444,629.8697501864951,838.4572288742879
2020-03-27,709.3245138452215,600.0830891587162,817.3715092699747
2020-03-30,726.2474085601206,613.124417900456,846.2055164232019
2020-03-31,713.7785890612203,605.1336464314775,831.1901520953337
2020-04-01,679.7653339529693,576.7220727236247,807.3556341223526
2020-04-02,691.7152439863986,572.454371259002,833.1656515772486
2020-04-03,681.8155250774955,568.3713881422996,820.0131899034216
2020-04-06,731.2503112037584,616.0465422161168,868.2836204261106
2020-04-07,736.5288340082255,632.3662057066962,865.0782022851462
2020-04-08,767.0100410175412,663.693548939392,890.0415577962387
2020-04-09,783.9965348924295,691.9585684299325,905.7285960152776
2020-04-13,766.7268198895574,665.1919486719546,884.6753980229903
2020-04-14,786.2320736253806,682.0426748950881,914.6987934858665
2020-04-15,762.0574781900286,647.7472888011079,885.5601902314571
2020-04-16,763.1146530758109,640.9527152688215,893.3200690415057
2020-04-17,791.7509872206642,675.4588104768454,928.0241926232283
2020-04-20,774.6894756981736,652.5423239229369,906.7856310180805
2020-04-21,753.4582713309163,634.6768181752194,889.5530674586305
2020-04-22,767.3935171957423,650.3666958257737,914.4284350482003
2020-04-23,767.8979358916203,643.7908559504828,909.6068808870659
2020-04-24,778.9529276581519,651.1062245353355,921.1977055409333
2020-04-27,797.5307096039521,671.6372911729673,938.9949039856741
2020-04-28,804.1816566477465,689.8319524493222,939.8197338349685
2020-04-29,823.1377957557393,713.0528021375361,949.8467801513341
2020-04-30,805.6289470312112,695.2756016794918,935.4462016648009
2020-05-01,779.8316808065922,654.8524888726649,917.6974984584446
2020-05-04,782.208164553524,653.9991965322063,931.8128423359078
2020-05-05,787.369359711642,656.7713014038975,937.3343933086109
2020-05-06,777.5184919825246,646.1387458069162,930.2730978967685
2020-05-07,787.6181881979403,658.3751887098161,930.6046617851367
2020-05-08,805.9167824827538,683.0339980679793,940.6852163564756
2020-05-11,800.916572799299,669.1511965290208,944.616842858172
2020-05-12,781.217478412418,644.1649100807743,919.635840456854
2020-05-13,762.7474897877692,627.8701663003092,912.9032671227775
2020-05-14,772.0014402808619,642.6812524263125,921.8598999989855
2020-05-15,774.0519984147281,642.3069213417239,929.9438091339453
2020-05-18,808.7370080153512,690.3744014267469,942.9037851420798
2020-05-19,796.7882128166608,675.6860959629539,928.9495584072993
2020-05-20,810.0415844350089,685.397977958864,940.9041926429451
2020-05-21,804.2038603203513,688.7110233424344,934.7928231316763
2020-05-22,806.4285270932858,694.0488078890063,937.3259404528513
2020-05-26,827.0175265370495,725.9282891285405,940.4807533061343
2020-05-27,847.3594369557147,744.0459227474681,959.9265760940882
2020-05-28,843.0747007316729,739.7795348442675,959.5943322935392
2020-05-29,843.7369468555103,730.6824850093262,976.8086340416556
2020-06-01,849.6360771894261,745.1952568544359,978.0305222557782
2020-06-02,859.1962849395159,755.6419463990572,979.8499468145401
2020-06-03,877.3246550534858,781.2209069245866,985.2587802773256
2020-06-04,879.0086817642498,786.019731022325,987.6749526573676
2020-06-05,904.3610858007207,816.9006072291324,999.953099512847
2020-06-08,921.5118355936694,841.5226376676555,1013.8762809214944
2020-06-09,903.4467299242782,817.4828129963007,1005.057136052177
2020-06-10,886.7569832417705,794.9943375813849,996.2059093525322
2020-06-11,829.6545905091125,731.0610954876831,937.0968029069213
2020-06-12,844.066277412931,755.1477317072207,947.2824692352648
2020-06-15,852.5339067716662,764.4796642707383,958.6411866672157
2020-06-16,869.4146039845211,779.6452563462688,983.7683318406849
2020-06-17,862.879112544135,771.0293161176193,980.519859619082
2020-06-18,862.0518487400237,768.9418336081139,977.3796953833494
2020-06-19,855.0960133714897,759.1228828374242,973.0466703451666
2020-06-22,856.0443361356979,756.3664477075055,973.4652788738484
2020-06-23,857.3952719511019,759.0746388775019,971.0445322611758
