run_id,entry_date,candidate_train_months,ticker,eligible,reason,in_fold_base_universe,has_snapshot_in_analysis_quarter,passes_sp500_entry_filter,passes_history_filter
T04_20220215,2022-02-15,132,A,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AAL,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AAP,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AAPL,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ABBV,False,insufficient_train_history,True,True,True,False
T04_20220215,2022-02-15,132,ABC,False,no_snapshot_in_analysis_quarter,True,False,False,False
T04_20220215,2022-02-15,132,ABMD,False,no_snapshot_in_analysis_quarter,True,False,False,False
T04_20220215,2022-02-15,132,ABNB,False,not_member_sp500_on_entry,False,True,False,False
T04_20220215,2022-02-15,132,ABT,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ACGL,False,not_member_sp500_on_entry,False,True,False,False
T04_20220215,2022-02-15,132,ACN,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ADBE,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ADI,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ADM,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ADP,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,ADSK,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AEE,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AEP,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AES,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AET,False,not_member_sp500_on_entry,False,True,False,False
T04_20220215,2022-02-15,132,AFL,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AIG,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AIV,False,not_member_sp500_on_entry,False,True,False,False
T04_20220215,2022-02-15,132,AIZ,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AJG,True,eligible,True,True,True,True
T04_20220215,2022-02-15,132,AKAM,True,eligible,True,True,True,True
