Date,sp500_momentum_12m
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,0.2979327177885831
2020-01-03,0.32148513193511996
2020-01-06,0.2821315293497355
2020-01-07,0.26963670329859735
2020-01-08,0.263609976611183
2020-01-09,0.26682811364870185
2020-01-10,0.2575290501349352
2020-01-13,0.2664871278086407
2020-01-14,0.2712526342666559
2020-01-15,0.26011951788423815
2020-01-16,0.26784524092379436
2020-01-17,0.26315276655541253
2020-01-21,0.24341096099285986
2020-01-22,0.2616317077010981
2020-01-23,0.26029488028208436
2020-01-24,0.24718330915023068
2020-01-27,0.21723152213537933
2020-01-28,0.239192794303555
2020-01-29,0.23992420543323867
2020-01-30,0.22476636105493375
2020-01-31,0.1928256732533442
2020-02-03,0.2004004709746492
2020-02-04,0.21018248432856068
2020-02-05,0.21806260762025187
2020-02-06,0.22483806170078235
2020-02-07,0.22972964316701727
2020-02-10,0.23790206100612754
2020-02-11,0.23911356539095419
2020-02-12,0.2312504236189843
2020-02-13,0.22553691950390964
2020-02-14,0.23106056901207572
2020-02-18,0.21425634835090746
2020-02-19,0.21814469250863588
2020-02-20,0.21134414465343254
2020-02-21,0.2028448585014062
2020-02-24,0.15512752413370112
2020-02-25,0.11877209435855662
2020-02-26,0.11542646533751766
2020-02-27,0.06674597826045137
2020-02-28,0.060955500312092514
2020-03-02,0.10220104399945873
2020-03-03,0.07539361939271028
2020-03-04,0.12204764997847972
2020-03-05,0.09110393284483176
2020-03-06,0.08128260490565542
2020-03-09,0.0012722935059630291
2020-03-10,0.035544113069044814
2020-03-11,-0.017961589516800047
2020-03-12,-0.11749891084644082
2020-03-13,-0.03470203156699503
2020-03-16,-0.15459811962378633
2020-03-17,-0.10722076933590796
2020-03-18,-0.1533836622635676
2020-03-19,-0.1468860860338903
2020-03-20,-0.19263856397198187
2020-03-23,-0.20113116547248244
2020-03-24,-0.12544133557574133
2020-03-25,-0.12166215135080072
2020-03-26,-0.062487315935292886
2020-03-27,-0.09730982596143856
2020-03-30,-0.0732959381730901
2020-03-31,-0.09856335272194083
2020-04-01,-0.13836999748386758
2020-04-02,-0.12058885354501814
2020-04-03,-0.13570235529462016
2020-04-06,-0.0791844615717402
2020-04-07,-0.08162254109535105
2020-04-08,-0.04454866683286529
2020-04-09,-0.03406604571995453
2020-04-13,-0.04386293158252286
2020-04-14,-0.02110120532371529
2020-04-15,-0.042063879644299695
2020-04-16,-0.03698238343848714
2020-04-17,-0.008926164220715016
2020-04-20,-0.028182193079537843
2020-04-21,-0.05894487007647109
2020-04-22,-0.04580249931073099
2020-04-23,-0.04422237635045689
2020-04-24,-0.03056211157529809
2020-04-27,-0.02088517381363575
2020-04-28,-0.02706059262935112
2020-04-29,-0.0021454286879295514
2020-04-30,-0.0038649426943021536
2020-05-01,-0.029754743073775902
2020-05-04,-0.034932953822026214
2020-05-05,-0.02183484568864058
2020-05-06,-0.012354198557546714
2020-05-07,0.0006147139282475234
2020-05-08,0.020580230300390356
2020-05-11,0.016932755159328572
2020-05-12,0.02071575057608377
2020-05-13,-0.005083919600976539
2020-05-14,0.000540182634481301
2020-05-15,-0.004387591397190471
2020-05-18,0.03300538264873798
2020-05-19,0.02912086750237375
2020-05-20,0.037442917781916885
2020-05-21,0.03229386213615504
2020-05-22,0.04720008269971321
2020-05-26,0.05863639041696711
2020-05-27,0.08340737698684042
2020-05-28,0.08864828826457871
2020-05-29,0.09159654530252581
2020-06-01,0.11034276702165058
2020-06-02,0.12256376438705718
2020-06-03,0.11400974413078191
2020-06-04,0.10126858277232631
2020-06-05,0.12324289609240546
2020-06-08,0.1249590350271017
2020-06-09,0.11100794093663024
2020-06-10,0.10549184431115322
2020-06-11,0.04245374952578551
2020-06-12,0.05175961446644117
2020-06-15,0.06221383890327914
2020-06-16,0.08134841511823843
2020-06-17,0.0670859361612115
2020-06-18,0.06454218730968608
2020-06-19,0.048595570315861814
2020-06-22,0.05673696599874689
2020-06-23,0.06312999651695428
2020-06-24,0.04557178038272114
2020-06-25,0.05833658641341155
2020-06-26,0.02876322401988829
2020-06-29,0.03789567473168276
2020-06-30,0.045865324492978754
2020-07-01,0.048048979716523554
2020-07-02,0.044792390178405306
2020-07-06,0.0633057220106037
2020-07-07,0.0569129588758055
2020-07-08,0.06387036849493355
2020-07-09,0.05311602362716927
2020-07-10,0.061711895482538415
2020-07-13,0.04693455381637768
2020-07-14,0.06078358747807999
2020-07-15,0.07407358644949813
2020-07-16,0.07745228638574164
2020-07-17,0.07666491875469883
2020-07-20,0.09246423634136436
2020-07-21,0.09121181926447264
2020-07-22,0.0900192154522943
2020-07-23,0.07156666842926307
2020-07-24,0.07056699519272969
2020-07-27,0.07057490997805949
2020-07-28,0.06536641297932677
2020-07-29,0.08139573982629211
2020-07-30,0.08919671261495665
2020-07-31,0.10751772514994906
2020-08-03,0.12365411659281089
2020-08-04,0.16232415655435894
2020-08-05,0.15476599346138897
2020-08-06,0.16129790594628757
2020-08-07,0.1406321552593699
2020-08-10,0.1513782341638792
2020-08-11,0.15644708012397834
2020-08-12,0.15515391983469007
2020-08-13,0.18757650343813181
2020-08-14,0.18445356861460738
2020-08-17,0.17077352640919785
2020-08-18,0.15943431755609683
2020-08-19,0.16353678708006036
2020-08-20,0.1576649428787411
2020-08-21,0.16223677068003806
2020-08-24,0.20517995435167058
2020-08-25,0.19637443888146433
2020-08-26,0.212455940774394
2020-08-27,0.20658674332796623
2020-08-28,0.19949186414983444
2020-08-31,0.19609019269561978
2020-09-01,0.2134625752745991
2020-09-02,0.21889319560377674
2020-09-03,0.1609744820543515
2020-09-04,0.15048460772559435
2020-09-08,0.1186565285607808
2020-09-09,0.1408241564504713
2020-09-10,0.11271839645409387
2020-09-11,0.11011536359557428
2020-09-14,0.12507528452252514
2020-09-15,0.13450479509015079
2020-09-16,0.12635660419611283
2020-09-17,0.11649866518518115
2020-09-18,0.1039912756057011
2020-09-21,0.09658530169142576
2020-09-22,0.10822655271838166
2020-09-23,0.0911210865368457
2020-09-24,0.08768219735796445
2020-09-25,0.10775042857147543
2020-09-28,0.13161299533478643
2020-09-29,0.12051102267769953
2020-09-30,0.14378029079159926
2020-10-01,0.17079519847178437
2020-10-02,0.15041075529653725
2020-10-05,0.15467091452270387
2020-10-06,0.14365773873907095
2020-10-07,0.18194571566148587
2020-10-08,0.1806639012893776
2020-10-09,0.18345343169433415
2020-10-12,0.18986487674978259
2020-10-13,0.1840028478889817
2020-10-14,0.16456697694148592
2020-10-15,0.16511750588162277
2020-10-16,0.16206411559070766
2020-10-19,0.14758555284624308
2020-10-20,0.1451415997287977
2020-10-21,0.14671947162446553
2020-10-22,0.1494315124494232
2020-10-23,0.15118139701161737
2020-10-26,0.12519889357058545
2020-10-27,0.11556810799244044
2020-10-28,0.07709865849630138
2020-10-29,0.08643254535212352
2020-10-30,0.07650874315595924
2020-11-02,0.0793404713859498
2020-11-03,0.09449784805506467
2020-11-04,0.11995622553726304
2020-11-05,0.1409492774087282
2020-11-06,0.1375154834291994
2020-11-09,0.1478849271022702
2020-11-10,0.14853208058306944
2020-11-11,0.1555125137622444
2020-11-12,0.14316879067839916
2020-11-13,0.15775860791201635
2020-11-16,0.1622997755176192
2020-11-17,0.15614840197734803
2020-11-18,0.1434565048261549
2020-11-19,0.1522973312183893
2020-11-20,0.1462845635260892
2020-11-23,0.15024323872026346
2020-11-24,0.1601237017436714
2020-11-25,0.15574805438925576
2020-11-27,0.15370231538124002
2020-11-30,0.15302545872069495
2020-12-01,0.17617299801825448
2020-12-02,0.1861535198769162
2020-12-03,0.1779642372683945
2020-12-04,0.18659286601535463
2020-12-07,0.17357459815560672
2020-12-08,0.18057948638260246
2020-12-09,0.17248095637357674
2020-12-10,0.16757868828661482
2020-12-11,0.15618713864654077
2020-12-14,0.15106347324858116
2020-12-15,0.15766193226087255
2020-12-16,0.15932551690574326
2020-12-17,0.16650479320145206
2020-12-18,0.15724854743580652
2020-12-21,0.1470560705199142
2020-12-22,0.14368751914442002
2020-12-23,0.1447642362730066
2020-12-24,0.14295155082964528
