Ticker,Formulario,Accession_Number,MDA_Extraido,P_Positivo,P_Negativo,P_Neutro,Total_Bloques,Indice_Polaridad
AMZN,8-K,0001018724-20-000008,True,0.4173,0.0245,0.5582,22,0.3928
AMZN,8-K,0001018724-20-000019,True,0.3663,0.0195,0.6142,22,0.3468
AMZN,8-K,0001018724-20-000028,True,0.4913,0.005,0.5036,25,0.4863
AMZN,8-K,0001018724-21-000002,True,0.5714,0.0002,0.4283,24,0.5712
AMZN,8-K,0001018724-21-000008,True,0.582,0.0002,0.4177,26,0.5818
AMZN,8-K,0001018724-21-000018,True,0.5398,0.0022,0.458,24,0.5376
AMZN,8-K,0001018724-21-000026,True,0.2509,0.0401,0.709,25,0.2108
AMZN,8-K,0001018724-22-000002,True,0.4353,0.0074,0.5573,27,0.4279
AMZN,8-K,0001018724-22-000011,True,0.4748,0.0334,0.4917,24,0.4414
AMZN,8-K,0001018724-22-000017,True,0.4902,0.0337,0.4761,27,0.4565
AMZN,8-K,0001018724-22-000021,True,0.4137,0.0008,0.5855,20,0.4129
AMZN,8-K,0001018724-23-000002,True,0.4692,0.0485,0.4822,21,0.4207
AMZN,8-K,0001018724-23-000006,True,0.4891,0.0055,0.5053,20,0.4836
AMZN,8-K,0001018724-23-000010,True,0.5105,0.0005,0.4891,21,0.51
AMZN,8-K,0001018724-23-000016,True,0.461,0.0005,0.5385,22,0.4605
AMZN,8-K,0001018724-24-000006,True,0.597,0.0017,0.4014,25,0.5953
AMZN,8-K,0001018724-24-000081,True,0.5014,0.0007,0.4979,24,0.5007
AMZN,8-K,0001018724-24-000128,True,0.2012,0.0002,0.7986,15,0.201
AMZN,8-K,0001018724-24-000158,True,0.2015,0.0004,0.7981,15,0.2011
AMZN,8-K,0001018724-25-000002,True,0.3169,0.057,0.6261,16,0.2599
AMZN,8-K,0001018724-25-000034,True,0.1968,0.1503,0.6528,13,0.0465
AMZN,8-K,0001018724-25-000084,True,0.294,0.0004,0.7056,14,0.2936
AMZN,8-K,0001018724-25-000121,True,0.2836,0.0917,0.6247,16,0.1919
AMZN,8-K,0001018724-26-000002,True,0.393,0.0623,0.5447,16,0.3307
AMZN,8-K,0001104659-21-050346,True,0.5874,0.0014,0.4112,16,0.586
AMZN,8-K,0001104659-22-045579,True,0.7361,0.0005,0.2634,17,0.7356
AMZN,8-K,0001104659-23-044715,True,0.8999,0.0444,0.0557,19,0.8555
AMZN,8-K,0001104659-24-045915,True,0.8535,0.0004,0.1461,20,0.8531
AMZN,8-K,0001104659-25-033450,True,0.6564,0.0005,0.3431,19,0.6559
AMZN,8-K,0001104659-26-021050,True,0.6028,0.0005,0.3968,4,0.6023
AMZN,8-K,0001193125-20-108427,True,0.8874,0.0011,0.1114,13,0.8863
