,importance
gross_margin__pct_universe,0.10025625464994
interest_coverage__pct_universe,0.07248789336999112
ebitda_margin,0.05551032123940325
ebitda_margin__pct_universe,0.05252814697738761
operating_margin__pct_universe,0.044142396400142385
operating_margin,0.04313405385609538
current_ratio__pct_universe,0.04174747554944075
current_ratio,0.037993036833890534
gross_margin__pct_sector,0.037590978865194066
net_margin,0.03686770000297991
interest_coverage__pct_sector,0.03615589364359072
interest_coverage,0.029882886806718478
debt_to_ebitda__pct_universe,0.02894864687465758
fcf_yoy_growth__pct_universe,0.02795371714961014
current_ratio__pct_sector,0.025302804902059044
net_margin__pct_universe,0.025050086324966088
roe__pct_universe,0.02482869899145703
debt_to_ebitda__pct_sector,0.024474742745740675
gross_margin,0.023548839094984918
piotroski_fscore__pct_universe,0.023492137619765766
piotroski_fscore__pct_sector,0.021582168561750555
operating_margin__pct_sector,0.021275939558826337
roe,0.021185225672095055
net_margin__pct_sector,0.02079099681773729
debt_to_ebitda,0.02076733825615678
fcf_yoy_growth__pct_sector,0.020425989811891684
ebitda_margin__pct_sector,0.019087140108743385
rule_confidence,0.018287119931291746
roe__pct_sector,0.018089530244258988
fcf_yoy_growth,0.01653173382639403
piotroski_fscore,0.010080105312838709
