Company Name,Ticker,Market Cap (mil),Sector,Industry
"Agilent Technologies","A","35185.25","Medical","Medical - Products"
"Alcoa","AA","15902.98","Industrial Products","Metal Products - Distribution"
"AAC Technologies","AACAY","5764.83","Computer and Technology","Electronics - Miscellaneous Components"
"ATA","AACG","19.99","Consumer Discretionary","Schools"
"AIA","AAGIY","114592.2","Finance","Insurance - Life Insurance"
"American Airlines","AAL","8683","Transportation","Transportation - Airline"
"Atlantic American","AAME","55.07","Finance","Insurance - Accident and Health"
"Acadian Asset Management Inc.","AAMI","1941.51","Finance","Financial - Miscellaneous Services"
"Applied Optoelectronics","AAOI","3842.11","Computer and Technology","Electronics - Semiconductors"
"AAON","AAON","8240.96","Construction","Building Products - Air Conditioner and Heating"
"Advance Auto Parts","AAP","3232.18","Retail-Wholesale","Automotive - Retail and Wholesale - Parts"
"Ascentage Pharma Group International - Unsponsored ADR","AAPG","2333.26","Medical","Medical - Biomedical and Genetics"
"Apple","AAPL","3995325.75","Computer and Technology","Computer - Micro Computers"
"Aardvark Therapeutics, Inc.","AARD","276.08","Medical","Medical - Biomedical and Genetics"
"Agassi Sports Entertainment Corp.","AASP","59.63","Unclassified","Unclassified"
"American Assets Trust","AAT","1181.78","Finance","REIT and Equity Trust - Retail"
"Autoscope Technologies","AATC","31.2","Business Services","Technology Services"
"Almaden Minerals","AAUAF","26.1","Basic Materials","Mining - Gold"
"Allied Gold Corporation","AAUC","3926.73","Basic Materials","Mining - Gold"
"Advantage Oil & Gas","AAVVF","1255.4","Oils-Energy","Alternative Energy - Other"
"Ascend Wellness Holdings, Inc.","AAWH","112.44","Medical","Medical Services"
"AllianceBernstein","AB","3553.87","Finance","Financial - Investment Management"
"American Battery Technology Company","ABAT","482.06","Computer and Technology","Electronics - Miscellaneous Products"
"ABB","ABBNY","168421.75","Industrial Products","Manufacturing - Electronics"
"AbbVie","ABBV","403920.53","Medical","Large Cap Pharmaceuticals"
"Ameris Bancorp","ABCB","5420.81","Finance","Banks - Southeast"
"ABCELLERA BIOLG","ABCL","963.86","Medical","Medical - Biomedical and Genetics"
"AmBase","ABCP","14.07","Finance","Financial - Investment Management"
"Abeona Therapeutics","ABEO","292.63","Medical","Medical - Biomedical and Genetics"
"Ambev","ABEV","50897.23","Consumer Staples","Beverages - Alcohol"
"Asbury Automotive Group","ABG","4227.31","Retail-Wholesale","Automotive - Retail and Whole Sales"
"American Biltrite","ABLT","3.23","Construction","Building Products - Miscellaneous"
"Able View Global Inc.","ABLV","39.02","Business Services","Business - Services"
"ABM Industries","ABM","2575.98","Business Services","Business - Services"
"Airbnb","ABNB","76491","Consumer Discretionary","Leisure and Recreation Services"
"Acumen Pharmaceuticals","ABOS","167.18","Medical","Medical - Biomedical and Genetics"
"Arbor Realty Trust","ABR","1426.73","Finance","REIT and Equity Trust"
"ABSCI CORP","ABSI","407.51","Medical","Medical - Biomedical and Genetics"
"Abbott Laboratories","ABT","199103.72","Medical","Medical - Products"
"American Bitcoin Corp.","ABTC","946.16","Finance","Financial - Miscellaneous Services"
"ABITS GROUP","ABTS","6.66","Business Services","Advertising and Marketing"
"Arbutus Biopharma","ABUS","857.77","Medical","Medical - Biomedical and Genetics"
"ABVC BIOPHARMA","ABVC","35.59","Medical","Medical - Biomedical and Genetics"
"Above Food Ingredients Inc.","ABVE","39.48","Consumer Staples","Food - Miscellaneous"
"Abivax SA Sponsored ADR","ABVX","10144.23","Medical","Medical - Biomedical and Genetics"
"Abacus Global Management, Inc.","ABX","853.38","Finance","Financial - Miscellaneous Services"
"Arcosa","ACA","6126.71","Construction","Building Products - Miscellaneous"
"ACADIA Pharmaceuticals","ACAD","4160.18","Medical","Medical - Biomedical and Genetics"
"Aurora Cannabis","ACB","214.85","Medical","Medical - Products"
"Acco Group Holdings Limited","ACCL","20.23","Business Services","Consulting Services"
"Acco Brands","ACCO","369.56","Consumer Discretionary","Consumer Products - Discretionary"
"ACCESS Newswire Inc.","ACCS","27.39","Consumer Discretionary","Media Conglomerates"
"Accor SA - Sponsored ADR","ACCYY","13401.79","Consumer Discretionary","Hotels and Motels"
"ProFrac Holding Corp.","ACDC","929.68","Oils-Energy","Oil and Gas - Field Services"
"Air Canada","ACDVF","4343.4","Transportation","Transportation - Airline"
"Accel Entertainment","ACEL","903.64","Consumer Discretionary","Gaming"
"Adicet Bio","ACET","70.5","Medical","Medical - Biomedical and Genetics"
"Acorn Energy","ACFN","43.15","Computer and Technology","Electronics - Miscellaneous Products"
"Agri Bank China","ACGBY","244568.14","Finance","Banks - Foreign"
"Arch Capital Group","ACGL","35965.24","Finance","Insurance - Property and Casualty"
"Associated Capital Group","ACGP","839.1","Finance","Financial - Investment Management"
"Accendra Health, Inc.","ACH","203.32","Medical","Medical - Products"
"Acadia Healthcare","ACHC","1584.07","Medical","Medical - Hospital"
"Arch Biopartners Inc.","ACHFF","40.96","Medical","Medical - Drugs"
"Archer Aviation","ACHR","4683.15","Aerospace","Aerospace - Defense"
"Achieve Life Sciences","ACHV","233.7","Medical","Medical - Drugs"
"Albertsons Companies","ACI","9589.62","Consumer Staples","Consumer Products - Staples"
"American Coastal Insurance Corporation","ACIC","538.86","Finance","Insurance - Property and Casualty"
"AC Immune","ACIU","273.12","Medical","Medical - Biomedical and Genetics"
"ACI Worldwide","ACIW","4028.68","Computer and Technology","Computer - Software"
"Accelleron Industries AG - Unsponsored ADR","ACLLY","8925.76","Industrial Products","Manufacturing - General Industrial "
"Axcelis Technologies","ACLS","2510.27","Computer and Technology","Electronics - Manufacturing Machinery"
"Arcellx","ACLX","6577.35","Medical","Medical - Biomedical and Genetics"
"AECOM","ACM","12326.38","Construction","Engineering - R and D Services"
"ACM Research","ACMR","4055.75","Computer and Technology","Semiconductor Equipment - Material Services"
"Acmat","ACMTA","20.05","Finance","Insurance - Multi line"
"Accenture","ACN","121108.77","Computer and Technology","Computers - IT Services"
"ACNB","ACNB","513.11","Finance","Banks - Southwest"
"Ascent Industries Co.","ACNT","161.64","Industrial Products","Manufacturing - General Industrial "
"Alpha Cognition Inc.","ACOG","130.67","Medical","Medical - Biomedical and Genetics"
"Aclarion","ACON","2.15","Medical","Medical Services"
"ACRES Commercial Realty","ACR","135.44","Finance","REIT and Equity Trust"
"Ares Commercial Real Estate","ACRE","277.95","Finance","REIT and Equity Trust"
"American Clean Resources Group, Inc.","ACRG","99.51","Basic Materials","Mining - Miscellaneous"
"Aclaris Therapeutics","ACRS","364.04","Medical","Medical - Drugs"
"Acrivon Therapeutics, Inc.","ACRV","47.33","Medical","Medical - Drugs"
"Enact Holdings","ACT","5986.65","Finance","Insurance - Multi line"
"Acacia Research","ACTG","388.73","Business Services","Business - Services"
"Actuate Therapeutics, Inc.","ACTU","96.69","Medical","Medical - Biomedical and Genetics"
"Acme United","ACU","171.23","Consumer Discretionary","Consumer Products - Discretionary"
"ACV Auctions","ACVA","817.81","Business Services","Auction and Valuation Services"
"iShares MSCI ACWI ETF","ACWI","28081.1","Finance","Financial - Investment Funds"
"Acurx Pharmaceuticals","ACXP","4.05","Medical","Medical - Biomedical and Genetics"
"Array Digital Infrastructure Inc.","AD","4074.9","Computer and Technology","Wireless National"
"Adagene","ADAG","157.89","Medical","Medical - Biomedical and Genetics"
"Adamas Trust, Inc.","ADAM","725.6","Finance","REIT and Equity Trust"
"Adaptimmune Therapeutics","ADAPY","7.69","Medical","Medical - Biomedical and Genetics"
"Adobe","ADBE","104747.28","Computer and Technology","Computer - Software"
"Agree Realty","ADC","9513.44","Finance","REIT and Equity Trust - Retail"
"","ADCOF","6.09","Business Services","Advertising and Marketing"
"ADC Therapeutics","ADCT","543.82","Medical","Medical - Biomedical and Genetics"
"Adidas","ADDYY","33926.11","Consumer Discretionary","Shoes and Retail Apparel "
"ADEIA INC","ADEA","2162.83","Business Services","Technology Services"
"Adagio Medical Holdings, Inc.","ADGM","21.08","Medical","Medical - Instruments"
"Analog Devices","ADI","173844.63","Computer and Technology","Semiconductor - Analog and Mixed"
"Adial Pharmaceuticals","ADIL","2.71","Medical","Medical - Biomedical and Genetics"
"Archer Daniels Midland","ADM","32731.35","Consumer Staples","Agriculture - Operations"
"ADMA Biologics","ADMA","3693.73","Medical","Medical - Biomedical and Genetics"
"ADM Tronics Unlimited","ADMT","6.42","Medical","Medical - Instruments"
"Advent Technologies Holdings","ADNH","1.45","Industrial Products","Manufacturing - Electronics"
"Adient","ADNT","1949.91","Auto-Tires-Trucks","Automotive - Original Equipment"
"Adocia","ADOCY","231.37","Medical","Medical - Biomedical and Genetics"
"Automatic Data Processing","ADP","82815.88","Computer and Technology","Internet - Software"
"Adaptive Biotechnologies","ADPT","2450.28","Medical","Medical - Biomedical and Genetics"
"Ahold","ADRNY","43486.74","Consumer Staples","Consumer Products - Staples"
"Andritz","ADRZY","9032.4","Industrial Products","Industrial Services"
"ADS-TEC Energy","ADSE","640.59","Computer and Technology","Electronics - Miscellaneous Services"
"Autodesk","ADSK","46832.92","Computer and Technology","Internet - Software"
"ADT","ADT","6459.73","Industrial Products","Security and Safety Services"
"ADTRAN Holdings, Inc.","ADTN","847.63","Computer and Technology","Communication - Components"
"Aduro Clean Technologies Inc.","ADUR","337.56","Business Services","Technology Services"
"Addus HomeCare","ADUS","1944.44","Medical","Medical - Outpatient and Home Healthcare"
"Advantage Solutions","ADV","163.63","Consumer Discretionary","Consumer Products - Discretionary"
"Advanced Biomed Inc.","ADVB","5.08","Medical","Medical - Biomedical and Genetics"
