Ticker,Formulario,Accession_Number,MDA_Extraido,P_Positivo,P_Negativo,P_Neutro,Total_Bloques,Indice_Polaridad
AAPL,8-K,0000320193-20-000050,True,0.1667,0.0012,0.8321,6,0.1655
AAPL,8-K,0000320193-20-000060,True,0.1667,0.0009,0.8325,6,0.1658
AAPL,8-K,0000320193-20-000094,True,0.1667,0.0033,0.83,6,0.1634
AAPL,8-K,0000320193-21-000009,True,0.1669,0.1597,0.6733,6,0.0072
AAPL,8-K,0000320193-21-000055,True,0.1667,0.0006,0.8327,6,0.1661
AAPL,8-K,0000320193-21-000063,True,0.1668,0.0089,0.8243,6,0.1579
AAPL,8-K,0000320193-21-000104,True,0.1669,0.0986,0.7345,6,0.0683
AAPL,8-K,0000320193-22-000006,True,0.1668,0.005,0.8282,6,0.1618
AAPL,8-K,0000320193-22-000058,True,0.1669,0.0861,0.747,6,0.0808
AAPL,8-K,0000320193-22-000069,True,0.2,0.0002,0.7998,5,0.1998
AAPL,8-K,0000320193-22-000107,True,0.2,0.0004,0.7996,5,0.1996
AAPL,8-K,0000320193-23-000005,True,0.2498,0.0005,0.7497,4,0.2493
AAPL,8-K,0000320193-23-000063,True,0.1999,0.0002,0.7999,5,0.1997
AAPL,8-K,0000320193-23-000075,True,0.2499,0.0004,0.7497,4,0.2495
AAPL,8-K,0000320193-23-000104,True,0.2498,0.0003,0.7498,4,0.2495
AAPL,8-K,0000320193-24-000005,True,0.25,0.0002,0.7499,4,0.2498
AAPL,8-K,0000320193-24-000067,True,0.0458,0.1542,0.8,5,-0.1084
AAPL,8-K,0000320193-24-000080,True,0.2,0.0002,0.7998,5,0.1998
AAPL,8-K,0000320193-24-000120,True,0.1811,0.0476,0.7713,6,0.1335
AAPL,8-K,0000320193-25-000007,True,0.25,0.0003,0.7498,4,0.2497
AAPL,8-K,0000320193-25-000055,True,0.2,0.0002,0.7998,5,0.1998
AAPL,8-K,0000320193-25-000071,True,0.25,0.0002,0.7499,4,0.2498
AAPL,8-K,0000320193-25-000077,True,0.1671,0.0004,0.8325,6,0.1667
AAPL,8-K,0000320193-26-000005,True,0.25,0.0003,0.7498,4,0.2497
AAPL,8-K,0001140361-24-024352,True,0.1079,0.0002,0.8919,18,0.1077
AAPL,8-K,0001193125-22-278435,True,0.0006,0.4984,0.501,2,-0.4978
