,shap_importance
atr_14,0.04422130296122367
vol_ratio_20_50,0.024772052909260576
macd,0.023954152272579243
momentum_6m,0.015163272195866929
bb_pct,0.006054311411172161
momentum_3m,0.004450955694358719
volatility_60d,0.003529296126036094
price_vs_52w_low,0.0028221961271370265
