date,holdings,tickers
2025-01-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-02-28,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-03-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-04-30,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-05-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-06-30,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-07-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-08-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-09-30,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-10-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-11-30,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2025-12-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2026-01-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2026-02-28,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2026-03-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2026-04-30,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
2026-05-31,10,"APP, BKNG, HCA, INTU, LLY, META, NVDA, PLTR, SCHW, VRTX"
