fold_id,datetime,action,ticker,raw_price,exec_price,shares,notional_usd,fee_usd,slippage_pct,entry_date_requested,entry_date_used,exit_date_requested,exit_date_used,reason,tp_pct,sl_pct,tp_sl_outcome,days_to_outcome
T03_20210215,2021-02-16,BUY,ALGN,614.2100219726562,614.8242319946288,0.2285754160973171,140.5337046548857,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.10763119124507742,SL,325.0
T03_20210215,2021-02-16,BUY,AMZN,163.44749450683594,163.61094200134275,1.3477920728981436,220.5135306688077,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.08,SL,339.0
T03_20210215,2021-02-16,BUY,AVGO,48.91299819946289,48.961911197662346,5.674372648170694,277.82812970217765,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.11544991556851769,NONE,366.0
T03_20210215,2021-02-16,BUY,BIO,649.6199951171875,650.2696151123046,0.3979705067149962,258.7881282276094,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.4996315893207428,0.10724223818214873,SL,343.0
T03_20210215,2021-02-16,BUY,LRCX,59.17900085449219,59.23817985534667,2.616823614722176,155.01586793863066,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.11452785387031272,NONE,366.0
T03_20210215,2021-02-16,BUY,MSCI,440.9200134277344,441.36093344116205,0.5812987127549293,256.56254246966154,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.10666180769586733,NONE,366.0
T03_20210215,2021-02-16,BUY,NVDA,15.330249786376953,15.345580036163328,8.15867820689921,125.19964941327335,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,rebalance_entry,0.55,0.08,TP,290.0
T03_20210215,2021-12-03,SELL,NVDA,30.69300079345703,30.662307792663576,8.15867820689921,250.16390236124016,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2021-12-03,tp_hit,0.55,0.08,TP,290.0
T03_20210215,2022-01-07,SELL,ALGN,546.989990234375,546.4430002441406,0.2285754160973171,124.90343615427079,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-01-07,sl_hit,0.55,0.10763119124507742,SL,325.0
T03_20210215,2022-01-21,SELL,AMZN,142.64300537109375,142.50036236572265,1.3477920728981436,192.06085878163395,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-01-21,sl_hit,0.55,0.08,SL,339.0
T03_20210215,2022-01-25,SELL,BIO,574.9299926757812,574.3550626831054,0.3979705067149962,228.57637533031885,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-01-25,sl_hit,0.4996315893207428,0.10724223818214873,SL,343.0
T03_20210215,2022-02-17,SELL,AVGO,57.900001525878906,57.842101524353026,5.674372648170694,328.2176388025012,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,time_exit,0.55,0.11544991556851769,NONE,366.0
T03_20210215,2022-02-17,SELL,LRCX,58.06100082397461,58.00293982315063,2.616823614722176,151.7834626525299,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,time_exit,0.55,0.11452785387031272,NONE,366.0
T03_20210215,2022-02-17,SELL,MSCI,531.47998046875,530.9485004882813,0.5812987127549293,308.6396798729979,1.0,0.001,2021-02-15,2021-02-16,2022-02-15,2022-02-17,time_exit,0.55,0.10666180769586733,NONE,366.0
