,importance
volatility_60d,0.18035316855327338
momentum_6m,0.10689952297991864
momentum_3m,0.10396113113467242
volatility_60d__pct_universe,0.08843978236909486
price_vs_52w_high,0.052893611186804065
momentum_6m__pct_universe,0.04354716493244754
momentum_3m__pct_universe,0.03935754461322544
vol_ratio_20_50,0.03918260081067646
rsi_14,0.037037900241464417
rsi_28,0.03313960627610056
rsi_28__pct_universe,0.031190077297155144
price_vs_52w_high__pct_universe,0.030691002904999702
volatility_60d__pct_sector,0.030683236410649822
rsi_14__pct_universe,0.0253044290514426
vol_ratio_20_50__pct_universe,0.02389672861000416
momentum_6m__pct_sector,0.023272428903128646
rule_confidence,0.022305884257672867
price_vs_52w_high__pct_sector,0.01995595809964304
momentum_3m__pct_sector,0.01902866275948717
vol_ratio_20_50__pct_sector,0.017434315629103143
rsi_14__pct_sector,0.015870755918263958
rsi_28__pct_sector,0.015554487060771954
